"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e165698e-5a7f-4c94-b00f-d41b6ed9d3e2","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"09bb6d48-54b8-419f-aeff-2ed4760c089f","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations"
"82ea0af4-59f7-47d4-9420-61eb36e4d425","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations","Block A"
"cd9a533c-8f20-456d-9654-2b17a069f052","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings"
"1b201aef-dbb9-4a9d-964d-5661923ed023","Child Concrete - Pre Pour(37a3351c-6c92-59ff-9e57-48aba8f6ec77) -- Reinforcing checked and correct(3253a35a-f604-5216-abf6-5134105ea885): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checklist-sectioned","pass","QA - Concrete Pour","checklist","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17"
"37a3351c-6c92-59ff-9e57-48aba8f6ec77","Child Reinforcing checked and correct(3253a35a-f604-5216-abf6-5134105ea885): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pre Pour"
"5799edf8-fdb0-545a-ae7a-bbb8ef5f1c28","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Plumbing First Fix","Trades QA received & attached as applicable"
"d22ee591-1f9e-5c6b-bd9c-35b798484a6b","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","425472abb2922f2f69723215788d80fa64f3b7dcbe97e11477df8f0227eb2f25","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 21.1","Electrical First Fix"
"7d66908f-765c-5bd6-a9b9-ed063234a855","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Electrical First Fix","Electrical first fix complete"
"061ec3bf-4d57-5d7f-82e0-5ac5238846f4","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Electrical First Fix","Trades QA received & attached as applicable"
"7ad9208b-7f26-5ed0-b9de-8b288d232875","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","b319bc42b81e78043cceada52ae82e3bbd2d170ad2d90cd90e112ac892876368","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 21.1","Mechanical First Fix"
"45748466-6f9a-5942-8650-8e81ee86536e","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Mechanical First Fix","Electrical first fix complete"
"7780fceb-57d4-52a7-b1ac-7d803a1c0c41","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Mechanical First Fix","Trades QA received & attached as applicable"
"7d7ab7f6-4437-4c80-a2a8-b4e97192c6bb","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","_TEMP - Global Fire","checklist-flat","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Global Fire"
"77697ec7-9591-576f-9bd9-cb27a49ec907","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Global Fire","Ensure all penetrations have been installed as per specifications"
"9c66975d-faf3-5e62-97d4-1a788d65c5d9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Global Fire","Ensure all fire collars have been installed in accordance with manufacturer's specifications"
"96dc1b4e-6eea-550b-a74d-8ceb6f202587","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Global Fire","Trades QA received & attached as applicable"
"2b212c6d-4454-483b-aa30-5c138a75390d","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","work-in-progress","_TEMP - Ice & Fire","checklist-flat","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Ice & Fire"
"0f956030-1a6c-54ee-b8ec-b7ae389c29e8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Ice & Fire","Ensure electrical cables have been suitably sealed when passing through a fire element in"
"91e4d60d-6a06-589a-b56b-1e2cbd79a049","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Ice & Fire","Check that fire doors have been filled"
"bfce7d59-7ee1-5c62-87b5-e266c4ea3f02","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Ice & Fire","Trades QA received & attached as applicable"
"aa4dbe14-90fa-5a4e-b0a0-0c405a575b50","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","ed72e36af3a66aeab6e33c8e1756621218caa4efcd371080a7a856864a72370d","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 21.1","Post Wall Linings"
"2f134dce-1c06-569c-bb56-451485a64ecd","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Post Wall Linings","Ensure installation guide has been followed for insulation"
"81b152aa-46b4-57f1-a053-c77acbcaf194","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Post Wall Linings","Ensure installation guide has been followed for fire rated walls"
"9d6659e5-c7da-50db-a4f8-afae01bc2054","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Post Wall Linings","Trades QA received & attached as applicable"
"b6164287-ebc8-44af-b8a4-97771c1d0994","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","_TEMP - Tiling","checklist-flat","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Tiling"
"2e232fc4-6617-55d5-b29b-a369a31e861a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Tiling","Waterproofing completed as per specifications"
"8505505f-70e2-5ee2-bbf1-8c6b928be266","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Tiling","All floors fall to wastes & don't hold water"
"cc80ad7c-7a2d-5a07-a58c-20ad25d7925a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Tiling","Ensure all tiles are fixed correctly"
"35980fc6-6979-5b7b-9d4c-fe5331ad882c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Tiling","Grouting done"
"5e8bc8ce-862f-52b3-b60a-95115932d890","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Tiling","Silicone sealed"
"74858437-d996-5b0e-b474-5816b99505c2","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Tiling","Trades QA received & attached as applicable"
"170ed70f-f127-4fa3-8c5a-df1547b83423","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","_TEMP - Kitchenette fitout","checklist-flat","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Kitchenette fitout"
"8bcc0ca8-5d11-5af8-9e1e-f6c913ee0a44","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Kitchenette fitout","All kitchen joinery installed as per specifications"
"6b1d6ed2-2420-5183-9f73-6d6ffc77b931","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Kitchenette fitout","Trades QA received & attached as applicable"
"e5c6c0e4-9a0f-4ea4-b154-7a7d289eb5ae","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","not-started","_TEMP - Hardware fitout","checklist-flat","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Hardware fitout"
"6f5e9eb5-438e-5820-8873-36f50cf67737","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Hardware fitout","Hardware installed correctly to plans"
"a647e163-d99c-5c08-b403-43f0f17961f0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Hardware fitout","QA received"
"1af0a2da-5a93-5f49-9dfe-f2590e253cfb","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","4b10dd0d6280413a807e6bed66c343f970a62851fcba99ef21fb9ce0312554cd","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 21.1","Services Fit Out"
"34e6881a-8d79-564c-8fdb-d3c5cb6bf645","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Services Fit Out","Plumbing fitout have been tested & commissioned"
"ec43d327-3ac7-5035-a057-de893ac65d17","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Services Fit Out","Electrical fitout have been tested & commissioned"
"97eee0a0-3510-5339-88cd-180dfee4aca8","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Services Fit Out","Air Conditioning / Mech fitout have been tested & commissioned"
"fa4f91fe-2f4d-50c6-b211-37fd16685268","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Services Fit Out","Trades QA received & attached as applicable"
"e984a695-808f-5bae-818e-e7ad55e9b98a","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","pass","c88caa8bffb5ff0e04ea423aa2cd83f3a1cc43d658ffc4de778424b565a8c6ec","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 21.1","Internal Painting, Framing & Carpet"
"8650d4c8-8b4e-58d5-be28-a30cd5c61841","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Internal Painting, Framing & Carpet","All studs are set out correct, and are plumb level, square & installed as per manufacturer's recommendations"
"939c7dec-7f17-55e4-a57c-5ba425a8fd72","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Internal Painting, Framing & Carpet","Painting completed as per specs, correct paint product and colour used"
"09780fe1-5556-5cb6-8348-019a94eed206","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Internal Painting, Framing & Carpet","Carpet installed as per specifications"
"b8f69afb-dfed-517e-98c5-b1d40aa1fe84","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Internal Painting, Framing & Carpet","Trades QA received & attached as applicable"
"7870615f-f28c-500e-a056-8293ef4d92fa","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","be165696aac53a9e7925d4a91a546c2b4be5219ad6af24dd7f80b787a3d08c27","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 21.1","Fire System"
"35a712f4-d9df-5711-98cb-0fd855d8cbd3","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Fire System","Smoke detectors & sensors fit off completed"
"ab31b233-82c7-5009-afa7-4f324d746ba9","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Fire System","Smoke detectors & sensors tested as per manufacturer's instructions"
"8ef6ec37-893c-5c01-9d89-0c4f4f46d5fe","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Fire System","Sprinkler rough fit off completed"
"a6fa0f90-3b2f-5316-b732-a906ed227102","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Fire System","Sprinklers commissioned"
"a71e47c9-0cf8-5cee-a8d4-9758fdd14866","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Fire System","Trades QA received & attached as applicable"
"5759aed9-aece-5a87-a4f1-1b3f794fc9a2","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","not-started","3949a3ea4fd7cbbc03e81282263723103031e37d2884d04c0962821f3077cdf1","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 21.1","Scarbro Final Sign - Off"
"fa22eb8c-b055-5039-8ef6-22935d528e93","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 21.1","Scarbro Final Sign - Off","All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved"
"c6ef509e-a379-450f-bad0-1f565366e65a","folder-progress has incorrect meta.stepType checklist-sectioned","folder-progress","fail","","checklist","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 22"
"09e81cc1-bd7a-5094-97dd-7c532a2fa4d4","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","pass","6eab088d1f46a344558f56c6c083e037b6242121a3c19b22cdb2d7fe53160db4","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 22","Plumbing First Fix"
"07061065-cb97-5e2d-8ef6-a4946cc55890","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Plumbing First Fix","Plumbing first fix complete"
"06d95c6a-b8df-5bed-b589-5a299245d95a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Plumbing First Fix","Trades QA received & attached as applicable"
"de379644-8bb7-524b-8eb8-902b6e0dc6df","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","425472abb2922f2f69723215788d80fa64f3b7dcbe97e11477df8f0227eb2f25","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 22","Electrical First Fix"
"6ac0c81c-ceaa-59d7-9b34-c1fea3fca109","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Electrical First Fix","Electrical first fix complete"
"603b668d-7a4f-5ccc-b64b-84a7c11569dc","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Electrical First Fix","Trades QA received & attached as applicable"
"443c7076-567c-57a5-9293-a37052ed9c88","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","b319bc42b81e78043cceada52ae82e3bbd2d170ad2d90cd90e112ac892876368","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 22","Mechanical First Fix"
"222333c7-1d2f-52fe-a7fe-1bc14250a7b1","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Mechanical First Fix","Electrical first fix complete"
"ce09c2b5-ca3c-52c3-960b-97ecd408b26b","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Mechanical First Fix","Trades QA received & attached as applicable"
"9d753939-e284-429a-b925-fa5af55b8700","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","_TEMP - Global Fire","checklist-flat","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Global Fire"
"02f0d3c1-f654-5b37-b8e6-ebbbef22c344","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Global Fire","Ensure all penetrations have been installed as per specifications"
"faa4ad6e-d0ac-505d-bfea-ca14920b0e48","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Global Fire","Ensure all fire collars have been installed in accordance with manufacturer's specifications"
"84e24022-3b6b-56bd-9325-86c52204afdc","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Global Fire","Trades QA received & attached as applicable"
"661ba56d-4f99-48c7-8dde-06fa4b4304e1","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","work-in-progress","_TEMP - Ice & Fire","checklist-flat","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Ice & Fire"
"d7b769de-ac4d-544f-b030-d8a204c2f2b1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Ice & Fire","Ensure electrical cables have been suitably sealed when passing through a fire element in"
"b618b60d-8188-5987-bede-209613ec540d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Ice & Fire","Check that fire doors have been filled"
"9bafd147-27ce-58da-baba-afd38ec729ed","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Ice & Fire","Trades QA received & attached as applicable"
"3e5b91b4-eab9-5200-bb96-db78004e0f4c","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","ed72e36af3a66aeab6e33c8e1756621218caa4efcd371080a7a856864a72370d","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 22","Post Wall Linings"
"52de9ad0-ed46-5b31-ba69-384ba8b14ef3","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Post Wall Linings","Ensure installation guide has been followed for insulation"
"bdb834fa-1519-57ed-a9a9-0078798cbc6c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Post Wall Linings","Ensure installation guide has been followed for fire rated walls"
"87e47d73-00f0-5713-90f8-950cddf95884","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Post Wall Linings","Trades QA received & attached as applicable"
"95bab714-6aa6-4dec-9661-b2c08b1927b0","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","_TEMP - Tiling","checklist-flat","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Tiling"
"efb36acd-2162-59e2-ad97-187a1225abaa","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Tiling","Waterproofing completed as per specifications"
"28ced123-91a4-588b-bacf-544abc4d91ce","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Tiling","All floors fall to wastes & don't hold water"
"9756ff20-f449-55cb-8868-2ef78b00f4c7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Tiling","Ensure all tiles are fixed correctly"
"fcb33be5-773b-5b23-855b-d1288731dc65","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Tiling","Grouting done"
"84e6c01a-20eb-5d88-af43-56b8b1e7ad10","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Tiling","Silicone sealed"
"d8e0ad4c-dd05-580c-85b2-50b09549b3f3","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Tiling","Trades QA received & attached as applicable"
"cb574f54-3b4e-4616-a104-53066303e8f5","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","_TEMP - Kitchenette fitout","checklist-flat","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Kitchenette fitout"
"ed6e5428-c95c-51a3-9031-964d2528374c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Kitchenette fitout","All kitchen joinery installed as per specifications"
"47c89ba2-8588-53f6-9fe8-c7d0a1553f15","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Kitchenette fitout","Trades QA received & attached as applicable"
"f476ec4b-f053-4488-9ac6-f6053786b4a4","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","not-started","_TEMP - Hardware fitout","checklist-flat","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Hardware fitout"
"0f28a36a-3504-57ea-b82d-5781ab88ecfa","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Hardware fitout","Hardware installed correctly to plans"
"3edb709f-7b47-563e-a012-f13c14a45d54","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Hardware fitout","QA received"
"977381ea-7a64-5ec1-bb5b-d99e17689005","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","4b10dd0d6280413a807e6bed66c343f970a62851fcba99ef21fb9ce0312554cd","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 22","Services Fit Out"
"8a3055b9-da6a-5a48-b7aa-99177bd74547","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Services Fit Out","Plumbing fitout have been tested & commissioned"
"f7a9b446-1f14-5d46-951f-067be440f55f","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Services Fit Out","Electrical fitout have been tested & commissioned"
"7e643453-6607-5ae7-a743-081fa81f60d2","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Services Fit Out","Air Conditioning / Mech fitout have been tested & commissioned"
"54dee611-dcba-5406-ac01-a7586bedb800","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Services Fit Out","Trades QA received & attached as applicable"
"c78aaeac-9c71-5c90-8251-28c360c7562e","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","pass","c88caa8bffb5ff0e04ea423aa2cd83f3a1cc43d658ffc4de778424b565a8c6ec","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 22","Internal Painting, Framing & Carpet"
"4e6bf229-87ba-5635-936f-bb8593d770c2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Internal Painting, Framing & Carpet","All studs are set out correct, and are plumb level, square & installed as per manufacturer's recommendations"
"1ac4e773-6b83-533a-9ad9-5d81470e2e2d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Internal Painting, Framing & Carpet","Painting completed as per specs, correct paint product and colour used"
"1d3ffbb9-7123-5fce-a0ed-cc27e059b1a5","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Internal Painting, Framing & Carpet","Carpet installed as per specifications"
"fdbbe154-ae2e-5a44-8eaf-d9e00c1f4f77","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Internal Painting, Framing & Carpet","Trades QA received & attached as applicable"
"8eb6261f-5269-564e-b9b2-780b96f1c11a","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","be165696aac53a9e7925d4a91a546c2b4be5219ad6af24dd7f80b787a3d08c27","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 22","Fire System"
"de54b951-7bc8-5f0e-805f-1b2258c72944","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Fire System","Smoke detectors & sensors fit off completed"
"eb6b28bb-392c-57ed-8b08-555204212e61","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Fire System","Smoke detectors & sensors tested as per manufacturer's instructions"
"d8f6ef85-2a1b-5373-8e5f-6c6fe040f934","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Fire System","Sprinkler rough fit off completed"
"22d0c0a0-b3b8-52fb-bf91-d9cab16c880d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Fire System","Sprinklers commissioned"
"890c171f-e473-5277-bfe9-c5dcd71d422d","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Fire System","Trades QA received & attached as applicable"
"f5f04c83-b9c5-52c2-9c37-4e957a707190","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","not-started","3949a3ea4fd7cbbc03e81282263723103031e37d2884d04c0962821f3077cdf1","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 22","Scarbro Final Sign - Off"
"e326ca22-ed07-5491-84ab-dacb59ac8037","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 22","Scarbro Final Sign - Off","All apartment work is completed as per specifications / drawings. All relevant trade QA reviewed & approved"
"8e2bbd00-fa6c-4fc4-98d6-eb195e292a39","folder-progress has incorrect meta.stepType checklist-sectioned","folder-progress","fail","","checklist","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 23"
"dddbb4d2-bee5-5ac7-ac2e-c4a5ee61e370","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","pass","6eab088d1f46a344558f56c6c083e037b6242121a3c19b22cdb2d7fe53160db4","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 23","Plumbing First Fix"
"6d04e1a2-54da-5c4b-b326-a09dad7e7341","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 23","Plumbing First Fix","Plumbing first fix complete"
"440e6eb7-8737-5d76-959a-d89f9f6380c7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 23","Plumbing First Fix","Trades QA received & attached as applicable"
"7315e391-d179-584e-be0d-38341699adfb","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","425472abb2922f2f69723215788d80fa64f3b7dcbe97e11477df8f0227eb2f25","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 23","Electrical First Fix"
"5f78c523-7f28-53e4-a446-5e3104686789","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 23","Electrical First Fix","Electrical first fix complete"
"e3fbf4de-9810-569e-9e4f-0a48b3b6609b","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 23","Electrical First Fix","Trades QA received & attached as applicable"
"62541b7c-b266-574b-a3aa-771459d2f42f","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","b319bc42b81e78043cceada52ae82e3bbd2d170ad2d90cd90e112ac892876368","checklist-flat","FALSE","FALSE","Site QA","Interior Fitout","Block C","Unit 23","Mechanical First Fix"
"009692cc-6136-54f6-9e3b-5edbf3e20373","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 23","Mechanical First Fix","Electrical first fix complete"
"61b0b9b8-6e38-52d4-ac9e-642502252547","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 23","Mechanical First Fix","Trades QA received & attached as applicable"
"886fbac9-b159-41b7-a5c0-4dc8efc5ffe9","checklist-flat has incorrect meta.stepType checkpoint-group","checklist-flat","fail","_TEMP - Global Fire","checklist-flat","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 23","Global Fire"
"32cfad17-9ac5-5c70-b261-b332be4a4a9f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 23","Global Fire","Ensure all penetrations have been installed as per specifications"
"4e3b804f-e618-5fad-ba42-46b440d3409a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 23","Global Fire","Ensure all fire collars have been installed in accordance with manufacturer's specifications"
"0bae9793-4620-5421-9d43-d65ba7c38e43","","checkpoint-status","fail","","","TRUE","TRUE","Site QA","Interior Fitout","Block C","Unit 23","Global Fire","Trades QA received & attached as applicable"
