"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"355ef459-b353-4bd8-8662-10c122f66761","","folder-normal","fail","","step","TRUE","FALSE","QA"
"be662c48-8e32-49c7-a243-9edd3ffb8210","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Foundations"
"d2e622a3-4b9c-49f0-83b2-1afef7b2e0a6","","folder-normal","not-started","","step","TRUE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)"
"d4272bb5-d005-42b1-a428-f277e51cf633","","checklist-sectioned","not-started","Add Stormwater Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)"
"91558a18-b950-4297-9166-aa9a4f74d7b4","","checkpoint-group","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d","","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)","Pipe Laying"
"e9742d96-0960-5e9d-bcf8-c9fcefdee5fa","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:7380d09c-6af4-4650-92cc-91e3bd63c483","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","First fix","All pipework is clipped neatly, tidy and silicone."
"8fdc88f2-1c6d-578d-b82c-858bdde15da3","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:5a5d8ba0-11a6-4a1a-bd87-a372fd8e872b","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","First fix","All inspections and tests are complete including water to 1500kpa and wastepipe flood test."
"5b0a917d-e588-5de1-91a1-d6eba2070aac","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:00f23d55-49e7-49aa-b38c-fd85c213506b","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","First fix","Waterpipes are left under working pressure and test gauge has been removed."
"c53ecb37-6d5f-597f-a8ac-e9957c2f9329","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:c5ecd90f-2a88-4a7a-86c2-a742306b1d5d","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","First fix","Area has been left clean and tidy."
"e026a83a-6bff-526a-b520-869aa6429268","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:891cb54a-ba26-4735-8613-98eb5c6a2986","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","First fix","Inspection has been completed."
"77d3395e-3fd8-5b8f-9bf4-f973c80e9199","","checkpoint-group","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95","","FALSE","FALSE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","Second fix"
"f1fe4d03-906e-5f64-ab38-d9d243be2eb7","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:505fbe2e-2a53-416e-9594-06d0b7b38d87","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","Second fix","Fit off fixtures match plan."
"6db75d40-a17c-57eb-9fa2-81ca6b5870e8","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:2b5012e4-1e9a-41f7-959b-5870ea2111fe","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","Second fix","All pipework has been flushed post pressure testing (Plumbing and drainage pipework). All commissioning completed."
"e22f6403-1a9a-542b-893d-3e652c290a87","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:f6d4151a-2998-4bce-a73f-79a4566f86d9","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","Second fix","No debris in floor wastes or stubs."
"6caab175-83cc-59a4-94a9-4b0aa5b810bf","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:e3dfe13d-f708-4f35-a6a1-f988fda7d128","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","Second fix","The correct pipework has been used for the high temperature HWC drain."
"7bed9dcd-f485-53f4-96ba-f3fffc575a92","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:b5cb3386-bd41-44b1-ac13-f27c38ebc399","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","Second fix","Flanges installed on all pipework."
"538340a1-7379-5cb9-9626-3a14002c397a","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:145eda1f-bbfe-4ade-8c40-c8f633a1e842","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","Second fix","All soil pipes are connected to sanitary sewer."
"40fc8960-2f3e-5fc2-82f6-68d9371b541d","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:b2356770-88e0-422e-b78a-d179cce89f0f","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","Second fix","No cross overs, hot on left and cold on right."
"e6763336-c1aa-50dd-8aa0-784f1952e048","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:870fef65-3a14-45c8-889f-e6fa7627c02d","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","Second fix","All fixtures are silicone down and splash sealed."
"8adbef78-1aaa-56e3-ac60-8c9812152183","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:a845ba1d-88c6-4286-8822-57387aafc2a4","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","Second fix","Area left clean and tidy."
"8c29db52-8b83-5c73-951a-ddfc07fc669a","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:3f03d350-73b0-4f09-b6ef-52060595d7cf","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 808","Second fix","Inspection completed."
"7bbc6a43-a0a5-5b70-8ac7-284fa1dc65bc","","checklist-sectioned","work-in-progress","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31","checklist","FALSE","FALSE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809"
"853cb483-b10e-58ed-8f4b-bd50f38dcd6b","","checkpoint-group","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4","","FALSE","FALSE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix"
"0979010c-29d0-5d5c-9b7f-c4593d0f64e2","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:8a6c1339-fd89-4472-b6d0-ce668c1ac43d","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix","Correct version of plans and revisions."
"f5ec889c-c9d7-5b35-8383-be91a38739e0","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:bcd50bf5-c376-470f-ac06-0fd7d389f748","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix","Check for correct fixtures/ client changes."
"8afd54de-f2e3-5a3b-88ec-77f465d325fc","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:2e7d32b3-9888-465f-a81d-374dafa0cc65","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix","Correct pipe size, material, class, level, grades and joints as per specs."
"3c75b156-12d7-57ae-9df8-4a4acf297636","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:0c5a40c1-8787-4332-9beb-20a7924bc827","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix","Hot water pipes run the shortest way possible and thermally lagged."
"b22d52a2-c502-5675-9172-dc79881597ff","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:285ddc83-d6ec-4bc1-b0e1-5d29134ef3bf","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix","Specified waste pipework is acoustically lagged."
"3d8dcc93-9658-58c2-9841-0e1b78c6fa66","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:6263812e-352d-4495-ba10-4cefa46241d9","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix","All joist brackets or reinforcements installed if required."
"6b6ad072-4956-53a9-a337-276b320c81ff","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:901f5e11-a916-4e32-b237-1cfae8f2b074","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix","All nogs/fixings are installed."
"d4c75e24-7bc3-54b7-9171-620c2a926fa8","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:d579f388-6378-4f0c-80fe-60883769ae11","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix","Check all wingback and wastepipe  heights against the plans."
"72164a2b-e3f5-5492-8f77-79ad26470ee5","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:7380d09c-6af4-4650-92cc-91e3bd63c483","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix","All pipework is clipped neatly, tidy and silicone."
"641d46d0-4bb4-51d8-b380-aee428f77790","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:5a5d8ba0-11a6-4a1a-bd87-a372fd8e872b","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix","All inspections and tests are complete including water to 1500kpa and wastepipe flood test."
"238bf9c3-dc29-5413-aed7-3da3ecf4f88f","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:00f23d55-49e7-49aa-b38c-fd85c213506b","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix","Waterpipes are left under working pressure and test gauge has been removed."
"5db45288-4f7f-5330-a01f-01fe96838a73","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:c5ecd90f-2a88-4a7a-86c2-a742306b1d5d","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix","Area has been left clean and tidy."
"1541acc9-44f7-5bfd-a6e9-b3740691ed07","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:891cb54a-ba26-4735-8613-98eb5c6a2986","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","First fix","Inspection has been completed."
"8007b146-5d36-5129-bb74-6375dbb05355","","checkpoint-group","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95","","FALSE","FALSE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","Second fix"
"3cef8573-9e1a-5157-8289-6cec6c30cf40","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:505fbe2e-2a53-416e-9594-06d0b7b38d87","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","Second fix","Fit off fixtures match plan."
"ea923312-09b3-5368-a573-bfd4926c9e25","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:2b5012e4-1e9a-41f7-959b-5870ea2111fe","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","Second fix","All pipework has been flushed post pressure testing (Plumbing and drainage pipework). All commissioning completed."
"005908c6-5435-5334-b18a-88d33bdf23f0","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:f6d4151a-2998-4bce-a73f-79a4566f86d9","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","Second fix","No debris in floor wastes or stubs."
"04276975-9534-58d2-b9ca-6ab72f3daa99","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:e3dfe13d-f708-4f35-a6a1-f988fda7d128","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","Second fix","The correct pipework has been used for the high temperature HWC drain."
"42d69487-c80e-54fd-9ee0-24ecd4fb3f08","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:b5cb3386-bd41-44b1-ac13-f27c38ebc399","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","Second fix","Flanges installed on all pipework."
"0b92f7e0-aa48-5e14-81a5-1feea7282290","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:145eda1f-bbfe-4ade-8c40-c8f633a1e842","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","Second fix","All soil pipes are connected to sanitary sewer."
"a6469c58-dabe-5a33-bacc-10d86aeca7e6","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:b2356770-88e0-422e-b78a-d179cce89f0f","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","Second fix","No cross overs, hot on left and cold on right."
"d1f25bc9-8a57-5cf3-916d-cf566b4e1e59","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:870fef65-3a14-45c8-889f-e6fa7627c02d","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","Second fix","All fixtures are silicone down and splash sealed."
"162b7675-710b-5ba3-a355-c0e6c373cea2","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:a845ba1d-88c6-4286-8822-57387aafc2a4","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","Second fix","Area left clean and tidy."
"1882f9c2-78bf-56a3-b990-31d91edd4c21","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:3f03d350-73b0-4f09-b6ef-52060595d7cf","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 809","Second fix","Inspection completed."
"5895e1bc-d76a-5730-b6e0-b7ce599520f4","","checklist-sectioned","work-in-progress","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31","checklist","FALSE","FALSE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810"
"2c4a7b28-0fb2-5817-953f-e9872a0b1b5c","","checkpoint-group","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4","","FALSE","FALSE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix"
"1a94b8db-45b0-506c-a4b6-4c6ebb633eab","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:8a6c1339-fd89-4472-b6d0-ce668c1ac43d","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix","Correct version of plans and revisions."
"d156b908-6a86-59e2-8b31-a6176612eef9","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:bcd50bf5-c376-470f-ac06-0fd7d389f748","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix","Check for correct fixtures/ client changes."
"ca70746c-a98a-5b67-bef0-3b5dbba581f9","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:2e7d32b3-9888-465f-a81d-374dafa0cc65","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix","Correct pipe size, material, class, level, grades and joints as per specs."
"ff352109-9c97-568e-a75b-ae6ca75ed2e7","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:0c5a40c1-8787-4332-9beb-20a7924bc827","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix","Hot water pipes run the shortest way possible and thermally lagged."
"f5a4a64d-5b7f-57f7-b652-da2cf9a3cf48","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:285ddc83-d6ec-4bc1-b0e1-5d29134ef3bf","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix","Specified waste pipework is acoustically lagged."
"757b4c93-41f1-5e52-ae08-bbe84075dd5e","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:6263812e-352d-4495-ba10-4cefa46241d9","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix","All joist brackets or reinforcements installed if required."
"d944f45e-b395-5e1e-a27c-c8a067d835a1","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:901f5e11-a916-4e32-b237-1cfae8f2b074","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix","All nogs/fixings are installed."
"f6efda0f-41d3-54b4-a9f6-205ec7d4cc1d","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:d579f388-6378-4f0c-80fe-60883769ae11","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix","Check all wingback and wastepipe  heights against the plans."
"fe9dc0a6-f14c-5b22-b1b7-2a9916717b0f","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:7380d09c-6af4-4650-92cc-91e3bd63c483","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix","All pipework is clipped neatly, tidy and silicone."
"5c4e16e1-8272-599c-80b8-84fe49259502","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:5a5d8ba0-11a6-4a1a-bd87-a372fd8e872b","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix","All inspections and tests are complete including water to 1500kpa and wastepipe flood test."
"2bafdab2-fe02-56ca-9414-9d364cf3efd2","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:00f23d55-49e7-49aa-b38c-fd85c213506b","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix","Waterpipes are left under working pressure and test gauge has been removed."
"d63331f9-415a-5bc7-9490-082069dd9371","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:c5ecd90f-2a88-4a7a-86c2-a742306b1d5d","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix","Area has been left clean and tidy."
"6db27738-72f5-5ce8-9a5f-0bfbfae41020","","checkpoint-status","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4:891cb54a-ba26-4735-8613-98eb5c6a2986","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","First fix","Inspection has been completed."
"09b383e3-0b2b-58e5-9353-9f8cd9ea7997","","checkpoint-group","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95","","FALSE","FALSE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","Second fix"
"9173391f-c359-5a83-a7a1-7a70db199842","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:505fbe2e-2a53-416e-9594-06d0b7b38d87","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","Second fix","Fit off fixtures match plan."
"2f5f963e-0d3b-59b3-ad96-98bffa418f2c","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:2b5012e4-1e9a-41f7-959b-5870ea2111fe","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","Second fix","All pipework has been flushed post pressure testing (Plumbing and drainage pipework). All commissioning completed."
"1345c40a-7e2c-50a5-a6ca-91a5df869c42","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:f6d4151a-2998-4bce-a73f-79a4566f86d9","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","Second fix","No debris in floor wastes or stubs."
"741ed8fc-e648-5e54-bd0f-53ea43ffec8b","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:e3dfe13d-f708-4f35-a6a1-f988fda7d128","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","Second fix","The correct pipework has been used for the high temperature HWC drain."
"0eb3f0dc-b277-5573-97c8-ef7439b2c952","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:b5cb3386-bd41-44b1-ac13-f27c38ebc399","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","Second fix","Flanges installed on all pipework."
"72aa9b7b-8b51-5879-925f-776be8125b93","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:145eda1f-bbfe-4ade-8c40-c8f633a1e842","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","Second fix","All soil pipes are connected to sanitary sewer."
"363c4bc2-4ea1-50e5-9474-184cc974360e","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:b2356770-88e0-422e-b78a-d179cce89f0f","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","Second fix","No cross overs, hot on left and cold on right."
"381efb59-35f2-5778-a277-82be91495ded","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:870fef65-3a14-45c8-889f-e6fa7627c02d","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","Second fix","All fixtures are silicone down and splash sealed."
"0a18047f-3ee6-59d0-9d27-c44567af1b27","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:a845ba1d-88c6-4286-8822-57387aafc2a4","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","Second fix","Area left clean and tidy."
"7d8be69f-ea0d-55c8-b613-0d4707aa0aec","","checkpoint-status","not-started","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:ecc12a1a-80de-44d4-ae7a-5ea56b242a95:3f03d350-73b0-4f09-b6ef-52060595d7cf","","TRUE","TRUE","QA","Tower 2 (East) Level 5 Apartments","Apartment 810","Second fix","Inspection completed."
"84597b5b-803f-5719-b4a2-d8589e461720","","checklist-sectioned","work-in-progress","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31","checklist","FALSE","FALSE","QA","Tower 2 (East) Level 5 Apartments","Apartment 811"
"239898f4-3c6e-53c6-b057-f15c54cd7814","","checkpoint-group","pass","d832509ee2833f9edde1362bf3740780d1abefe47249692de10b44c7cfc6ca31:7d64568f-d9d3-454f-975d-06d55076b1e4","","FALSE","FALSE","QA","Tower 2 (East) Level 5 Apartments","Apartment 811","First fix"
