resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,,Tier 7,Tier 8,Tier 9,,,,
,step,,,,,,,02MPL021,,,,,,,,,
,step,,,,,,,,Toilet/Shower - Patient ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02MPL020,,,,,,,,,
,step,,,,,,,,Office - Clinical Workroom,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02MPL016,,,,,,,,,
,step,,,,,,,,Exercise Test Room,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R06 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-MPL-AHU020-VAV-056 - Holyoake HCV-175 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
,step,,,,,,,02MPL038,,,,,,,,,
,step,,,,,,,,Corridor,,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-MPL-AHU020-VAV-057 - Holyoake HCV-150 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,02MPL011,,,,,,,,,
,step,,,,,,,,EEG,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R06 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-MPL-AHU020-VAV-059 - Holyoake HCV-150 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,02MPL033,,,,,,,,,
,step,,,,,,,,EMG/Vestibular/Autonomic/Evoked Potential ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R05 - Holyoake EC-125 450x450 - Return Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-MPL-AHU020-VAV-054 - Holyoake HCV-175 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,02MPL032,,,,,,,,,
,step,,,,,,,,Patient Bay - Holding 6m2,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-MPL-AHU020-VAV-055 - Holyoake HCV-150 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
Attenuator QA Checklist ,checklist,,,,,,,,,112-2B-AHU020-ATT-055 - NCS Cylindrical Attenuator HP-2D-M 615x300Ø - 130 L/s Attenuator,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
,step,,,,,,,02MPL031,,,,,,,,,
,step,,,,,,,,Clean Utility - Medication ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R06 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
,step,,,,,,,02MPL030,,,,,,,,,
,step,,,,,,,,Clean Up,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02CLS011,,,,,,,,,
,step,,,,,,,,Cleaner ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02CLE009,,,,,,,,,
,step,,,,,,,,Dirty Utility - Sub,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02CLS010,,,,,,,,,
,step,,,,,,,,Store - Consumables ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S01 - Holyoake CFPP 450/24 450x450 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02CLE008,,,,,,,,,
,step,,,,,,,,Consult,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S04 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02CLE007,,,,,,,,,
,step,,,,,,,,Consult,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S04 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-CLE-AHU009-VAV-037 - Holyoake HCV-225 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,02CLE006,,,,,,,,,
,step,,,,,,,,Consult,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S04 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02CLE005,,,,,,,,,
,step,,,,,,,,Consult,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S04 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02CLE004,,,,,,,,,
,step,,,,,,,,Office - Clinical Workroom,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-CLE-AHU009-VAV-039 - Holyoake HCV-150 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-CLE-AHU009-VAV-038 - Holyoake HCV-175 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
Attenuator QA Checklist ,checklist,,,,,,,,,112-2B-AHU009-ATT-038 - NCS Cylindrical Attenuator HP-2D-M 615x300Ø - 170 L/s Attenuator,,,,,,,
,step,,,,,,,Ceiling ,,,,,,,,,
Steel Duct Install QA,checklist,,,,,,,,Ducting ,,,,,,,,
Flexi duct QA Checklist,checklist,,,,,,,,Flexiduct,,,,,,,,
Steel Pipe QA Checklist ,checklist,,,,,,,,Low Temerature Hot Water Black Steel,,,,,,,,
Steel Pipe QA Checklist ,checklist,,,,,,,,Chilled Water Black Steel,,,,,,,,
PVC Pipework Install,checklist,,,,,,,,Drain Condensate PVC,,,,,,,,
PVC Pipework Install,checklist,,,,,,,,Motorised Valve Chilled Water (x2),,,,,,,,
PVC Pipework Install,checklist,,,,,,,,Motorised valve Low Temperature Hot Water (x5),,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,O2Oxygen Copper,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,VACMedical Vacuum Copper,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,CANon Patient Compressed Air Copper,,,,,,,,
,step,,,,,Zone 8,,,,,,,,,,,
,step,,,,,,BCA-DWD-112-MG-20202 / BCA-DWD-112-ME-20257 / BCA-DWD-112-ME-30257,,,,,,,,,,
,step,,,,,,,02TRA003,,,,,,,,,
,step,,,,,,,,Corridor,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R07 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R05 - Holyoake EC-125 450x450 - Return Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-MPL-AHU020-VAV-063 - Holyoake HCV-200 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,02CLE003,,,,,,,,,
,step,,,,,,,,Consult - Class N ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E09 - Holyoake RL-23 400x400 - Extract Grille ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper Ø200 - Fire Damper ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Vacuum Outlet ,,,,,,,
,step,,,,,,,02WCO023,,,,,,,,,
,step,,,,,,,,Toilet/Shower Accessible ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper Ø200 - Smoke Damper,,,,,,,
,step,,,,,,,02MPL035,,,,,,,,,
,step,,,,,,,,Waiting 10m2,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-MPL-AHU020-VAV-062 - Holyoake HCV-100 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,02MPL034,,,,,,,,,
,step,,,,,,,,Interview ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S02 - Holyoake CFPP 450/24 450x450 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
,step,,,,,,,02MPL002,,,,,,,,,
,step,,,,,,,,Staff Station ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S26 - Holyoake CFPP-R 615/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
,step,,,,,,,02MPL004,,,,,,,,,
,step,,,,,,,,Toilet - Patient,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
,step,,,,,,,02WCO016,,,,,,,,,
,step,,,,,,,,Workstations - Allocated/Non-Allocated ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille,,,,,,,
,step,,,,,,,02WCO022,,,,,,,,,
,step,,,,,,,,Corridor,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R07 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R07 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-WCO-AHU025-VAV-045 - Holyoake HCV-300 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-WCO-AHU025-VAV-041 - Holyoake HCV-250 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-WCO-AHU025-VAV-044 - Holyoake HCV-175 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,02WCO008,,,,,,,,,
,step,,,,,,,,Booth - Quiet ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S02 - Holyoake CFPP 450/24 450x450 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,,,
,step,,,,,,,02WCO006,,,,,,,,,
,step,,,,,,,,Seating - Informal,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R07 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
,step,,,,,,,02WCO007,,,,,,,,,
,step,,,,,,,,Booth - Open ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
,step,,,,,,,02WCO003,,,,,,,,,
,step,,,,,,,,Booth - Quiet ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S01 - Holyoake CFPP 450/24 450x450 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02WCO004,,,,,,,,,
,step,,,,,,,,Booth - Quiet ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S01 - Holyoake CFPP 450/24 450x450 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02WCO019,,,,,,,,,
,step,,,,,,,,Booth - Quiet ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S01 - Holyoake CFPP 450/24 450x450 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02WCO020,,,,,,,,,
,step,,,,,,,,Booth - Quiet ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S01 - Holyoake CFPP 450/24 450x450 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02WCO021,,,,,,,,,
,step,,,,,,,,Booth - Quiet ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S01 - Holyoake CFPP 450/24 450x450 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02WCO002,,,,,,,,,
,step,,,,,,,,Staff Room ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E02 - Holyoake EC-125 300x300 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-WCO-AHU025-VAV-042 - Holyoake HCV-175 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
Attenuator QA Checklist ,checklist,,,,,,,,,112-2B-AHU025-ATT-042 - NCS Cylindrical Attenuator HP-2D-M 615x300Ø - 215 L/s Attenuator ,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-WCO-AHU025-VAV-043 - Holyoake HCV-175 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,02WCO028,,,,,,,,,
,step,,,,,,,,Meeting - 20m2,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,Ceiling ,,,,,,,,,
Steel Duct Install QA,checklist,,,,,,,,Ducting ,,,,,,,,
Flexi duct QA Checklist,checklist,,,,,,,,Flexiduct,,,,,,,,
Steel Pipe QA Checklist ,checklist,,,,,,,,Low Temerature Hot Water Black Steel,,,,,,,,
Steel Pipe QA Checklist ,checklist,,,,,,,,Motorised Valve Low Temperatue Hot Water (x4),,,,,,,,
PVC Pipework Install,checklist,,,,,,,,Oxygen Copper,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,Medical Vacuum Copper,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,Non Patient Compressed Air Copper,,,,,,,,
,step,,,,,Zone 9,,,,,,,,,,,
,step,,,,,,BCA-DWD-112-MG-20202 / BCA-DWD-112-ME-20258 / BCA-DWD-112-ME-30258,,,,,,,,,,
,step,,,,,,,02MPL024,,,,,,,,,
,step,,,,,,,,Report,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02MPL023,,,,,,,,,
,step,,,,,,,,Remote Monitoring ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S04 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02CLS012,,,,,,,,,
,step,,,,,,,,Disposal,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02MPL039,,,,,,,,,
,step,,,,,,,,Corridor,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R06 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
,step,,,,,,,02TRA010,,,,,,,,,
,step,,,,,,,,Corridor,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T06 - Holyoake EC-125 600x600 - Extract/Transfer Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper 200x200 - Smoke Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper 200x200 - Fire Damper ,,,,,,,
Smoke Damper QA Checklist,checklist,,,,,,,,,SD - Smoke Damper 200x200 - Smoke Damper ,,,,,,,
,step,,,,,,,02MPL019,,,,,,,,,
,step,,,,,,,,Store - Equipment ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,T05 - Holyoake EC-125 450x450 - Extract/Tranfer Grille ,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,E05 - Holyoake EC-125 450x450 - Extract/Tranfer Grille ,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-MPL-AHU020-VAV-053 - Holyoake HCV-150 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
Attenuator QA Checklist ,checklist,,,,,,,,,112-2B-AHU020-ATT-053 - NCS Cylindrical Attenuator HP-2D-M 615x300Ø - 125 L/s Attenuator ,,,,,,,
,step,,,,,,,02MPL017,,,,,,,,,
,step,,,,,,,,Spirometry/Bronchial Challenge/Plethysmohraphy ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R05 - Holyoake EC-125 450x450 - Return Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Gases Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT666Non Patient Compressed Air Outlet ,,,,,,,
,step,,,,,,,02MPL018,,,,,,,,,
,step,,,,,,,,Spirometry/Bronchial Challenge/Plethysmohraphy ,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R05 - Holyoake EC-125 450x450 - Return Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S06 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-MPL-AHU020-VAV-058 - Holyoake HCV-150 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT202Oxygen Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT502Medical Gases Outlet ,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,,OUT666Non Patient Compressed Air Outlet ,,,,,,,
,step,,,,,,,02MPL009,,,,,,,,,
,step,,,,,,,,EEG/EMG/EP,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R06 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-MPL-AHU020-VAV-061 - Holyoake HCV-150 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,02MPL010,,,,,,,,,
,step,,,,,,,,EEG,,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,R06 - Holyoake EC-125 600x600 - Return Grille,,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille,,,,,,,
VAV QA Checklist,checklist,,,,,,,,,112-2B-MPL-AHU020-VAV-060 - Holyoake HCV-150 - Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,,,,,,,
,step,,,,,,,02ENG028,,,,,,,,,
,step,,,,,,,,Riser,,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper 1150x450 - Fire Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper 300x350 - Fire Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper 300x350 - Fire Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper 300x350 - Fire Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper 250x250 - Fire Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper Ø250 - Fire Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire damper 350x350 - Fire Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper 200x200 - Fire Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper 600x600 - Fire Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper 700x600 - Fire Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper 350x200 - Fire Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper Ø350 - Fire Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper 700x350 - Fire Damper ,,,,,,,
Fire Damper ,checklist,,,,,,,,,FD - Fire Damper 550x350 - Fire Damper ,,,,,,,
,step,,,,,,,Ceiling ,,,,,,,,,
Steel Duct Install QA,checklist,,,,,,,,Ducting ,,,,,,,,
Flexi duct QA Checklist,checklist,,,,,,,,Flexiduct,,,,,,,,
Steel Pipe QA Checklist ,checklist,,,,,,,,Low Temerature Hot Water Black Steel,,,,,,,,
Steel Pipe QA Checklist ,checklist,,,,,,,,Motorised Valve Low Temperatue Hot Water (x4),,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,O2Oxygen Copper,,,,,,,,
HTM02 -01 B1 Carcus Test,checklist,,,,,,,,VACMedical Vacuum Copper,,,,,,,,
