resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,L3 Lift Lobby,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Lift Lobby,,,,,,,,,,,,
,step,,,,,Level 4,,,,,,,,,,,,,,
,step,,,,,,4.01,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,4.02,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,4.03,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,4.04,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,4.05,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,4.06,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,4.07,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,4.08,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,4.09,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony 2,,,,,,,,,,,,
,step,,,,,,4.1,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,L4 Lift Lobby,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Lift Lobby,,,,,,,,,,,,
,step,,,,,Level 5,,,,,,,,,,,,,,
,step,,,,,,5.01,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bedroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bedroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,5.02,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Study,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,5.03,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,5.04,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,5.05,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,5.06,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,5.07,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,5.08,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Small Balcony,,,,,,,,,,,,
,step,,,,,,5.09,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony 2,,,,,,,,,,,,
,step,,,,,,5.1,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,L5 Lift Lobby,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Lift Lobby,,,,,,,,,,,,
,step,,,,,Level 6,,,,,,,,,,,,,,
,step,,,,,,6.01,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,6.02,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,6.03,,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,6.04,,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,6.05,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,6.06,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Living Area,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bathroom 1,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Bathroom 2,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Kitchen,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Balcony,,,,,,,,,,,,
,step,,,,,,Public Toilet,,,,,,,,,,,,,
,step,,,,,,,Laundry,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,,Floor,,,,,,,,,,,
Wall Floor Tiling ITP,checklist,,,,,,,,Wall,,,,,,,,,,,
,step,,,,,,L6 Lift Lobby,,,,,,,,,,,,,
Floor Floor Tiling ITP,checklist,,,,,,,Lift Lobby,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
