"","data:Lot Created On","data:Lot Opened On","data:Work Commenced On","data:Work Completed On","data:Work Completed On","data:Lot Type","data:From and To Chainage","data:Construction Element","data:Activity","data:Design Package No","data:Traffic Direction","data:Engineer Responsible","data:comments","data:Print Name:","data:Date:","data:Lot verified By","data:Is the relevant NCR attached to the Lot?","data:Lot Status","data:Lot Closed On"
"ITP-009-A1-LOT-008 - Hume Hwy South Median - CH70194 - CH70280 - NB - Pavement Type 3","01/08/2022","01/08/2022","01/08/2022","23/08/2022",," EAL- Earthworks Lot","CH70140 to CH70190","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVR-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","08/09/2022","pass","pass","pass","pass"
"ITP-009-A1-LOT-009- Hume Hwy South Median - CH70142 - CH70194 - NB - Pavement Type 6","05/08/2022","05/08/2022","05/08/2022","23/08/2022",,"","CH70142 to CH70192","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","02/09/2022","pass","pass","pass","pass"
"ITP-009-A1-LOT-010- Hume Hwy North- Bullnose - CH16366 - CH16380","20/07/2022","20/07/2022","20/07/2022","01/08/2022",," EAL- Earthworks Lot","CH16366 to CH16380 ","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001","","Qassim Al-Montafjy","","Qassim Al-Montafjy","11/10/2022","pass","pass","pass","pass"
"ITP-009-A1-LOT-012 - Memorial Park - CH16266 to CH16350 - WB ","","","","not started",,"","CH16266 - CH16350 ","","","","","Qassim Al-Montafjy","","not started","","","","",""
"ITP-009-A1-LOT-013- Memorial Park - CH16148 to CH16266 - WB","30/01/23","30/01/23","30/01/23","pass",,"","CH16148 to CH16266","","","","","Philip Klenkowski ","","pass","","","","",""
"ITP-009-A1-LOT-014- Memorial Park - CH26148 to CH26266 - EB","19/01/2023","19/01/2023","19/01/2023","pass",," EAL- Earthworks Lot","26148 to 26266","PAVI - Paving","PAVI - Unbound Pavements","1145-ACM-CVD-DPK-0002","EB - Eastbound","Qassim Al-Montafjy","","pass","pass","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","23/03/2023"
"ITP-009-A1-LOT-015 - Hume Hwy West Slither - CH70075 to CH70200 ","19/12/2022","19/12/2022","15/12/2022","pass",," EAL- Earthworks Lot","CH70075 to CH70200","PAVI - Paving","PAVI - Unbound Pavements","1145-ACM-CVD-DPK-0002"," NB - Northbound","Qassim Al-Montafjy","","pass","pass","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","23/03/2023"
"ITP-009-A1-LOT-016 - Zone 3 West - CH15078 - 14900 (Layer 1)","18/01/2023","18/01/2023","18/01/2023","pass",," EAL- Earthworks Lot","CH14900 to CH15078","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","","pass","pass","","","",""
"ITP-009-A1-LOT-017 - Bridgewater Road Northern Median - CH25090 - CH25100","13/01/2023","13/01/2023","13/01/2023","not started",," EAL- Earthworks Lot","CH25090 - CH25100","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," NB - Northbound","Ahmad El Wazer","Class 4 Placement","not started","not started","","","",""
"ITP-009-A1-LOT-018 - Bridgewater Road Southern Median - CH25090 - CH25100","20/01/2023","20/01/2023","20/01/2023","not started",,"","","","","","","James Moran","","not started","not started","","","",""
"ITP-009-A1-LOT-019 - Bridgewater Road South East Corner - CH25115 - CH25120","17/01/2023","17/01/2023","17/01/2023","not started",," EAL- Earthworks Lot","CH25115 - CH25120","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Ahmad El Wazer","","not started","not started","","","",""
"ITP-009-A1-LOT-020 - Bridgewater Road  - CH25080 - CH25115","16/01/2023","16/01/2023","16/01/2023","not started",," EAL- Earthworks Lot","CH25080 to CH25115","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," ME - Median","Ahmad El Wazer","","not started","not started","","","",""
"ITP-009-A1-LOT-021 - Zone 3 West - CH14880 - 14900 (Layer 1)","23/01/2023","23/01/2023","23/01/2023","pass",," EAL- Earthworks Lot","CH14880 to CH14900","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","Re do the proof roll due to  use the area to stock pile the Bridgewater occu materials","pass","23/01/2023","","","",""
"ITP-009-A1-LOT-022 - Zone 2 - Craigieburn Plaza Eastbound - CH25900 - CH26060","14/01/23","14/01/23","14/01/23","pass",," EAL- Earthworks Lot","25900 - 26060","PAVI - Paving","SUC4 - Subbase - Class 4","1145-ACM-CVD-DPK-0002","EB - Eastbound","Philip Klenkowski","","pass","pass","","","",""
"ITP-009-A1-LOT-023 - Zone 3 West - CH14880 - 15078 (Layer 2)","23/01/2023","23/01/2023","23/01/2023","not started",," EAL- Earthworks Lot","CH14880 to CH15078","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","","not started","","","","",""
"ITP-009-A1-LOT-024- Memorial Park - CH26266 - CH26330 - EB","22/01/2023","22/01/2023","22/01/2023","pass",," EAL- Earthworks Lot","26266 to 26330","PAVI - Paving","PAVI - Unbound Pavements","1145-ACM-CVD-DPK-0002","EB - Eastbound","QassimAl-Montafjy","","pass","pass","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","23/03/2023"
"ITP-009-A1-LOT-025- Hardy RD - CH26060 - CH26140 - EB & WB","23/01/2023","23/01/2023","23/01/2023","pass",," EAL- Earthworks Lot","26060 to 26140","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Qassim Al-Montafjy","","pass","pass","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","23/03/2023"
"ITP-009-A1-LOT-026- Zone3.1 - CH14770- CH14880 - WB- 1st layer","30/01/2023","30/01/2023","30/01/2023","not started",," EAL- Earthworks Lot","CH14770 to CH14880","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","","not started","","","","",""
"ITP-009-A1-LOT-027 - Craigieburn Rd Westbound - CH26260 - CH26330","","","","not started",,"","","","","","","Qassim Al-Montafjy","","not started","","","","",""
"ITP-009-A1-LOT-028- Zone3.1 - CH14770- CH14880 - WB- 2nd layer","31/01/2023","31/01/2023","30/01/2023","not started",," EAL- Earthworks Lot","CH14770 to CH14880","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","2nd layer of Cl4","not started","","","","",""
"ITP-009-A1-LOT-029- Memorial Park - CH26330 - CH26360 - EB","","","","not started",,"","","","","","","Philip Klenkowski","","not started","","","","",""
"ITP-009-A1-LOT-030 - Memorial Park - CH26280 to CH26350 - EB","","","","not started",,"","","","","","","Philip Klenkowski","","not started","","","","",""
"ITP-009-A1-LOT-031 - Zone3.1 BTW Bridgewater and Gate 3.1- CH15070 to CH15080- 1st layer","31/01/2023","31/01/2023","31/01/2023","not started",,"CIL-Civil Lot","15070 to 15080","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","","not started","not started","","","",""
"ITP-009-A1-LOT-032 - Zone3.1 BTW Bridgewater and Gate 3.1- CH15070 to CH15080- 2nd layer","02/02/2023","02/02/2023","02/02/2023","not started",," EAL- Earthworks Lot","15070 to 15080","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","","not started","","","","",""
"ITP-009-A1-LOT-033 - Craigieburn Rd Westbound CH15780 TO CH16020 - Type 6 Pavement","","","","not started",,"","","","","","","Philip Klenkowski","","not started","","","","",""
"ITP-009-A1-LOT-034 - Craigieburn Rd Westbound CH16015 TO CH16080 - Type 3 Pavement","05/02/2023","05/03/2023","05/03/2023","pass",," EAL- Earthworks Lot","16015 To 16080","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Qassim Al-Montafjy","","pass","pass","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","04/05/2023"
"ITP-009-A1-LOT-035 - Zone 3.1 -Type7 pavement - CH15040 to CH15060-Cl3 ","09/02/2023","09/02/2023","09/02/2023","not started",," EAL- Earthworks Lot","CH15040 to CH15060","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","","not started","not started","","","",""
"ITP-009-A1-LOT-036 - Zone 3.1 -Type7 pavement - CH15040 to CH15060-Cl2","","","","not started",,"","","","","","","Khulood Hwayyis","","not started","","","","",""
"ITP-009-A1-LOT-037 - Zone 3.2 -Clovelly West - CH14500 to CH14745 - 1st layer","10/02/2023","10/02/2023","10/02/2023","not started",," EAL- Earthworks Lot","14500 to 14745","PAVI - Paving","SUC4 - Subbase - Class 4"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","","not started","not started","","","",""
"ITP-009-A1-LOT-038 - Zone 3.2 -Clovelly West - CH14500 to CH14745 - 2nd layer","11/02/2023","11/02/2023","10/02/2023","not started",," EAL- Earthworks Lot","CH14745 to CH14500","PAVI - Paving","PAVI - Unbound Pavements"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","","not started","not started","","","",""
"ITP-009-A1-LOT-039 - Zone 3.3 - Pavement Type 1 - CH14420 to CH14500","","","","not started",,"","","","","","","Khulood Hwayyis","","not started","","","","",""
"ITP-009-A1-LOT-040 - Craigieburn Rd Westbound CH15121 to CH15217 - ZONE 3.1E - PT3","21/04/23","21/04/23","21/04/23","not started",,"CIL-Civil Lot","15121 TO 15217","PAVI - Paving","SUC4 - Subbase - Class 4",""," WB - Westbound","ABDULLAH ABDULLAH","","not started","","","","",""
"ITP-009-A1-LOT-041 - Zone 4 Golf Course - CH14000 - CH14300","","","","not started",,"","","","","","","James Moran","","not started","","","","",""
"ITP-009-A1-LOT-042 - Zone 4 Golf Course - CH13600 - CH13850","","","","not started",,"","","","","","","James Moran","","not started","","","","",""
"ITP-009-A1-LOT-043 - Zone 4 Golf Course - CH14300 - CH14360","","","","not started",,"","","","","","","James Moran","","not started","","","","",""
"ITP-009-A1-LOT-044 - Zone 4 West - CH13540 - CH13600","","","","not started",,"","","","","","","James Moran","","not started","","","","",""
"ITP-009-A1-LOT-045 - Zone 3.2 - Craigieburn Rd Westbound - CH14660 to CH14780","","","","not started",,"","","","","","","James Moran","","not started","","","","",""
"ITP-009-A1-LOT-046 - Zone 4 Golf Course - CH13850 - CH14000","","","","not started",,"","","","","","","James Moran","","not started","","","","",""
"ITP-009-A1-LOT-047 - Zone 4 West - CH13420 - CH13540","","","","not started",,"","","","","","","","","not started","","","","",""
"ITP-010 - Subsoil Drainage",,,,,,,,,,,,,,,,,,,
"ITP-010-A1-LOT-001 - Hume Hwy North - Ch 70320 - Ch 70460- SB - Double Sides","29/06/2022","29/06/2022","29/06/200","09/05/2023",," DRL- Drainage Lot","70320 to 70452","","SUBS Subsoil Drainage Ê","1145-ACM-CVD-DPK-0002"," SB - Southbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","09/05/2023","","","",""
"ITP-010-A1-LOT-002 - Hume Hwy South - Ch 70140 - Ch 70204 - NB - Double sides","29/06/2022","29/06/2022","29/06/2022","09/05/2023",,"CIL-Civil Lot","CH70140 to CH70204","","SUBS Subsoil Drainage Ê","1145-ACM-CVD-DPK-0002"," NB - Northbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","09/05/2023","","","",""
"ITP-010-A1-LOT-003 - Hume Hwy North - Ch 70315 - Ch 70386 - NB -Double sides","04/07/2022","04/07/2022","04/07/2022","",," DRL- Drainage Lot","CH70315 to CH70386
","STOR - Stormwater","SUBS Subsoil Drainage Ê","1145-ACM-CVD-DPK-0002"," NB - Northbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","06/07/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","16/01/2023"
"ITP-010-A1-LOT-005- Hume Hwy North - Ch70460- Ch70490 - SB- Entry","06/07/2022","06/07/2022","06/07/2022","",," DRL- Drainage Lot","CH70460 to CH70490
","STOR - Stormwater","SUBS Subsoil Drainage Ê","1145-ACM-CVD-DPK-0002"," SB - Southbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","","","","",""
"ITP-010-A1-LOT-006- Hume Hwy North - Ch70306 - Ch70322 - Bullnose","22/07/2022","22/07/2022","22/07/2022","",,"","CH70306 to CH70322","STOR - Stormwater","SUBS Subsoil Drainage Ê","1145-ACM-CVD-DPK-0002","EB - Eastbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","09/05/2023","","","",""
"ITP-010-A1-LOT-007 - Hume Hwy South - Ch 70204 - Ch 70280 - NB - Double sides","22/07/2022","22/07/2022","22/07/2022","09/05/2023",," DRL- Drainage Lot","CH70204 to CH70280","STOR - Stormwater","SUBS Subsoil Drainage Ê","1145-ACM-CVD-DPK-0002"," NB - Northbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","09/05/2023","","","",""
"ITP-010-A1-LOT-008 - Hume STH Bullnose","19/07/2022","19/07/2022","19/07/2022","",,"","CH70270 - CH70280","","SUBS Subsoil Drainage Ê"," 1145-ACM-TSI-DPK-0002"," NB - Northbound","Qassim Al-Montafjy","","Qassim Al-Montafjy ","","","","",""
"ITP-010-A1-LOT-009 - Memorial Park WB CH16150 - CH16355 (Both Sides + Islands)","19/12/2022","20/11/2022","20/11/2022","",,"","CH16150 - CH16355","STOR - Stormwater","","","","Philip Klenkowski","","","","","","",""
"ITP-010-A1-LOT-010 - Memorial Park EB - CH26132 - CH26350 (Both Sides)","30-01-2023","30-01-2023","30-01-2023","",," DRL- Drainage Lot","CH26132 - CH26262","STOR - Stormwater","SUBS Subsoil Drainage Ê","","EB - Eastbound","Philip Klenkowski","","","","","","",""
"ITP-010-A1-LOT-011 - Hume Hwy West Slither - CH70075 to CH70220","30-01-2023","30-01-2023","30-01-2023","",," DRL- Drainage Lot","CH70075 to CH70220","STOR - Stormwater","SUBS Subsoil Drainage Ê"," 1145-ACM-CVP-DPK-0002"," NB - Northbound","philip klenkowski","","","","","","",""
"ITP-010-A1-LOT-012 - Bridgewater Road Northern Median - CH25090	- CH25100","14/01/2023","14/01/2023","14/01/2023","20-01-2023",," DRL- Drainage Lot","CH25090 - CH25100","STOR - Stormwater","SUBS Subsoil Drainage Ê"," 1145-ACM-CVD-DPK-0004","EB - Eastbound","Ahmad El Wazer","Subsoil placement from NW traffic island to Northern Median to South East corner into Pit 118","Ahmad El Wazer","25-01-2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","3/2/2023"
"ITP-010-A1-LOT-013 - Bridgewater Road Southern Median -CH25090 - CH25100","14/01/2023","14/01/2023","14/01/2023","14-01-2023",," DRL- Drainage Lot","CH25090 - CH25100","STOR - Stormwater","SUBS Subsoil Drainage Ê"," 1145-ACM-CVD-DPK-0004"," NB - Northbound","Ahmad El Wazer","Subsoil placement for Southern Island and tie into existing Subsoil Pipes","Ahmad El Wazer","25-01-2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","3/2/2023"
"ITP-010-A1-LOT-014 - Bridgewater Road South East Corner - CH25105 - CH25120","17-01-2023","17-01-2023","17-01-2023","17-01-2023",," DRL- Drainage Lot","CH25105 - CH25120","STOR - Stormwater","SUBS Subsoil Drainage Ê",""," SB - Southbound","Ahmad El Wazer","Subsoil placement from Northern Median Bullnose to South East corner into Pit 118","Ahmad El Wazer","25-01-2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","3/02/2023"
"ITP-010-A1-LOT-015 - Bridgewater Road centre crossing- CH25080 - CH25115","13-01-2023","13-01-2023","13-01-2023","14-01-2023",,"CIL-Civil Lot","CH25080 - CH25115","STOR - Stormwater","SUBS Subsoil Drainage Ê"," 1145-ACM-CVD-DPK-0004","EB - Eastbound","Ahmad El Wazer","Subsoil placement from at the interface of pavement changes between PT# and PT11. Connection will be at pit 297 and the S1 pit at the East Bullnonse median of Craigieburn/Bridgewater Intersection","Ahmad El Wazer","25-01-2023","","","",""
"ITP-010-A1-LOT-016 - zone 3.1 - CH14930 - CH15070 - Nth side","23/01/2023","23/01/2023","23/01/2023","",," DRL- Drainage Lot","14930 TO 15070","STOR - Stormwater","SUBS Subsoil Drainage Ê"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","KHULOOD HWAYYIS","","","","","","",""
"ITP-010-A1-LOT-017 - Craigieburn Rd EB - CH25980 - CH26140 (Both Sides)","01-02-2023","01-02-2023","01-02-2023","",," DRL- Drainage Lot","CH25980 - CH26140 ","STOR - Stormwater","SUBS Subsoil Drainage Ê","","","philip klenkowski","","","","","","",""
"ITP-010-A1-LOT-018 - Craigieburn Rd WB - CH26225 - CH26300 (Both Sides)","30-01-2023","30-01-2023","30-01-2023","",," DRL- Drainage Lot","CH26225 - CH26300","STOR - Stormwater","SUBS Subsoil Drainage Ê"," 1145-ACM-CVP-DPK-0002"," WB - Westbound","philip klenkowski","","","","","","",""
"ITP-010-A1-LOT-019 - zone 3.1 - CH14990 - CH15040 - Sth side - pit 346 to pit 090","21/01/2023","23/01/2023","21/01/2023","",," DRL- Drainage Lot","CH14990 to CH15040","STOR - Stormwater","SUBS Subsoil Drainage Ê"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","Khulood Hwayyis","From pit 346 to pit 090","","","","","",""
"ITP-010-A1-LOT-020 - zone 3.1 - CH14920 - CH14990 - Sth side - pit 090 to pit 092","21/01/2023","21/01/2023","21/01/2023","",," DRL- Drainage Lot","CH14920 to CH14990","STOR - Stormwater","SUBS Subsoil Drainage Ê"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","Khulood Hwayyis","From Pit 090 to pit 092","","","","","",""
"ITP-010-A1-LOT-021 - zone 3.1 - CH149990 - CH14780 - Sth & Nth sides","31/01/2023","31/01/2023","31/01/2023","",,"","CH14990 CH14780","STOR - Stormwater","SUBS Subsoil Drainage Ê"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","Khulood Hwayyis","","","","","","",""
"ITP-010-A1-LOT-022 - Zone 3.1 - CH14780 - CH14840 - Sth & Nth sides","02/02/2023","02/02/2023","02/02/2023","",," DRL- Drainage Lot","14780 TO 14840","STOR - Stormwater","SUBS Subsoil Drainage Ê"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","KHULOOD HWAYYIS","","","","","","",""
"ITP-010-A1-LOT-023 - Zone 3.1 - BTW Bridgewater West and Gate 3.1 - Sth & Nth sides","02/02/2023","02/02/2023","02/02/2023","",," DRL- Drainage Lot","15060 TO 15080","STOR - Stormwater","SUBS Subsoil Drainage Ê"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","KHULOOD HWAYYIS","","","","","","",""
"ITP-010-A1-LOT-024 - Plaza Median ","04-02-2023","04-02-2023","04-02-2023","",," DRL- Drainage Lot","","STOR - Stormwater","SUBS Subsoil Drainage Ê"," 1145-ACM-CVR-DPK-0002","EB - Eastbound","philip klenkowski","","","","","","",""
"ITP-010-A1-LOT-025 - Slip lane zone 3.1-  CH15040 to CH15060","10/02/2023","10/02/2024","10/02/2023","",," DRL- Drainage Lot","CH15040 to CH15060","STOR - Stormwater","SUBS Subsoil Drainage Ê",""," WB - Westbound","Khulood Hwayyis ","","","","","","",""
"ITP-010-A1-LOT-026 - P040 - P039 - Coffee Shop Z2 ","21/03/2023","21/03/2023","22/03/2023","",," DRL- Drainage Lot","25886 - 25937","STOR - Stormwater","SUBS Subsoil Drainage Ê"," 1145-ACM-CVP-DPK-0002","EB - Eastbound","Philip Klenkowski ","","","","","","",""
"ITP-010-A1-LOT-027 - Zone 4 - Lygon - Dorchestor CH13980 - CH14260 Sth","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-010-A1-LOT-028 - 3.1E Craigieburn Rd Subsoils Westbound - CH15121 to CH15211","","","","",,"","","","","","","","","","","","","",""
"ITP-010-A1-LOT-029 - Zone 4 - Lygon - Dorchestor CH14240 - CH14080 Nth side","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-010-A1-LOT-030 - 3.1 E north","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-010-A1-LOT-031 - Zone 4 - Lygon - Balyang CH13850 - CH13680 Nth & Sth side","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-010-A1-LOT-032 - Zone 4 - Lygon - Dorchestor CH14240 - CH14080 median","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-010-A1-LOT-033 - Zone 4 - Lygon - Dorchestor CH14240 - CH14380 Nth & Sth","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-010-A1-LOT-034 - Zone 3.2 - Craigieburn Rd Westbound - CH14520 to CH14780","","","","",,"","","","","","","","","","","","","",""
"ITP-010-A1-LOT-035 - Zone 4 - Balyang - Aitken CH13560 - CH13420 Nth & Sth","","","","",,"","","","","","","Mohammad Memari","","","","","","",""
"ITP-010-A1-LOT-036 - CM - Opposite Shell - WB","","","","",,"","15780 - 15850","","","","","","","","","","","",""
"ITP-011 - Cement Treated Crushed Rock",,,,,,,,,,,,,,,,,,,
"ITP-011-A1-LOT-001 - Hume Hwy North Median - CH70310 - CH70400 - NB ","15/07/2022","15/07/2022","15/07/2022","22/07/2022",," EAL- Earthworks Lot","CH70310 to CH70400","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVP-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","","Qassim Al-Montafjy ","04/08/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","05/08/2022"
"ITP-011-A1-LOT-002 - Hume Hwy North Median - CH70310 - CH70460 - SB ","15/07/2022","15/07/2022","15/07/2022","28/07/2022",," EAL- Earthworks Lot","CH70310 To CH70460","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVP-DPK-0001"," SB - Southbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","08/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","13/09/2022"
"ITP-011-A1-LOT-003 - Hume Hwy South Median - CH70194 - CH70280 - NB - Pavement Type 3","1/08/2022","1/08/2022","1/08/2022","16/09/2022",," EAL- Earthworks Lot","CH70194 to CH70280","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVP-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","","Philip Klenkowski","1/08/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","21/09/2022"
"ITP-011-A1-LOT-004 - Hume Hwy South Median - Bull-nose - CH16366 - CH16380 ","20/07/2022","20/07/2022","20/07/2022","16/09/2-22",,"CIL-Civil Lot","CH16366 to CH16380","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVR-DPK-0001"," ME - Median","Qassim Al-Montafjy","","Philip Klenkowski","1/08/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","21/09/2022"
"ITP-011-A1-LOT-005 - Hume Hwy West Slither - CH70075 to CH70200","06/02/2023","06/02/2023","06/02/2023","06/02/2023",," EAL- Earthworks Lot","CH70075 - CH70200","EART - Earthworks","EART - Cement Treated Crushed Rock","1145-ACM-CVD-DPK-0002"," WB - Westbound","Philip Klenkowski","","Philip Klenkowski","20/02/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","23/03/2023"
"ITP-011-A1-LOT-006 - Bridgewater Road  - CH25080 - CH25115","16/01/2023","16/01/2023","16/01/2023","",," EAL- Earthworks Lot","CH25080 - CH25115","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVP-DPK-0001","EB - Eastbound","Ahmad El Wazer","","","","","","",""
"ITP-011-A1-LOT-007 - Memorial Park - CH16148 to CH16266 - WB - CTCC","25/01/2025","25/01/2025","20/01/2025","25/01/2023",," EAL- Earthworks Lot","CH16148 - CH16266","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Philip Klenkowski ","","Philip Klenkowski ","20/02/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","24/03/2023"
"ITP-011-A1-LOT-008- Memorial Park - CH26148 to CH26240 - EB - CTCC","22/01/2023","22/01/2023","22/01/2023","22/01/2023",," EAL- Earthworks Lot","CH26148 - CH26240 ","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVP-DPK-0001","EB - Eastbound","Philip Klenkowski","","Philip Klenkowski","20/02/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","24/03/2023"
"ITP-011-A1-LOT-009- Zone3.1 - Between Bridgewater to Clovelly - CH14940 to CH15040 - WB - CTCC","","","","",,"","","","","","","Khulood Hwayyis","","","","","","",""
"ITP-011-A1-LOT-010- Memorial Park - CH261240 to CH26300 - EB - CTCC","20/01/2023","20/01/2023","22/01/2023","25/01/2023",," EAL- Earthworks Lot","CH26240 - CH26300","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVP-DPK-0001","EB - Eastbound","Philip Klenkowski ","","Philip Klenkowski","22/01/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","24/03/2023"
"ITP-011-A1-LOT-011- Walters Intersection - CH26060 - CH26180 - EB & WB","20/01/2023","20/01/2023","24/01/2023","24/01/2023",,"CIL-Civil Lot","CH26060 - CH26141","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVP-DPK-0001","","Philip Klenkowski","","Philip Klenkowski","20/01/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","24/03/2023"
"ITP-011-A1-LOT-012-  bus stop -Zone3.1 - Between Bridgewater to Clovelly - WB - CTCC","25/01/2023","25/01/2023","24/01/2023","",," EAL- Earthworks Lot","Bus stop Zone 3.1","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","khulood Hwayyis","","","","","","",""
"ITP-011-A1-LOT-013 - Zone 2 - Craigieburn Plaza Eastbound - CH25900 - CH26060","20/01/2023","20/01/2023","23/01/2023","25/01/2023",," EAL- Earthworks Lot","CH25900 - CH26060","EART - Earthworks","EART - Cement Treated Crushed Rock","","","Philip Klenkowski","","Philip Klenkowski","20/02/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","4/03/2023"
"ITP-011-A1-LOT-014 - Craigieburn Rd Westbound - CH26270 - CH26330","02/02/2023","02/02/2023","02/02/2023","02/02/2023",," EAL- Earthworks Lot","CH26270 - CH26330","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Philip Klenkowski","","Philip Klenkowski","20/02/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","24/03/2023"
"ITP-011-A1-LOT-015 - Memorial Park - CH26280 to CH26350 - EB - CTCC","02/02/2023","02/02/2023","02/02/2023","02/02/2023",," EAL- Earthworks Lot","CH26280 - CH26350 ","EART - Earthworks","EART - Cement Treated Crushed Rock"," 1145-ACM-CVP-DPK-0001","EB - Eastbound","Philip Klenkowski","","Philip Klenkowski ","20/02/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","24/03/2023"
"ITP-011-A1-LOT-016 -Z3.1 Middle to Clovelly - CH14770 to CH14900 - WB - CTCC","","","04/02/2023","",,"","","","","","","","","","","","","",""
