resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 3,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 4,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 5,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 6,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 7,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 8,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 9,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 10,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 11,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 12,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 13,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 14,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 15,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 16,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 17,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 18,,,,,,,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names) ,AE-ITCX-010 - Torque Settings for Bolts (Rev 0 +Names),folder-with-checklists,,,,,UPS - 19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
