type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,,,,,,
button,Approval to proceed granted?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.3 - Placing Geotextiles (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 210.05 IFC Drawing,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - The placement of geotextile is not permitted without the written approval of the Superintendent. Geotextile shall be placed to the limits as shown on drawings or specified. The geotextile shall be placed without punctures or tears and, if these occur, they shall be rectified or the entire roll of geotextile replaced prior to covering. Any rolls with imperfections shall not be used. All joints shall be overlapped or sewn in accordance with the Geotextile Record. Geotextiles shall be covered by filling within 48 hours of placement.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed per standard and approved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.4 - Placing of Fill,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.10(d) 1630-P200-SYM-GEO-DPK-0001 5.4.2.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Spread and compact in layers not exceeding a compacted thickness of 200 mm. Where Type B material contains 25% or more of rock by volume, which will not break down during compaction to meet the maximum particle dimension required for a 200 mm thick layer, the loose thickness of each layer may equal 125% of the typical maximum particle dimension of the rock up to a maximum layer thickness of 500 mm. Any rock with a maximum particle dimension greater than 80% of the loose thickness of the layer shall be removed. The material shall be placed and compacted such that voids are completely filled with fine material. Type B material containing rock with a particle dimension greater than 150 mm after compaction shall not be placed within 400 mm of the top of Type B and/or Type C material zones. Placement of fill to full embankment height in lifts of no more than 2.6m per week where monitoring remains within acceptable limits. Hold filling while monitoring settlement and increase in pore pressures. Commence next lift of filling if the measured settlement and excess pore pressures are within acceptable limits.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed per standard and approved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Freq - Once, Each Lot",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - W,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - Verification Records: Layer Thickness at least every three layers,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.5 - Keyed Fill Layers,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.10(c) 204.10(d),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Placement surface textured to ensure layers keyed into each other. Where a fill is to be constructed on steep sideling ground or against an existing embankment with side slope steeper than 4 horizontally to 1 vertically, benches shall be progressively cut over the full area to be covered by new fill. The width of each bench shall be such as to permit safe and effective operation of plant but shall be not less than 1 m.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed per standard and approved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Freq - Once, Each Lot",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - W,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.6 - Test Roll of Type B fill layer,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.12 173.03 Construction Document (Test roll Procedure in specification 173.03) 1630-P200-SYM-GEO-DPK-0001 Table 43,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Test Roll in accordance with Section 173. Surface shall withstand test rolling without visible deformation or springing. Test roll to be completed using at least a fully loaded water cart with 8 tonne axle load or 20 tonne gross vehicle mass. Where unstable areas exceed 20% of the area being considered by proof roll the whole area should be ripped and recompacted. The Contractor shall provide for the Superintendent to be present during all test rolling.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed per standard and approved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.7 - Compaction Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause Table 204.131 Table 204.141 Table 204.142 173.04(d) 1630-P200-SYM-GEO-DRG-0004 (table 3).,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Type B: Type B material placed within 400 mm of top of Type B material: 99% (Scale A) Type B Material placed more than 400 mm below top of Type B Material: 97% (Scale A) All areas of the job will be considered as scale A. Type B material is to be tested as per 1630-P200-SYM-GEO-DRG-0004 (table 3). And should meet the moisture content requirements as per VR204. >70% for any material within 150mm of subgrade. >80% for all material below cut floor level.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Have the results been achieved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - ATA Test Report: Compaction,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.8 - Monitoring of Settlement,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - 1630-P200-SYM-GEO-DPK-0001 5.4.2.2.10 Table 33 5.4.2.2.10 Table 34b,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - The rate of filling lifts and effect on settlement, lateral displacement and excess pore water pressure to be monitored. The ratio of change in maximum lateral movement to change in maximum settlement should be calculate at the competition of each lift. A minimum of two readings are to be taken immediately post installation and immediately prior to the commencement of embankment construction from the settlement plates, extensometers, survey prisms on culverts, inclinometers, and standpipes. During the construction phase measurements are to be taken when the fill height reaches 1.0m and then every 0.5m of fill after (TBC). During the hold period measurements are to be taken twice weekly and monthly until practical completion is reached.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Vibrating Wire Piezometers readings are to be taken for at least one week prior to commencement of construction. Continuous readings are to be taken during the construction stages with data sent to the logger on 6 hourly intervals. Survey prisms installed on bridge abutments are to have baseline readings taken immediately post installation. Following that readings are to be taken weekly for two months, two weekly for the following six months and monthly following that until practical completion is reached. Are monitoring results within the allowable limits stipulated in Table 34b (where applicable for this lot)?",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Approval to proceed granted?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - Monitoring Checklist,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,4.0 Placement of Type A material (Type A1 and A2),,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,4.0.1 - Incoming Material Docket,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Incoming material docket,"Yes,No,N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.1 - Initial Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - 1630-P200-SYM-GEO-DRG-1004 VR Clause 204.04(c),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Type A1: The material is to be meet the following requirements: CBR ≥ 6% Swell < 1.5% (1.0% for verge material) Friction Angle ≥ 37° Type A2: The material is to be meet the following requirements: CBR ≥6% Swell < 1.5% (1.0% for verge material) Friction Angle ≥ 32° Drained Cohesion ≥ 6KPA Type A structural fill and Type B fill need to be tested to confirm they are able to meet the adopted shear strength parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - NATA Test Report: CBR and Swell,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.2 - Underlying Layer Conformance,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.10(b) Construction Work Pack (Placement of fill material),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - No fill to be placed until the area has been reviewed by the Superintendent. Areas upon which fills are to be constructed shall be prepared for test rolling by the Contractor, Any unstable areas detected by test rolling shall be rectified. Note for 1st layer: After subgrade cut to the depths (or after in-situ stabilisation) nominated in Drawing Nos. 1630-P200-SYM-GEO-1102 to 1105 in Appendix A, or as required by DoT document Section 204 dated December 2015, perform subgrade proof roll to assess stability. Results of proof roll to be provided to the Superintendent for review and approval in accordance with the requirements of DoT Section 204.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Approval to proceed granted?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.3 - Placing Subsurface Drainage,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - 1630-P200-SYM-GEO-DRG-1102,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Have specified drainage materials been placed at the base of excavation as per drawing 1630-P200-SYM-GEO-1102?,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed per standard and approved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.4 - Placing of Geotextiles (If applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 210.05 IFC Drawing,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - The placement of geotextile is not permitted without the written approval from the relevant Surveillance Officer. Geotextile shall be placed to the limits as shown on IFC Drawings without punctures or tears. If these occur, they shall be rectified, or the entire roll of geotextile replaced prior to covering. Geotextiles in subsurface drains shall be placed to conform to the approximate shape of the excavation and fully envelop the drainage material. All joints shall be overlapped or sewn in accordance with the Geotextile Record. Geotextiles shall be covered by filling within 48 hours of placement.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed per standard and approved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.6 - Placing of Fill,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.10(d) 1630-P200-SYM-GEO-RPT-0001 5.2.1.3.1 Table 43,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Spread and compact in layers not exceeding a compacted thickness of 200 mm. Visual Inspection for maximum particle dimension Where a fill is to be constructed on steep sideling ground or against an existing embankment with side slope steeper than H3:1V, benches shall be progressively cut over the full area to be covered by new fill. The width of each bench shall be not less than 1 m. Placement of fill to full embankment height in lifts of no more than 2.6m per week where monitoring remains within acceptable limits. Hold filling while monitoring settlement and increase in pore pressures. Commence next lift of filling if the measured settlement and excess pore pressures are within acceptable limits.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all the above been completed per standard and approved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - Verification Records: Layer Thickness at least every three layers,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.7 - Keyed Fill Layers,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.10(c) 204.10(d),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Placement surface textured to ensure layers keyed into each other. Where a fill is to be constructed on steep sideling ground or against an existing embankment with side slope steeper than 4 horizontally to 1 vertically, benches shall be progressively cut over the full area to be covered by new fill. The width of each bench shall be such as to permit safe and effective operation of plant but shall be not less than 1 m.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed per standard and approved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Freq - Once, Each Lot",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - W,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.8 - Test Roll of Type A fill layer,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.12 173.03 Construction Document (Test roll Procedure in specification 173.03) 1630-P200-SYM-GEO-DPK-0001 Table 43,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Test Roll in accordance with Section 173. Surface shall withstand test rolling without visible deformation or springing. Test roll to be completed using at least a fully loaded water cart with 8 tonne axle load or 20 tonne gross vehicle mass. Where unstable areas exceed 20% of the area being considered by proof roll the whole area should be ripped and recompacted. The Contractor shall provide for the Superintendent to be present during all test rolling.,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed per standard and approved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,4.8.1 - Proof roll if applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Proof roll if applicable - comment reasoning if N/A,"Yes, No, N/A",,,,,,,,,,,,,,,,,,,,,,,,,,
text,Chainage,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.9 - Compaction Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause Table 204.131 Table 204.141 Table 204.142 173.04(d) 1630-P200-SYM-GEO-DRG-0004 (table 3).,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Type A1: All Type A material: 99% (Scale A) All areas of the job will be considered as scale A Type A1 material is to be tested as per 1630-P200-SYM-GEO-DRG-0004 (table 3). And should meet the moisture content requirements as per VR204. Type A2: All Type A material: 99% (Scale A) All areas of the job will be considered as scale A Type A2 material is to be tested as per 1630-P200-SYM-GEO-DRG-0004 (table 3). And should meet the moisture content requirements as per VR204.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - NATA Test Report: Compaction,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.10 - Fill at Structures (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.11 (b) Table 204.111 Construction Work Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - No Fill to be placed within 3 m of structure until the foundation is reviewed by the relevant Surveillance Officer. Culverts with an opening height greater than 1200 mm, shall be material of at least Type A material quality.","Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed per standard and approved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.11 - Fill within 300 mm of structures (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.11 Construction Work Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Use of geo-composite drainage material or Permeable Fill in accordance with 204.04(f). Compaction plant shall not be operated within the minimum distances from structures shown in Table 204.111. The difference in level of any fill being placed on opposite sides of a structure or structural component shall not exceed H/4 or 500 mm, whichever is the lesser, where H is the height of the structure.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has all of the above been completed per standard and approved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.12 - Fill Material against Concrete Structures (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.11 Construction Work Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - No material shall be placed against concrete within 14 days of casting.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Has all of the above been completed per standard?,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - Concrete Pour Recorded,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
button,NATA Test Reports: Compressive Strength,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,Monitoring of Settlement,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - 1630-P200-SYM-GEO-DPK-0001 5.4.2.2.10 Table 33 5.4.2.2.10 Table 34b,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - The rate of filling lifts and effect on settlement, lateral displacement and excess pore water pressure to be monitored. The ratio of change in maximum lateral movement to change in maximum settlement should be calculate at the competition of each lift. A minimum of two readings are to be taken immediately post installation and immediately prior to the commencement of embankment construction from the settlement plates, extensometers, survey prisms on culverts, inclinometers, and standpipes. During the construction phase measurements are to be taken when the fill height reaches 1.0m and then every 0.5m of fill after (TBC). During the hold period measurements are to be taken twice weekly and monthly until practical completion is reached.",,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Vibrating Wire Piezometers readings are to be taken for at least one week prior to commencement of construction. Continuous readings are to be taken during the construction stages with data sent to the logger on 6 hourly intervals. Survey prisms installed on bridge abutments are to have baseline readings taken immediately post installation. Following that readings are to be taken weekly for two months, two weekly for the following six months and monthly following that until practical completion is reached. Are monitoring results within the allowable limits stipulated in Table 34b (where applicable for this lot)?",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Approval to proceed granted?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - H,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Remarks/record - Monitoring Checklist,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,5.0 Geotechnical Analysis (and Material Testing),,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.1 - Post Compaction Grading/Maximum Particle Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause Table 204.041,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Type A: Sieve 75.0mm – 100% passing by mass, Sieve 4.75mm – 40 - 80% passing by mass, Sieve 0.075mm – 10 - 40% passing by mass. Type B: Maximum Particle Distribution (MPD) ≤ 150 mm within 400 mm of Top of Type B. or MPD ≤ 400mm at depths greater than 400 mm below the top of Type B material.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Have the results been achieved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - NATA Test Report: Grading Visual Inspections for Maximum Particle Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.2 - LL and PI Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause Table 204.131 Table 204.141 Table 204.142 173.04(d),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Type A: PI: 6 - 25, PI x % Passing 0.425mm: 1000 Max. LL and comparison of PI against LL, (identification of silt) is required for Type A2 Material. Type B: LL and comparison of PI against LL, (identification of silt) is required for Type B Material. Initial testing is 1 Test per 2 lots.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Have the results been achieved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,"Remarks/record - NATA Test Report: LL, PI","Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.3 - Reduced Frequency Post compaction testing of initial lots.,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.14 – Table 204.141 RC 500.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Test initial lot for CBR/Swell. Test initial 3 lots for compaction. Once material and work have achieved the specified requirements in the first test. And; Established a compaction procedure to the satisfaction of the Superintendent’s. Symal can reduce the frequency of testing of subsequent lots to the minimum requirements specified in Table 204.142. If Reduced frequency has been granted, the testing can be conducted at the following frequency. 1 test per every 8 lots for CBR/Swell 1 every 2 lots OR every 3rd lot if placed >400 mm below top of type B for Compaction Testing. 1 test per 4 lots of LL and comparison of PI against LL.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Has the criteria been achieved?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,SI Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,6.0 Completion,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,6.1 - Conformity with IFC Drawings and Construction Tolerances,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.03 Table 204.031,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Earthworks shall be finished to conform to the levels, lines, grades and cross-sectional specified or shown on the drawings with the following requirements. Scale A: 80 measurements per lot Mean +5 / -15 mm Max Std Dev. 12 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Does the final product conform to the above criteria?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,6.2 - Preparation of Final Surface. (For Underside of Pavement Layers and the surface of the Cut Floor).,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - VR Clause 204.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Surface is Smooth, Hard, Tightly Bound and Free from Depressions Capable of Holding Water. Material within 150 mm of subgrade shall be maintained such that its moisture content is not less than 70% of OMC prior to the placement of any pavement layers.",,,,,,,,,,,,,,,,,,,,,,,,,,,
button,Does the final product conform to the above criteria?,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - SE,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,7.0 Work Lot Close Out,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,7.1 - Test Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - DoT Specs,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - All Test reports received and reviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Resp - PE,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Remarks/record - NATA Endorsed Test Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,7.2 - Product Non-Conformance,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Ref docs - QMP,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - All Product Non-Conformance(s) recorded and closed (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Freq - Each Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Key - R,,,,,,,,,,,,,,,,,,,,,,,,,,,
