resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Staff Station 10m2 1.1.022,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Photocopy / Stationary 1.1.024,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Linen 1.1.023,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Handwashing Type B 1.1.025,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Meal Trolley 4m2 1.1.030,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Mobile Equipment 1.1.026,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Services Riser 1.E.006,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 1.T.001,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 1.T.002,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 1.T.003,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 1.T.012,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 1.T.010,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 1.T.011,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 1.T.008,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 1.T.008,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 1.T.009,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 1.T.010,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,Level 02,,,,,,,,
,,,,,step,,,,,, Main Switch Board 2.E.016,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Plant Room 2.E.012,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, UPS Room 2.E.015,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Palliative Care Terrace 2.1.078,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Services Riser 2.E.011,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 - Pall Care 2.1.050",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 - Pall Care 2.1.051",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 - Pall Care 2.1.054",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 - Pall Care 2.1.055",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 - Pall Care 2.1.058",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 - Pall Care 2.1.059",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 - Pall Care 2.1.062",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 - Pall Care 2.1.063",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 - Pall Care 2.1.066",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 - Pall Care 2.1.067",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Lounge - Patient 2.1.016,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 1 2.1.015",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, 4 Bed Room - Inboard Ensuite 2.1.015,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 2 Bed Room - Inboard Ensuite, Type 2 - Pall Care 2.1.008",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 2 Bed Room - Inboard Ensuite, Type 2 - Pall Care 2.1.007",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 2 Bed Room - Inboard Ensuite, Type 2 - Pall Care 2.1.004",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 2 Bed Room - Inboard Ensuite, Type 2 - Pall Care 2.1.003",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 2 Bed Room - Inboard Ensuite, Type 2 - Pall Care 2.1.000",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Services Riser 2.E.010,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," Bay - Handwashing, Type B 2.1.047",,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Linen 2.1.046,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," Bay - Handwashing, Type B 2.1.048",,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Mobile Equipment 2.1.045,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," Store - Equipment, 20m2 2.1.044",,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Disposal Room 10m2 2.1.043,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Clean Store 10m2 2.1.077,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Cleaners Room 5m2 2.1.042,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet - Staff 2.1.041,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Interview Room 2.1.038,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Toilet - Accessible 2.1.039,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Dirty Utility 14m2 2.1.037,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Clean Utility / Medication Room 2.1.036,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Staff Station 14m2 2.1.035,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office - Clinical Workroom 2.1.033,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," Office - 1 Person, NUM 2.1.032",,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Comms Room 2.E.008,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Mobile Equipment 2.1.012,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Workstation on Wheels 2.1.031,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Dining / Recreation / Therapy Room 2.1.029,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Plant Room 2.E.007,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Services Riser 2.E.006,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, FoH Lift Lobby 2.T.009,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Store - General 2.1.021,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Staff Station 10m2 2.1.022,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Linen 2.1.024,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Mobile Equipment 2.1.026,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Photocopy / Stationary 2.1.023,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bay - Meal trolley 4m2 2.1.030,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," Bay - Handwashing, Type B 2.1.025",,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," Bay - Handwashing, Type B 2.1.027",,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office - 1 Person 9m2 2.2.004,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office - 2 Person 2.2.003,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office - 1 Person 9m2 2.2.002,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Office - 1 Person 9m2 2.2.001,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, BoH Lift Lobby 2.T.006,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Bathroom 2.1.019,,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 1 2.1.017",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 Pall Care 2.1.070",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 Pall Care 2.1.071",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 Pall Care 2.1.074",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 Pall Care 2.1.075",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,," 1 Bed Room - Special, Inboard Ensuite, Type 2 Pall Care 2.1.075",,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_080_Room Body Protection Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 2.T.012,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 2.T.004,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 2.T.001,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 2.T.002,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 2.T.003,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 2.T.013,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,, Corridor - Patient Treatment Areas 2.T.010,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Cable Rough In,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,,Power Fit Off,,,,,,
,,,,,step,,,,,Stairs,,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,Stair 1,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,Stair 2,,,,,,,
,,,,,step,,,,,Lifts,,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,Lift 1,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,Lift 2,,,,,,,
QA_TEM_082_Room Checklist,,,,,checklist,,,,,,Lift 3,,,,,,,
,,,,,step,,,,,Temp Construction,,,,,,,,
QA_TEM_063_Construction Distribution Boards,QA_TEM_064_Construction Wiring & Accessories,,,,folder-with-checklists,,,,,,Level - 00,,,,,,,
QA_TEM_063_Construction Distribution Boards,QA_TEM_064_Construction Wiring & Accessories,,,,folder-with-checklists,,,,,,Level - 01,,,,,,,
QA_TEM_063_Construction Distribution Boards,QA_TEM_064_Construction Wiring & Accessories,,,,folder-with-checklists,,,,,,Level - 02,,,,,,,
QA_TEM_063_Construction Distribution Boards,QA_TEM_064_Construction Wiring & Accessories,,,,folder-with-checklists,,,,,,External,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
