"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"97a842cb-2f3c-41fb-81d7-53759bab9eb2","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections"
"5a448cff-fe02-4047-a0b0-cca82ef93fcc","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete"
"7f7cfe8b-7c18-46d7-9c9e-586ce617b7a5","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation"
"5566fc92-a8b3-42f8-8bdb-f3bd3ae558d2","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"f756cc1f-3f9d-4c9d-a22c-ca21907d23b8","","checklist-flat","work-in-progress","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"46c7e05c-42da-4d72-af55-5a39c55df517","Signoffs not allowed on folder-progress: Signoffs Weld 1-3(8312ea3e-a7ec-4983-8797-5f1276ea4ee9)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding"
"724c1cd7-4c4a-459b-a109-a3b844923765","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10"
"9c157f21-30a8-47a9-a4b5-0da0e00d3ee2","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1"
"82686720-d8cf-412f-946e-0e6c4701ce49","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"9d556bd3-aa2d-4464-a2d3-bfebfaca5732","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"48233377-0ec6-4f3e-a0c8-a2c8722d71f1","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"a8f7b45f-d8c6-4259-9e70-9123695b9c24","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"98ad7035-d26b-45ac-8abb-01691f5dd018","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"2e42dba2-1c7a-459a-be52-855404308c2b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01"
"3911a2bc-b454-4c96-bc69-04347cd59a2f","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 45 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"51251fe7-9154-4f3d-990a-6c17b7b31798","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete"
"d600497c-d0f5-4c88-9002-cdc515263175","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation"
"fc3e1b80-ea36-41ba-b897-0452e5782f90","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"e2bc8614-178c-419d-ab7b-71fdf15b957a","","checklist-flat","work-in-progress","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"84851caf-4c9e-42bc-8a07-5aff2d231a2b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding"
"7b0d77c1-588c-43c8-9bd0-ae38eaf17d6a","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10"
"eb2ba4bc-919d-4b27-a4c1-711f23797499","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1"
"b5904d9f-6945-424e-ae8a-72cd8aa56810","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"71f7f3e5-26f1-4364-ae3a-9fa465c6cab7","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"14942d33-5226-4d57-9840-99cca295bde8","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"0e2215ce-53e3-4195-8944-0e3e33377b40","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"22392221-317b-464d-b4a4-9a75b29db63a","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"0747d875-e0e4-4d54-b7f2-7651ef4da611","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4"
"acd7c0fb-3c84-4114-b894-196811dd03c2","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"1dbcbce6-e9f8-4b8d-894b-392fcc0072aa","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01"
"0e2e5ccd-96d1-42b8-8a35-41f248da6b7a","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 46 - Check Sheet 95% Valve Box Incomplete","Wet Fire Reticulation","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"1a736032-f811-4b8b-bb5b-b5783dc919fb","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete"
"6c66b738-c844-4c5b-aeb3-690792c8a806","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation"
"5c0f1df6-2e97-481f-baa0-391f7d1d19ce","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","RBG Combined Services HDPE Potable Water Pipework Installation"
"e5efc3c3-7980-5a6d-a536-5cb259a46354","","checklist-flat","work-in-progress","RBG Combined Services HDPE Potable Water Pipework Installation V2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","RBG Combined Services HDPE Potable Water Pipework Installation","RBG Combined Services HDPE Potable Water Pipework Installation V2"
"46fb8018-8bcc-47a6-b5cb-344610ad2735","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding"
"4630aa82-b680-4ec2-9b14-e96e11ac98ff","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10"
"c9cc2d8a-9e8b-429a-953d-c4ef5a161b39","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 1"
"b61c37fd-b7aa-4051-af3c-557be061ca2c","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"28bc4f9d-c0e2-462e-b017-3298e8f06bac","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"350c9edf-479d-4c7d-9d04-38298b40e612","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"ec53632f-a620-4626-b4c8-a20a8c3bd87e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"b139c04e-363a-42c6-b096-83acd90327ff","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"08df2418-ade7-4f2a-b8a1-814f21221298","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 4"
"44adbb06-e3f5-4640-b9de-9965d66b524e","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"814aaa93-ca41-443e-9eb9-24a5a44befe4","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 5"
"c8d9782f-900d-4e79-90c0-8efb3be3731d","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 5","Electrofusion Welding"
"bc7072e5-ba5d-4892-b0f9-95752644c856","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 6"
"46b6bfff-36d3-4ee6-998f-06f35d74cebd","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 6","Electrofusion Welding"
"7e30f8ee-6868-4b3b-9089-f2df0f6cde86","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 7"
"84380299-4619-4d21-96be-35c2ee1ffd28","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 7","Electrofusion Welding"
"12c13ae3-6da3-4aba-b8d1-65f3217a4155","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 8"
"3b63aadd-5cad-4177-b580-cd07ac55040a","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 8","Electrofusion Welding"
"50b8a661-0b03-4641-bbb2-0f333a43731c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 10"
"627840f1-0f3f-4391-93a1-44b7e3af1335","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 1-10","Weld 10","Electrofusion Welding"
"29ae504b-cab6-4389-ac3c-d93069a7900e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20"
"4b0e9857-4c05-4a90-9055-abe1d54470c1","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20","Weld 11"
"74d5801b-472a-4416-b40e-fd7f0a9f8b45","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Electrofusion Welding","Welds 11-20","Weld 11","Electrofusion Welding"
"38e35d3c-a930-49f2-8d05-44a5da12de45","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Pipework Pressure Test Report QCC-01.01"
"3a136306-7a0a-4e20-b20d-529c866591fe","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"8c1b129b-f60a-5e41-8348-79e3daae45bc","","checklist-flat","pass","Seismic Joint Building Connection","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 47 - Check Sheet 95% Valve Box Incomplete","Seismic Joint Building Connection"
"f3186edd-edeb-4366-a308-3a46f1350cf9","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete"
"a3c834ec-0b15-4ad6-94f6-c1829a1edc2e","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation"
"6e97ef50-3036-41c6-b4d0-535967326cd2","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation"
"e858e246-114f-471a-b892-1266d7d7274b","","checklist-flat","pass","Combined Services HDPE Fire Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Combined Services HDPE Fire Pipework Installation","Combined Services HDPE Fire Pipework Installation"
"f3da1fec-52b0-40e1-929e-0f9323dd6059","Signoffs not allowed on folder-progress: Signoffs Weld 1-11(d1a129ef-7b93-43d8-b8f7-56f48ed1856a)","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding"
"84f6a37c-1bcb-4941-bf74-51dfc51ed5d1","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10"
"ccf8f247-e867-4cea-ae07-dea04af52194","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1"
"1fee8c0a-6c9e-4a11-b0e1-de3d70de7430","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"36314919-7e29-483f-923f-4ce74aad6930","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2"
"25e2f1d6-bbfd-4ffb-97b2-d2543435090f","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"0d3a3754-2eb7-4c26-acad-dd28238fd220","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3"
"7e267ae4-32b3-4480-b664-51e53343ffde","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"3ddc6356-d4a9-4a7c-9f8c-cdc934dab3a0","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 6"
"a19f8cca-4bd0-4c3a-b65d-7c140217e5d3","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 6","Electrofusion Welding"
"1ed62473-e810-4888-9511-57bfad6e9ba4","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7"
"4d4954b2-c14b-46ce-bd97-d727c0fa03a7","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 7","Electrofusion Welding"
"b69d9a96-2f9e-4a86-a75a-17917fec6d91","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 8"
"b7d75078-fca5-4c69-bc5f-3cf9f85b0605","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 8","Electrofusion Welding"
"95081594-6fed-4cb3-a2ae-0e195e33913b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 9"
"c5b2f6f2-c0f1-46e5-afa7-377c85398cb5","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 9","Electrofusion Welding"
"aeefec06-0f74-4d35-874a-4387f527ecca","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 10"
"2051f37b-ecb4-48c9-bd5e-fea6a4b7e119","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 1-10","Weld 10","Electrofusion Welding"
"d73b3ba0-2e98-440b-bbdc-dcca3b0dc485","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20"
"0b99b694-2dee-434a-9c9f-74c2329258b4","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 11"
"1dea0687-c59a-4a68-a7cf-066d9ee05309","","checklist-flat","pass","Electrofusion Welding","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 11-20","Weld 11","Electrofusion Welding"
"9c973ae2-e6db-4ca3-9796-2adc5b09dd59","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 21-30"
"9444e9a1-4b40-43e9-8c35-79adcac41a60","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections"," Combined Services In-ground Pipework","Area 6","Trench PE 48 - Check Sheet 100% Complete","Wet Fire Reticulation","Electrofusion Welding","Welds 21-30","Weld 21"
