"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7ef8b87-5d1a-4056-9b7f-860ed5de950f","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections "
"66ad7d78-8b49-44a2-8f53-0fd96d73961f","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 74 - Check Sheet 100% Complete","Natural Gas Reticulation","Electrofusion Welding","Welds 1-10","Weld 6"
"e97bab12-c3d3-4917-b4e6-5d9d226fd72f","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 74 - Check Sheet 100% Complete","Natural Gas Reticulation","Electrofusion Welding","Welds 1-10","Weld 6","Electrofusion Welding"
"89cf5a05-a278-4c87-b7d3-922a500bc4e0","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 74 - Check Sheet 100% Complete","Natural Gas Reticulation","Electrofusion Welding","Welds 1-10","Weld 7"
"8a143bfe-c8ef-46df-b57a-4a169cf9e32b","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 74 - Check Sheet 100% Complete","Natural Gas Reticulation","Electrofusion Welding","Welds 1-10","Weld 7","Electrofusion Welding"
"b5b71ae5-8c5b-4dcf-ae74-5212520faa8d","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 74 - Check Sheet 100% Complete","Natural Gas Reticulation","Electrofusion Welding","Welds 1-10","Weld 8"
"1d581a3c-571c-4d63-b499-5734c6b84a68","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 74 - Check Sheet 100% Complete","Natural Gas Reticulation","Electrofusion Welding","Welds 1-10","Weld 8","Electrofusion Welding"
"2aa406d2-1e01-48df-a034-32334c3aa990","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 74 - Check Sheet 100% Complete","Natural Gas Reticulation","Pipework Pressure Test Report QCC-01.01"
"04a4a43c-7bac-4e66-8caa-5e5fd3afc406","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 74 - Check Sheet 100% Complete","Natural Gas Reticulation","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"955dbe78-cc59-4fcb-ac7e-6f4eaae9ca2f","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete"
"a9182ded-ac6b-49a1-a7f4-de11281162c5","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete"
"9bd5fbf7-45ae-410d-9a86-4e1ae823a4c9","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","RBG Combined Services HDPE Potable Water Pipework Installation"
"020a0efc-6f4a-4326-9189-9fa4db470315","","checklist-flat","work-in-progress","RBG Combined Services HDPE Potable Water Pipework Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","RBG Combined Services HDPE Potable Water Pipework Installation","RBG Combined Services HDPE Potable Water Pipework Installation"
"1f1f2d38-9e10-4891-81ee-cc83d67a0f5b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding"
"bf6c370a-56a3-45e1-a3ff-ed4cc19414b2","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10"
"821634ed-9c47-41a7-b582-493cd2347134","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 1"
"5c36a6fa-604e-46d2-8b0c-0dd2ec428f4e","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 1","Electrofusion Welding"
"a13cc9e0-12c6-4d84-8ba9-084a9e34bea0","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 2"
"4c521b39-f4a2-4d08-8063-85a4939999d9","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 2","Electrofusion Welding"
"df253e1a-d679-4e25-a156-57406d6e275b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 3"
"bda129ef-f880-4fc4-a473-3494e4b216bf","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 3","Electrofusion Welding"
"b5edeb80-2749-401a-82f5-593166a09382","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 4"
"b843bb51-82ad-441a-b0ea-70fd92b20697","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 4","Electrofusion Welding"
"23622fa8-2869-42a4-ad11-7ff09503f898","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 5"
"ab3d9e3b-cdcc-43e7-b72c-c495d22b3592","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 5","Electrofusion Welding"
"d83b9ab7-3721-47c6-bb07-78884eb27a3b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 6"
"57d5769c-0e7e-47ba-883d-64ee3412fc64","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 6","Electrofusion Welding"
"b97b2acb-e240-4346-9d36-6279cec7e45c","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 8"
"045f4dda-1e36-4100-b4bd-1ba596b504b3","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 8","Electrofusion Welding"
"0256f6b8-821a-4f1e-8dec-0bf16cebadd6","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 9"
"d40ae330-7903-417b-8bd9-ce8c21e4a662","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 9","Electrofusion Welding"
"a482166a-989d-40f4-87ec-6506167548ab","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 10"
"14f70c13-4305-4be2-859d-b7f3659e24e1","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 10","Electrofusion Welding"
"0a39505c-4045-4f2d-aca4-2b2e5f12fb80","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Pipework Pressure Test Report QCC-01.01"
"1db1c926-5387-4625-a350-355382e17344","","checklist-flat","pass","Pressure Test Report QCC-01.01","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Potable Water Reticulation - Valve Box Incomplete","Pipework Pressure Test Report QCC-01.01","Pressure Test Report QCC-01.01"
"eb0be6d6-9910-40df-af81-5dbcccac5ab1","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete"
"c2d8ef4d-b743-45ef-937a-9e09aa8902eb","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Combined Services HDPE Natural Gas Installation"
"23e093ac-e16b-45fb-afa5-c06b025d4be9","","checklist-flat","work-in-progress","Combined Services HDPE Natural Gas Installation","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Combined Services HDPE Natural Gas Installation","Combined Services HDPE Natural Gas Installation"
"d35a24b5-7b6a-5f41-9c2d-4354333a9d46","","checklist-flat","pass","Combined Services HDPE Natural Gas Installation Part 2 of V3","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Combined Services HDPE Natural Gas Installation","Combined Services HDPE Natural Gas Installation Part 2 of V3"
"b105bec8-86a1-4c14-8b90-9c88aefc77e2","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding"
"c56f54cc-c23c-461b-8c9a-fc28fd1c7206","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10"
"92863215-a064-4ee0-ae05-53910a464d0b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 8"
"4e4db41d-19f9-40c8-ab83-7fdcb37a1548","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 8","Electrofusion Welding"
"a2ade72c-cef0-47e5-8c40-6fd0a27126c5","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 9"
"5a5ae129-06a8-49d8-8801-e0909abdc06d","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 9","Electrofusion Welding"
"1ddffb21-46b4-40e2-8f64-9b3a37086bfe","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 10"
"39d21e8a-10b1-42d4-a951-4fd2cc779118","","checklist-flat","pass","4a3cdd03f5f4262a0c38612ecadab667e1902676cc20a6619c01f01dfa25f46c","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 1-10","Weld 10","Electrofusion Welding"
"48d4fb47-b678-4ac0-9dfd-f8a016629bba","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20"
"a0364a35-30ab-419d-8e42-940e609aeaf1","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 11"
"c216fe8b-7642-49df-a692-42f47f0601cb","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 11","Electrofusion Welding"
"00d25070-2915-4901-8c82-93205a09edca","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 12"
"1790cc11-e130-4b89-9074-ae537f7e83af","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 12","Electrofusion Welding"
"8c255db7-830b-48a8-b532-15c94ff4352a","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 13"
"b467e212-3c2e-4023-b7c4-3ce8c8214c26","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 13","Electrofusion Welding"
"10c314ff-c1c0-4561-ab10-44b6dcf369fb","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 14"
"412bc5d6-c27a-450b-910b-0d3c67c8a169","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 14","Electrofusion Welding"
"44d1f97b-b129-4ef0-ae68-fa3c915ef942","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 15"
"b3af15bb-4620-42d2-8ff4-abc4e6713891","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 15","Electrofusion Welding"
"f734ac9c-2609-4a5f-844a-e98dd34ac456","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 16"
"d5631b0a-a2d5-468b-a740-db1f5a556ff6","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 16","Electrofusion Welding"
"f1b2ead4-d4ee-43b0-a974-946acec79a96","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 17"
"131afdda-2ffb-47a9-b0ab-acbdff76fb1a","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 17","Electrofusion Welding"
"ee78bdb8-e087-4304-81fa-c62bcbac941a","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 18"
"6dd7fda1-5bc8-4d45-be00-9452a87c280f","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 18","Electrofusion Welding"
"e909fcba-921a-49c2-9af9-0a6dabad7d0b","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 19"
"ea63cb43-44b6-4892-846f-8e4daa145d7a","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 19","Electrofusion Welding"
"02b9fe47-bb14-48e5-a8ac-c72bed2c2d8f","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 20"
"5387ff17-cd8f-4b2a-ab15-d01c39c8f942","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 11-20","Weld 20","Electrofusion Welding"
"e1560d02-18dd-49a8-92b8-d3c4b6c3c5ee","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 21-30"
"c3ace887-3fe8-4e66-b902-c5fd76ef81b0","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 21"
"4268faa4-f038-4ddf-b2a8-a49d8c8ff2f6","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 21","Electrofusion Welding"
"2773a09b-2230-4a2f-9436-bc3b389fe7dd","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 22"
"df0428bf-6896-46d5-8561-c4dbc5a7d8d5","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 22","Electrofusion Welding"
"589206d5-f151-4b2a-a847-72eff065ecea","","folder-progress","pass","","checklist","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 23"
"3f38e7ce-ec8a-4cff-9bea-a4b7e30a4cec","","checklist-flat","pass","6abef8441bdaa7187397efdac2a3f8a8a44c059b21c9812b55bb9a02d5cd9103","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections "," Combined Services In-ground Pipework ","Area 14","Trench PE 75 - Check Sheet 95% Valve Box Incomplete","Natural Gas Reticulation - Valve Box Incomplete","Electrofusion Welding","Welds 21-30","Weld 23","Electrofusion Welding"
