ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
,,"1410","expanded","1410","fixture installation (apartments)","level 14"
,,"1411","expanded","1411","fixture installation (apartments)","level 14"
,,"1412","expanded","1412","fixture installation (apartments)","level 14"
,,"1413","expanded","1413","fixture installation (apartments)","level 14"
,,"1414","expanded","1414","fixture installation (apartments)","level 14"
,,"1415a","expanded","1415a","fixture installation (apartments)","level 14"
,,"1415b","expanded","1415b","fixture installation (apartments)","level 14"
,,"1416","expanded","1416","fixture installation (apartments)","level 14"
,,"1417","expanded","1417","fixture installation (apartments)","level 14"
,,"1418","expanded","1418","fixture installation (apartments)","level 14"
,,"1419","expanded","1419","fixture installation (apartments)","level 14"
,,"Level 15","grouping","level 15","fixture installation (apartments)"
,,"1501","expanded","1501","level 15","fixture installation (apartments)"
,,"1502","expanded","1502","level 15","fixture installation (apartments)"
,,"1503","expanded","1503","level 15","fixture installation (apartments)"
,,"1504","expanded","1504","level 15","fixture installation (apartments)"
,,"1505","expanded","1505","level 15","fixture installation (apartments)"
,,"1506","expanded","1506","level 15","fixture installation (apartments)"
,,"1507","expanded","1507","level 15","fixture installation (apartments)"
,,"1508","expanded","1508","level 15","fixture installation (apartments)"
,,"1509","expanded","1509","level 15","fixture installation (apartments)"
,,"1510","expanded","1510","level 15","fixture installation (apartments)"
,,"1511","expanded","1511","level 15","fixture installation (apartments)"
,,"1512","expanded","1512","level 15","fixture installation (apartments)"
,,"1513","expanded","1513","level 15","fixture installation (apartments)"
,,"1514","expanded","1514","level 15","fixture installation (apartments)"
,,"1515a","expanded","level 15","fixture installation (apartments)","1515a"
,,"1515b","expanded","level 15","1515b","fixture installation (apartments)"
,,"1516","expanded","1516","level 15","fixture installation (apartments)"
,,"1517","expanded","1517","level 15","fixture installation (apartments)"
,,"1518","expanded","1518","level 15","fixture installation (apartments)"
,,"1519","expanded","1519","level 15","fixture installation (apartments)"
,,"Level 16","grouping","level 16","fixture installation (apartments)"
,,"1601","expanded","1601","level 16","fixture installation (apartments)"
,,"1602","expanded","1602","level 16","fixture installation (apartments)"
,,"1603","expanded","1603","level 16","fixture installation (apartments)"
,,"1604","expanded","1604","level 16","fixture installation (apartments)"
,,"1605","expanded","1605","level 16","fixture installation (apartments)"
,,"1606","expanded","1606","level 16","fixture installation (apartments)"
,,"1607","expanded","1607","level 16","fixture installation (apartments)"
,,"1608","expanded","1608","level 16","fixture installation (apartments)"
,,"1609","expanded","1609","level 16","fixture installation (apartments)"
,,"1610","expanded","1610","level 16","fixture installation (apartments)"
,,"1611","expanded","1611","level 16","fixture installation (apartments)"
,,"1612","expanded","1612","level 16","fixture installation (apartments)"
,,"1613","expanded","1613","level 16","fixture installation (apartments)"
,,"1614","expanded","1614","level 16","fixture installation (apartments)"
,,"1615a","expanded","level 16","fixture installation (apartments)","1615a"
,,"1615b","expanded","level 16","fixture installation (apartments)","1615b"
,,"1616","expanded","1616","level 16","fixture installation (apartments)"
,,"1617","expanded","1617","level 16","fixture installation (apartments)"
,,"1618","expanded","1618","level 16","fixture installation (apartments)"
,,"1619","expanded","1619","level 16","fixture installation (apartments)"
,"Columns"
,,"Toilet & Cistern Installation",,"toilet & cistern installation"
,,"Wash Basins & Tapware Installation",,"wash basins & tapware installation"
,,"Tempering Valve (TV) Installation",,"tempering valve (tv) installation"
,,"Shower & Tapware Installation",,"shower & tapware installation"
,,"Kitchen Sink & Tapware Installation",,"kitchen sink & tapware installation"
,,"DIshwasher Installation",,"dishwasher installation"
,,"Gas Cooktop/Appliance Installation",,"gas cooktop/appliance installation"
,,"Laundry Trough & Tapware Installation",,"laundry trough & tapware installation"
,,"Washing Machine Stops Installation",,"washing machine stops installation"
,,"Wall Tundishes Installation",,"wall tundishes installation"
,,"Balcony Downpipe",,"balcony downpipe"

"Residential - Plant & Equipment Installation (Base Build)"
,"Scope",,
,"Rows"
,,"Basement 4 - Zone 1","dynamic","basement 4","plant & equipment installation (base build)","zone 1"
,,"Lower Ground Level - Plant Room","dynamic","lower ground level","plant & equipment installation (base build)","plant room"
,,"Ground Level - Zone 1","dynamic","plant & equipment installation (base build)","ground level","zone 1"
,,"Level 18 - Zone 1","dynamic","level 18","plant & equipment installation (base build)","zone 1"
,,"Roof Level - Zone 1","dynamic","plant & equipment installation (base build)","roof level","zone 1"
,"Columns"
,,"Plant & Equipment Installation checked off as below",,"plant & equipment installation checked off as below"
,,"Select Plant & Equipment being Installed","Select Plant & Equipment being Installed","plant & equipment installation checked off as below"
,,"Installer is a Registered Plumber (VIC) with endorsements for this work","Installer is a Registered Plumber (VIC) with endorsements for this work","plant & equipment installation checked off as below"
,,"Installation complies with current AS3500 & AS5600","Installation complies with current AS3500 & AS5600","plant & equipment installation checked off as below"
,,"Installation complies with current drawings & specifications","Installation complies with current drawings & specifications","plant & equipment installation checked off as below"
,,"Installation materials were used in accordance with manufacturer requirements","Installation materials were used in accordance with manufacturer requirements","plant & equipment installation checked off as below"
,,"Check for damage or leaks","Check for damage or leaks","plant & equipment installation checked off as below"
,,"Check plant/equipment is level & aligned correctly","Check plant/equipment is level & aligned correctly","plant & equipment installation checked off as below"
,,"Check connecting pipework levels & alignment are correct","Check connecting pipework levels & alignment are correct","plant & equipment installation checked off as below"
,,"Check control panels are accessible","Check control panels are accessible","plant & equipment installation checked off as below"
,,"Check maintenance hatches are accessible","Check maintenance hatches are accessible","plant & equipment installation checked off as below"
,,"Check filter cartridge containers are accessible","Check filter cartridge containers are accessible","plant & equipment installation checked off as below"
,,"Check all wiring or pneumatic lines have been installed correctly","Check all wiring or pneumatic lines have been installed correctly","plant & equipment installation checked off as below"
,,"Check all fixings & anchor points are installed & torqued correctly","Check all fixings & anchor points are installed & torqued correctly","plant & equipment installation checked off as below"
,,"Check pressure relief or backwash pipes discharge to a dedicated drain point","Check pressure relief or backwash pipes discharge to a dedicated drain point","plant & equipment installation checked off as below"
,,"Check pressure/temperature gauges are visible","Check pressure/temperature gauges are visible","plant & equipment installation checked off as below"
,,"Check isolation & non-return valves are installed correctly & flow direction is correct","Check isolation & non-return valves are installed correctly & flow direction is correct","plant & equipment installation checked off as below"
,,"Check all vent & breather pipes are installed correctly","Check all vent & breather pipes are installed correctly","plant & equipment installation checked off as below"
,,"Check gas flues & power manifolds are installed to regulation","Check gas flues & power manifolds are installed to regulation","plant & equipment installation checked off as below"
,,"Check protective covering is installed & area has been left clean","Check protective covering is installed & area has been left clean","plant & equipment installation checked off as below"

"Commercial - Under-Slung Drainage - SD Sewer Waste Checklist"
,"Scope",,
,"Rows"
,,"Lower Ground Level - End Of Trip - Amenities (M)",,"lower ground level","under-slung drainage (commercial)","end of trip","amenities (m)"
,,"Lower Ground Level - End Of Trip - Amenities (D)",,"lower ground level","under-slung drainage (commercial)","amenities (d)","end of trip"
,,"Lower Ground Level - End Of Trip - Amenities (F)",,"lower ground level","under-slung drainage (commercial)","end of trip","amenities (f)"
,,"Lower Ground Level - End Of Trip - Cleaners Room",,"cleaners room","lower ground level","under-slung drainage (commercial)","end of trip"
,,"Ground Level - Bike Room (Residential) - Amenities (M)",,"bike room (residential)","under-slung drainage (commercial)","amenities (m)","ground level"
,,"Ground Level - Bike Room (Residential) - Amenities (D)",,"bike room (residential)","under-slung drainage (commercial)","amenities (d)","ground level"
,,"Mezzanine Level - Office Central Lobby - Unisex (D) 1",,"under-slung drainage (commercial)","unisex (d) 1","mezzanine level","office central lobby"
,,"Mezzanine Level - Office Central Lobby - Unisex (D) 2",,"under-slung drainage (commercial)","unisex (d) 2","mezzanine level","office central lobby"
,,"Mezzanine Level - Office Central Lobby - Cleaners Room",,"cleaners room","under-slung drainage (commercial)","mezzanine level","office central lobby"
,,"Mezzanine Level - Office East Lobby - Amenities (M)",,"under-slung drainage (commercial)","office east lobby","amenities (m)","mezzanine level"
,,"Mezzanine Level - Office East Lobby - Amenities (F)",,"under-slung drainage (commercial)","office east lobby","amenities (f)","mezzanine level"
,,"Mezzanine Level - Office East Lobby - Amenities (D)",,"under-slung drainage (commercial)","office east lobby","amenities (d)","mezzanine level"
,,"Level 1 - Office Central Lobby - Unisex (D) 1",,"under-slung drainage (commercial)","unisex (d) 1","level 1","office central lobby"
,,"Level 1 - Office Central Lobby - Unisex (D) 2",,"under-slung drainage (commercial)","unisex (d) 2","level 1","office central lobby"
,,"Level 1 - Office Central Lobby - Cleaners Room",,"cleaners room","under-slung drainage (commercial)","level 1","office central lobby"
,,"Level 1 - Office East Lobby - Amenities (M)",,"under-slung drainage (commercial)","office east lobby","amenities (m)","level 1"
,,"Level 1 - Office East Lobby - Amenities (F)",,"under-slung drainage (commercial)","office east lobby","amenities (f)","level 1"
,,"Level 1 - Office East Lobby - Amenities (D)",,"under-slung drainage (commercial)","office east lobby","amenities (d)","level 1"
,,"Level 2 - Office Central Lobby - Unisex (D) 1",,"under-slung drainage (commercial)","unisex (d) 1","level 2","office central lobby"
,,"Level 2 - Office Central Lobby - Unisex (D) 2",,"under-slung drainage (commercial)","unisex (d) 2","level 2","office central lobby"
,,"Level 2 - Office Central Lobby - Cleaners Room",,"cleaners room","under-slung drainage (commercial)","level 2","office central lobby"
,,"Level 2 - Office East Lobby - Amenities (M)",,"under-slung drainage (commercial)","office east lobby","amenities (m)","level 2"
,,"Level 2 - Office East Lobby - Amenities (F)",,"under-slung drainage (commercial)","office east lobby","amenities (f)","level 2"
,,"Level 2 - Office East Lobby - Amenities (D)",,"under-slung drainage (commercial)","office east lobby","amenities (d)","level 2"
,,"Level 3 - Office Central Lobby - Unisex (D) 1",,"under-slung drainage (commercial)","unisex (d) 1","office central lobby","level 3"
,,"Level 3 - Office Central Lobby - Unisex (D) 2",,"under-slung drainage (commercial)","unisex (d) 2","office central lobby","level 3"
,,"Level 3 - Office Central Lobby - Cleaners Room",,"cleaners room","under-slung drainage (commercial)","office central lobby","level 3"
,,"Level 3 - Office East Lobby - Amenities (M)",,"under-slung drainage (commercial)","office east lobby","amenities (m)","level 3"
,,"Level 3 - Office East Lobby - Amenities (F)",,"under-slung drainage (commercial)","office east lobby","amenities (f)","level 3"
,,"Level 3 - Office East Lobby - Amenities (D)",,"under-slung drainage (commercial)","office east lobby","amenities (d)","level 3"
,,"Level 4 - Office Central Lobby - Unisex (D) 1",,"level 4","under-slung drainage (commercial)","unisex (d) 1","office central lobby"
,,"Level 4 - Office Central Lobby - Unisex (D) 2",,"level 4","under-slung drainage (commercial)","unisex (d) 2","office central lobby"
,,"Level 4 - Office Central Lobby - Cleaners Room",,"level 4","cleaners room","under-slung drainage (commercial)","office central lobby"
,,"Level 4 - Office East Lobby - Amenities (M)",,"level 4","under-slung drainage (commercial)","office east lobby","amenities (m)"
,,"Level 4 - Office East Lobby - Amenities (F)",,"level 4","under-slung drainage (commercial)","office east lobby","amenities (f)"
,,"Level 4 - Office East Lobby - Amenities (D)",,"level 4","under-slung drainage (commercial)","office east lobby","amenities (d)"
,,"Level 5 - Office West Lobby - Amenities (M)",,"level 5","office west lobby","under-slung drainage (commercial)","amenities (m)"
,,"Level 5 - Office West Lobby - Amenities (F)",,"level 5","office west lobby","under-slung drainage (commercial)","amenities (f)"
,,"Level 5 - Office West Lobby - Amenities (D)",,"level 5","office west lobby","under-slung drainage (commercial)","amenities (d)"
,,"Level 5 - Office East Lobby - Amenities (M)",,"level 5","under-slung drainage (commercial)","office east lobby","amenities (m)"
,,"Level 5 - Office East Lobby - Amenities (F)",,"level 5","under-slung drainage (commercial)","office east lobby","amenities (f)"
,,"Level 5 - Office East Lobby - Amenities (D)",,"level 5","under-slung drainage (commercial)","office east lobby","amenities (d)"
,,"Level 6 - Office East Lobby - Amenities (M)",,"level 6","under-slung drainage (commercial)","office east lobby","amenities (m)"
,,"Level 6 - Office East Lobby - Amenities (F)",,"level 6","under-slung drainage (commercial)","office east lobby","amenities (f)"
,,"Level 6 - Office East Lobby - Amenities (D)",,"level 6","under-slung drainage (commercial)","office east lobby","amenities (d)"
,,"Level 7 - Office East Lobby - Amenities (M)",,"under-slung drainage (commercial)","level 7","office east lobby","amenities (m)"
,,"Level 7 - Office East Lobby - Amenities (F)",,"under-slung drainage (commercial)","level 7","office east lobby","amenities (f)"
,,"Level 7 - Office East Lobby - Amenities (D)",,"under-slung drainage (commercial)","level 7","office east lobby","amenities (d)"
,"Columns"
,,"Waste Pipe (Underslung) checked off as below",,"waste pipe (underslung) checked off as below"
,,"Installer is a Registered Plumber (VIC) with endorsements for this work","Installer is a Registered Plumber (VIC) with endorsements for this work","waste pipe (underslung) checked off as below"
,,"Installation complies with current AS3500 & AS5600","Installation complies with current AS3500 & AS5600","waste pipe (underslung) checked off as below"
,,"Installation complies with current drawings & specifications","Installation complies with current drawings & specifications","waste pipe (underslung) checked off as below"
,,"Installation materials were used in accordance with manufacturer requirements","Installation materials were used in accordance with manufacturer requirements","waste pipe (underslung) checked off as below"
,,"Check for damage or leaks","Check for damage or leaks","waste pipe (underslung) checked off as below"
,,"Check pipe joints & witness marks are correct","Check pipe joints & witness marks are correct","waste pipe (underslung) checked off as below"
,,"Check clips, fixings & anchor points are correct","Check clips, fixings & anchor points are correct","waste pipe (underslung) checked off as below"
,,"Check all pipe & trap invert levels are correct","Check all pipe & trap invert levels are correct","waste pipe (underslung) checked off as below"
,,"Check inspection openings are correct","Check inspection openings are correct","waste pipe (underslung) checked off as below"
,,"Check pipework &/or traps are clear of debris","Check pipework &/or traps are clear of debris","waste pipe (underslung) checked off as below"
,,"Check in wall mounting brackets are correct","Check in wall mounting brackets are correct","waste pipe (underslung) checked off as below"
,,"Check in wall waste pipes/vents are in correct","Check in wall waste pipes/vents are in correct","waste pipe (underslung) checked off as below"
,,"Check grated outlets are correct","Check grated outlets are correct","waste pipe (underslung) checked off as below"
,,"Check any open ends are sealed/capped","Check any open ends are sealed/capped","waste pipe (underslung) checked off as below"
,,"Final sign off - Pass when happy to proceed (Any issues please comment & Add photos below)",,"final sign off - pass when happy to proceed (any issues please comment & add photos below)"
,,"Confirm area has been left clean","Confirm area has been left clean","final sign off - pass when happy to proceed (any issues please comment & add photos below)"

"Commercial - Under-Slung Drainage - Tenancies"
,"Scope",,
,"Rows"
,,"Lower Ground Level - Retail - 1 - Sewer Stack (Risers)",,"lower ground level","under-slung drainage (commercial)","tenancies","retail - 1","sewer stack (risers)"
,,"Lower Ground Level - Retail - 1 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","lower ground level","under-slung drainage (commercial)","tenancies","retail - 1"
,,"Lower Ground Level - Retail - 2 - Sewer Stack (Risers)",,"lower ground level","under-slung drainage (commercial)","retail - 2","tenancies","sewer stack (risers)"
,,"Lower Ground Level - Retail - 2 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","lower ground level","under-slung drainage (commercial)","retail - 2","tenancies"
,,"Lower Ground Level - Retail - 3 - Sewer Stack (Risers)",,"lower ground level","under-slung drainage (commercial)","retail - 3","tenancies","sewer stack (risers)"
,,"Lower Ground Level - Retail - 3 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","lower ground level","under-slung drainage (commercial)","retail - 3","tenancies"
,,"Lower Ground Level - Retail - 4 - Sewer Stack (Risers)",,"lower ground level","retail - 4","under-slung drainage (commercial)","tenancies","sewer stack (risers)"
,,"Lower Ground Level - Retail - 4 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","lower ground level","retail - 4","under-slung drainage (commercial)","tenancies"
,,"Ground Level - Restaurant - Sewer Stack (Risers)",,"under-slung drainage (commercial)","ground level","tenancies","restaurant","sewer stack (risers)"
,,"Ground Level - Restaurant - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","ground level","tenancies","restaurant"
,,"Ground Level - Cafý - Sewer Stack (Risers)",,"under-slung drainage (commercial)","cafý","ground level","tenancies","sewer stack (risers)"
,,"Ground Level - Cafý - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","cafý","ground level","tenancies"
,,"Ground Level - Office Space - 1 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","ground level","tenancies","sewer stack (risers)","office space - 1"
,,"Ground Level - Office Space - 1 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","ground level","tenancies","office space - 1"
,,"Mezzanine Level - Office - 1 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","office - 1","mezzanine level","tenancies","sewer stack (risers)"
,,"Mezzanine Level - Office - 1 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","office - 1","mezzanine level","tenancies"
,,"Mezzanine Level - Office - 2 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","office - 2","mezzanine level","tenancies","sewer stack (risers)"
,,"Mezzanine Level - Office - 2 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","office - 2","mezzanine level","tenancies"
,,"Mezzanine Level - Office - 3 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","office - 3","mezzanine level","tenancies","sewer stack (risers)"
,,"Mezzanine Level - Office - 3 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","office - 3","mezzanine level","tenancies"
,,"Level 1 - Office - 1 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","office - 1","level 1","tenancies","sewer stack (risers)"
,,"Level 1 - Office - 1 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","office - 1","level 1","tenancies"
,,"Level 1 - Office - 2 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","office - 2","level 1","tenancies","sewer stack (risers)"
,,"Level 1 - Office - 2 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","office - 2","level 1","tenancies"
,,"Level 1 - Office - 3 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","office - 3","level 1","tenancies","sewer stack (risers)"
,,"Level 1 - Office - 3 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","office - 3","level 1","tenancies"
,,"Level 2 - Office - 1 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","office - 1","level 2","tenancies","sewer stack (risers)"
,,"Level 2 - Office - 1 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","office - 1","level 2","tenancies"
,,"Level 2 - Office - 2 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","office - 2","level 2","tenancies","sewer stack (risers)"
,,"Level 2 - Office - 2 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","office - 2","level 2","tenancies"
,,"Level 2 - Office - 3 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","office - 3","level 2","tenancies","sewer stack (risers)"
,,"Level 2 - Office - 3 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","office - 3","level 2","tenancies"
,,"Level 3 - Office - 1 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","office - 1","tenancies","sewer stack (risers)","level 3"
,,"Level 3 - Office - 1 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","office - 1","tenancies","level 3"
,,"Level 3 - Office - 2 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","office - 2","tenancies","sewer stack (risers)","level 3"
,,"Level 3 - Office - 2 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","office - 2","tenancies","level 3"
,,"Level 3 - Office - 3 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","office - 3","tenancies","sewer stack (risers)","level 3"
,,"Level 3 - Office - 3 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","office - 3","tenancies","level 3"
,,"Level 4 - Office - 1 - Sewer Stack (Risers)",,"level 4","under-slung drainage (commercial)","office - 1","tenancies","sewer stack (risers)"
,,"Level 4 - Office - 1 - Trade Waste Stack (Risers)",,"level 4","trade waste stack (risers)","under-slung drainage (commercial)","office - 1","tenancies"
,,"Level 4 - Office - 2 - Sewer Stack (Risers)",,"level 4","under-slung drainage (commercial)","office - 2","tenancies","sewer stack (risers)"
,,"Level 4 - Office - 2 - Trade Waste Stack (Risers)",,"level 4","trade waste stack (risers)","under-slung drainage (commercial)","office - 2","tenancies"
,,"Level 4 - Office - 3 - Sewer Stack (Risers)",,"level 4","under-slung drainage (commercial)","office - 3","tenancies","sewer stack (risers)"
,,"Level 4 - Office - 3 - Trade Waste Stack (Risers)",,"level 4","trade waste stack (risers)","under-slung drainage (commercial)","office - 3","tenancies"
,,"Level 5 - Office - 1 - Sewer Stack (Risers)",,"level 5","under-slung drainage (commercial)","office - 1","tenancies","sewer stack (risers)"
,,"Level 5 - Office - 1 - Trade Waste Stack (Risers)",,"level 5","trade waste stack (risers)","under-slung drainage (commercial)","office - 1","tenancies"
,,"Level 5 - Office - 2 - Sewer Stack (Risers)",,"level 5","under-slung drainage (commercial)","office - 2","tenancies","sewer stack (risers)"
,,"Level 5 - Office - 2 - Trade Waste Stack (Risers)",,"level 5","trade waste stack (risers)","under-slung drainage (commercial)","office - 2","tenancies"
,,"Level 5 - Office - 3 - Sewer Stack (Risers)",,"level 5","under-slung drainage (commercial)","office - 3","tenancies","sewer stack (risers)"
,,"Level 5 - Office - 3 - Trade Waste Stack (Risers)",,"level 5","trade waste stack (risers)","under-slung drainage (commercial)","office - 3","tenancies"
,,"Level 6 - Office - 1 - Sewer Stack (Risers)",,"level 6","under-slung drainage (commercial)","office - 1","tenancies","sewer stack (risers)"
,,"Level 6 - Office - 1 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","level 6","under-slung drainage (commercial)","office - 1","tenancies"
,,"Level 6 - Office - 2 - Sewer Stack (Risers)",,"level 6","under-slung drainage (commercial)","office - 2","tenancies","sewer stack (risers)"
,,"Level 6 - Office - 2 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","level 6","under-slung drainage (commercial)","office - 2","tenancies"
,,"Level 7 - Office - 1 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","office - 1","level 7","tenancies","sewer stack (risers)"
,,"Level 7 - Office - 1 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","office - 1","level 7","tenancies"
,,"Level 7 - Office - 2 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","level 7","office - 2","tenancies","sewer stack (risers)"
,,"Level 7 - Office - 2 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","level 7","office - 2","tenancies"
,,"Level 7 - Office - 3 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","level 7","office - 3","tenancies","sewer stack (risers)"
,,"Level 7 - Office - 3 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","level 7","office - 3","tenancies"
,,"Level 7 - Office - 4 - Sewer Stack (Risers)",,"under-slung drainage (commercial)","level 7","office - 4","tenancies","sewer stack (risers)"
,,"Level 7 - Office - 4 - Trade Waste Stack (Risers)",,"trade waste stack (risers)","under-slung drainage (commercial)","level 7","office - 4","tenancies"
,"Columns"
,,"Stack/Vent (Risers) checked off as below",,"stack/vent (risers) checked off as below"
,,"Installer is a Registered Plumber (VIC) with endorsements for this work","Installer is a Registered Plumber (VIC) with endorsements for this work","stack/vent (risers) checked off as below"
,,"Installation complies with current drawings & specifications","Installation complies with current drawings & specifications","stack/vent (risers) checked off as below"
,,"Installation materials were used in accordance with manufacturer requirements","Installation materials were used in accordance with manufacturer requirements","stack/vent (risers) checked off as below"
,,"Check for damage or leaks","Check for damage or leaks","stack/vent (risers) checked off as below"
,,"Check pipe joints & witness marks are correct","Check pipe joints & witness marks are correct","stack/vent (risers) checked off as below"
,,"Check clips, fixings & anchor points are correct","Check clips, fixings & anchor points are correct","stack/vent (risers) checked off as below"
,,"Check branch junctions & off-set invert levels are correct","Check branch junctions & off-set invert levels are correct","stack/vent (risers) checked off as below"
,,"Check inspection openings are correct","Check inspection openings are correct","stack/vent (risers) checked off as below"
,,"Check pipework &/or traps are clear of debris","Check pipework &/or traps are clear of debris","stack/vent (risers) checked off as below"
,,"Check stack bends & traps correct & supported","Check stack bends & traps correct & supported","stack/vent (risers) checked off as below"
,,"Check expansion joints are correct","Check expansion joints are correct","stack/vent (risers) checked off as below"
,,"Check any open ends are sealed/capped","Check any open ends are sealed/capped","stack/vent (risers) checked off as below"
,,"Final sign off - Pass when happy to proceed (Any issues please comment & Add photos below)",,"final sign off - pass when happy to proceed (any issues please comment & add photos below)"
,,"Confirm area has been left clean","Confirm area has been left clean","final sign off - pass when happy to proceed (any issues please comment & add photos below)"

"Commercial - Rough-In"
,"Scope",,
,"Rows"
,,"Lower Ground Level - End Of Trip","grouping","end of trip","lower ground level","rough-in (commercial)"
,,"amenities (m)","expanded","lower ground level","rough-in (commercial)","end of trip","amenities (m)"
,,"amenities (f)","expanded","lower ground level","rough-in (commercial)","end of trip","amenities (f)"
,,"amenities (d)","expanded","lower ground level","rough-in (commercial)","amenities (d)","end of trip"
,,"cleaners room","expanded","cleaners room","lower ground level","rough-in (commercial)","end of trip"
,,"Ground Level - Bike Room (Residential)","grouping","bike room (residential)","rough-in (commercial)","ground level"
,,"amenities (m)","expanded","bike room (residential)","rough-in (commercial)","amenities (m)","ground level"
,,"Ground Level - Bin Room (Commercial)",,"rough-in (commercial)","ground level","bin room (commercial)"
,,"Ground Level - Bin Room (Residential)",,"bin room (residential)","rough-in (commercial)","ground level"
,,"Mezzanine Level - Office Central Lobby","grouping","rough-in (commercial)","mezzanine level","office central lobby"
,,"unisex (d)","expanded","rough-in (commercial)","mezzanine level","office central lobby","unisex (d)"
,,"cleaners room","expanded","cleaners room","rough-in (commercial)","mezzanine level","office central lobby"
,,"Mezzanine Level - Office East Lobby","grouping","rough-in (commercial)","mezzanine level","office east lobby"
,,"amenities (m)","expanded","rough-in (commercial)","office east lobby","amenities (m)","mezzanine level"
,,"amenities (f)","expanded","rough-in (commercial)","office east lobby","amenities (f)","mezzanine level"
,,"amenities (d)","expanded","rough-in (commercial)","office east lobby","amenities (d)","mezzanine level"
,,"tst testing potable water - (1500 kpa)","expanded","rough-in (commercial)","office east lobby","mezzanine level","tst testing potable water - (1500 kpa)"
,,"Level 1 - Office Central Lobby","grouping","level 1","rough-in (commercial)","office central lobby"
,,"unisex (d)","expanded","rough-in (commercial)","level 1","office central lobby","unisex (d)"
,,"cleaners room","expanded","cleaners room","rough-in (commercial)","level 1","office central lobby"
,,"Level 1 - Office East Lobby","grouping","level 1","rough-in (commercial)","office east lobby"
,,"amenities (m)","expanded","rough-in (commercial)","office east lobby","amenities (m)","level 1"
,,"amenities (f)","expanded","rough-in (commercial)","office east lobby","amenities (f)","level 1"
,,"amenities (d)","expanded","rough-in (commercial)","office east lobby","amenities (d)","level 1"
,,"tst testing potable water - (1500 kpa)","expanded","rough-in (commercial)","office east lobby","level 1","tst testing potable water - (1500 kpa)"
,,"Level 2 - Office Central Lobby","grouping","rough-in (commercial)","level 2","office central lobby"
,,"unisex (d)","expanded","rough-in (commercial)","level 2","office central lobby","unisex (d)"
,,"cleaners room","expanded","cleaners room","rough-in (commercial)","level 2","office central lobby"
,,"Level 2 - Office East Lobby","grouping","rough-in (commercial)","level 2","office east lobby"
,,"amenities (m)","expanded","rough-in (commercial)","office east lobby","amenities (m)","level 2"
,,"amenities (f)","expanded","rough-in (commercial)","office east lobby","amenities (f)","level 2"
,,"amenities (d)","expanded","rough-in (commercial)","office east lobby","amenities (d)","level 2"
,,"Level 3 - Office Central Lobby","grouping","rough-in (commercial)","office central lobby","level 3"
,,"Level 3 - Office East Lobby","grouping","rough-in (commercial)","office east lobby","level 3"
,,"Level 4 - Office Central Lobby","grouping","level 4","rough-in (commercial)","office central lobby"
