"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d2a827fb-34b7-4467-ac73-cbc5f3a899d0","","checklist-flat","pass","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"b1a77841-00af-574c-a3f6-530a342e4a05","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"691ac664-d674-5ffa-82e1-97aa106ff153","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"9a10b374-3aea-50c6-b119-ff4309257fba","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"3c405b8f-0a8f-53d6-b4d8-984c2b382980","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"22fa23cd-e941-50b0-bb41-1c152cbbcc82","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"924daf92-54dd-5b50-87ff-84c9485d4a61","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"a82bca07-5936-4613-9c09-5423681a2fcb","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"578f4e28-c674-425f-83b3-6b5f276008dc","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors"
"979b340f-2dc9-4535-ab72-ee22ebb94d56","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01"
"c78a5cd9-a5d9-4c3d-b404-f611bfc2b016","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @22m - Rail 01","Pre-Fit Off Checklist"
"46a9d263-e66b-54cf-9903-46d5072dd884","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Rail Checklist - Rail 08","Photo taken of Engraved Line Plate / ID Tag"
"272151b2-f846-5278-bc3e-4d353742b37e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Rail Checklist - Rail 08","Video taken of system"
"5e33a84f-6d38-5cd8-9fee-f8220f64765a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Rail Checklist - Rail 08","Description input of location / person Rail systems shuttle left with"
"4e43cc2b-fbac-5b33-8785-7c2f81a46c80","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Rail Checklist - Rail 08","Installed as per PBI drawings supplied and manufacturer's requirements"
"c158c0c2-422b-47d7-af1d-a7fb3568538f","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Data Plate, Access Point (Rails and Line Systems)"
"528f3a6e-2df3-547a-ba61-eb0c83465e76","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Data Plate, Access Point (Rails and Line Systems)","Details of Data Plate"
"4343d693-fadd-58c9-8866-c5cb9b71be40","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Data Plate"
"462d4b6d-f60f-584e-89eb-23940eb7c69c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Data Plate, Access Point (Rails and Line Systems)","Details of Access Point"
"c7e8d862-871b-5d67-9bf6-05ec51e43bab","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Access Area"
"2f528d4b-a6f8-554e-a85f-855349178915","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Data Plate, Access Point (Rails and Line Systems)","Details of Rail Carriages/Cable Travellers"
"12534329-b871-5884-8849-e62df539afee","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","1No RoofSafe Rail System @ 16m - Rail 08","Data Plate, Access Point (Rails and Line Systems)","1 photo required of carriages/travellers"
"9f10be91-acab-43b8-a1a4-7e2a6c2b619a","","folder-normal","pass","","step","TRUE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof"
"ac278c7f-2f0b-45ea-bcc2-e015b22f3be3","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Pre-Fit Off Checklist"
"93260652-a871-51a0-a067-dbd42f99c618","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"25092796-e5a4-56e3-9840-06d9836268ea","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Pre-Fit Off Checklist","EMAIL PM"
"32a29b08-63aa-59f2-8932-1b11c6f07753","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"6ac870cf-5517-5600-b2e5-854865dfe396","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Pre-Fit Off Checklist","Photos taken"
"e3331f32-7ca8-498e-b1f2-dff3032d2d6b","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 03"
"232a1bab-c41e-5785-94da-ceb59ec4cb36","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 03","Confirm the structure is in accordance with the details supplied by PBI"
"dd12865e-a1ce-5ebd-8d03-78bb1dc65dc7","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 03","EMAIL PM"
"4dab1a1f-3822-54c4-8e63-e876d0da25d2","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 03","Required number of photo(s) taken of installed anchor(s)"
"0ea6b8b2-3ac2-5e7b-83a4-f384a96f6a5e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"80644bf4-9378-4319-8518-05f93a9277be","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 04"
"82261258-f63b-58f6-bcb4-ddcad97c1ce6","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 04","Confirm the structure is in accordance with the details supplied by PBI"
"1ce63464-5437-5bb1-900d-3610e79b9e9d","","holdpoint","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 04","EMAIL PM"
"d6c455c8-2b11-5975-95a9-9982552eceaf","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 04","Required number of photo(s) taken of installed anchor(s)"
"a4fe0063-7542-5757-9471-901e66156c4d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Fit Off Checklist - Anchor 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"54589128-0947-4993-a36f-b283b29febcc","","checklist-flat","pass","Data Plate & Access Point (Anchor Points)","checklist-flat","FALSE","FALSE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)"
"d30ce322-2182-5d74-b692-269adc2d7566","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)","Details of Data Plate"
"c3bea931-bf64-54cb-9ff2-24b72394079a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)","1 photo required of Data Plate"
"0afbd594-3086-563d-bddd-a0e00b851dd2","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)","Details of Access Point"
"032917c6-9eb3-5f6b-8d64-0b0862b1e341","","checkpoint-status","pass","","","TRUE","TRUE","QA","Tower 02 - 4no RoofSafe Rail Systems and 2no Abseil Anchors","2No Abseil Anchors to Membrane Roof","Data Plate & Access Point (Anchor Points)","1 photo required of Access Area"
"e375289d-5357-430c-a357-7bef47f84729","","folder-normal","pass","","step","TRUE","FALSE","QA","Club Room - 1no RoofSafe Cable System"
"e54f76be-805f-4be6-9aa0-8be1affbebdb","","folder-normal","pass","","step","TRUE","FALSE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01"
"2b706c95-ff83-4b54-baaf-d181ff5214b8","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Pre-Fit Off Checklist"
"69e19691-c699-5367-b60d-461c95f51772","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"ff352112-1345-5c69-a5fc-75dbe6ad10a6","","holdpoint","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Pre-Fit Off Checklist","EMAIL PM"
"ed02523d-5a4b-5bfc-9930-58dbae04f4f9","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"6e28e4b4-d1af-5bce-bf29-79904e52fdd5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Pre-Fit Off Checklist","Photos taken"
"c2b16875-6b6d-4206-9845-cba9324b314b","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Fit Off Checklist - Line 01"
"be8aff6a-05bd-5827-8a25-6ace7736bf8e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"bbf3dace-b71d-5ad9-9df7-8022a9274c32","","holdpoint","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Fit Off Checklist - Line 01","EMAIL PM"
"64b59ec9-b1f3-593e-abb4-b4700fb37973","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test - 4 photos required"
"927363e9-bfb3-5831-9682-2689636e2b8c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Fit Off Checklist - Line 01","Photo taken of Swages - 12 photos required"
"58105ed9-f020-5951-9943-365d54f04c67","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"a2b530c3-3883-5aea-87f4-b196b65bf2f0","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Fit Off Checklist - Line 01","Video taken of system"
"8b2bc5ed-9a90-553c-9c39-30366c624aa4","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"ed766dcb-b617-448d-a0af-c60a797032dd","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Data Plate, Access Point (Rails and Line Systems)"
"b35fb047-f315-5910-b3a5-dd918e6cc83e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Data Plate, Access Point (Rails and Line Systems)","Details of Data Plate"
"8702338e-a1d7-52e4-ae38-b229a37950a7","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Data Plate"
"89658462-8c51-5291-9a86-94a7ae897d5f","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Data Plate, Access Point (Rails and Line Systems)","Details of Access Point"
"1b4cd8c0-fdce-57c5-a6ff-04d388f6b00a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Access Area"
"fa8937fd-58c2-5348-bc55-1d24dafa1bc8","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Data Plate, Access Point (Rails and Line Systems)","Details of Rail Carriages/Cable Travellers"
"39577569-9220-5fee-94fb-de5aea0cf5b4","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","1No RoofSafe Cable System @ 94m - Line 01","Data Plate, Access Point (Rails and Line Systems)","1 photo required of carriages/travellers"
"9b21e3c6-fc73-4cbd-ac59-0d202d4e9227","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Club Room - 1no RoofSafe Cable System","Data Plate, Access Point"
"afb9082f-4710-569c-9ff0-61abf05c428d","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","Data Plate, Access Point","Details of Data Plate"
"75767582-bda5-5bba-b00a-0eac35601cb0","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","Data Plate, Access Point","1 photo required of Data Plate"
"ad900dad-18bd-570b-8833-7c6d8d27bfbf","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","Data Plate, Access Point","Details of Access Point"
"a0a77e4c-c618-53d6-80c1-020c911b2b6b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","Data Plate, Access Point","1 photo required of Access Area"
"f8e990a4-bfd9-5a38-9fbd-19fc51c2368a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","Data Plate, Access Point","Details of Rail Carriages/Cable Travellers"
"15858295-816c-51ad-a35a-003c66d68ecf","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1no RoofSafe Cable System","Data Plate, Access Point","1 photo required of carriages/travellers"
"acf102d3-acd4-41bc-87ef-d76d54d80852","","folder-normal","pass","","step","TRUE","FALSE","QA","Club Room - 1No Ladder Bracket"
"5c43b3fd-baf7-4c44-a766-a9a847915d15","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Club Room - 1No Ladder Bracket","Pre-Fit Off Checklist"
"58c19392-7f9f-59a9-adab-133e508d32e6","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1No Ladder Bracket","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"7220f854-291c-5f98-8029-0676f269b088","","holdpoint","pass","","","TRUE","TRUE","QA","Club Room - 1No Ladder Bracket","Pre-Fit Off Checklist","EMAIL PM"
"d93f8914-63b6-5bfb-9c3e-d66d572f050e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1No Ladder Bracket","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"0e8471a7-9815-54df-b668-0f1f110aeec4","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1No Ladder Bracket","Pre-Fit Off Checklist","Photos taken"
"e9fe58da-2e9e-412f-898b-30478915b14f","","checklist-flat","pass","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Club Room - 1No Ladder Bracket","Fit Off Checklist - Ladder Bracket"
"8da9e6ee-869d-5f37-a478-41060a2e26cf","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1No Ladder Bracket","Fit Off Checklist - Ladder Bracket","Confirm the structure is in accordance with the details supplied by PBI"
"28bc3f39-fbd0-5445-aaba-31502bae8415","","holdpoint","pass","","","TRUE","TRUE","QA","Club Room - 1No Ladder Bracket","Fit Off Checklist - Ladder Bracket","EMAIL PM"
"d7295d64-59f6-5d82-90a5-1744722c1b34","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1No Ladder Bracket","Fit Off Checklist - Ladder Bracket","Photos taken of installed item"
"9be24090-932a-5f43-90d1-d7879eab87bc","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1No Ladder Bracket","Fit Off Checklist - Ladder Bracket","Installed as per PBI drawings supplied and manufacturer's requirements"
"9de97468-09f0-4ba2-9566-540a3060889d","","folder-normal","pass","","step","TRUE","FALSE","QA","Club Room - 1No Anchor AP Type 02"
"552e720e-ea6c-45ff-923c-a9327980a7b7","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Club Room - 1No Anchor AP Type 02","Pre-Fit Off Checklist"
"84453a19-3101-5d35-82de-f9e69fa275a6","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1No Anchor AP Type 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"562b2479-c6cc-5015-bcf1-49c8ee3dd1c2","","holdpoint","pass","","","TRUE","TRUE","QA","Club Room - 1No Anchor AP Type 02","Pre-Fit Off Checklist","EMAIL PM"
"a5067b6b-c02f-5cff-a611-afec769225ed","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1No Anchor AP Type 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"9ec75f0a-2b84-5101-9992-2f7240b029f6","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1No Anchor AP Type 02","Pre-Fit Off Checklist","Photos taken"
"d9fce557-5540-45e3-9523-224e84e7e53c","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Club Room - 1No Anchor AP Type 02","Fit Off Checklist - Anchor 16"
"ba9e4b60-dd67-5c94-a2f4-75c2062a1197","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1No Anchor AP Type 02","Fit Off Checklist - Anchor 16","Confirm the structure is in accordance with the details supplied by PBI"
"025ddc4f-a3ba-517d-a92a-6db7ee4dce5c","","holdpoint","pass","","","TRUE","TRUE","QA","Club Room - 1No Anchor AP Type 02","Fit Off Checklist - Anchor 16","EMAIL PM"
"80b34e00-0fd0-5be0-b6c2-556a0e6a98d6","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1No Anchor AP Type 02","Fit Off Checklist - Anchor 16","Required number of photo(s) taken of installed anchor(s)"
"3c931182-c3e4-5ed2-90ec-a461066dd93a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Club Room - 1No Anchor AP Type 02","Fit Off Checklist - Anchor 16","Installed as per PBI drawings supplied and manufacturer's requirements"
"b2255d8b-4931-4c89-98a2-9c35576bdb46","","folder-normal","pass","","step","TRUE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors"
"d9ae0753-f8e9-4b41-81dd-3c82bb5f94bb","","folder-normal","pass","","step","TRUE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02"
"1b52dd28-b0dc-4900-9532-c8d86f893c08","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Pre-Fit Off Checklist"
"8995706f-77e5-5ce0-b910-54af0b9d2c70","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"0008de4b-5603-57e9-8c55-692c5592e272","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Pre-Fit Off Checklist","EMAIL PM"
"3ce37908-3a57-55c2-92f1-dc3f77277397","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"79e8c036-1f46-583c-8125-2014923b15f1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Pre-Fit Off Checklist","Photos taken"
"9d8dd356-c026-43ab-8ae0-acf5dbb6463f","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Fit Off Checklist - Line 02"
"46d40ee6-73bb-5644-9fbd-8c2d89c5a10c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Fit Off Checklist - Line 02","Confirm the structure is in accordance with the details supplied by PBI"
"a9ddaf2d-cf30-5ccb-8d8f-48937dbaffe0","","holdpoint","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Fit Off Checklist - Line 02","EMAIL PM"
"4a97fd42-dc31-585a-84da-fd8527e1fe75","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Fit Off Checklist - Line 02","Photo taken of line pull test - 4 photos required"
"ca953a15-d0cd-5881-b1aa-23344a7d0f65","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Fit Off Checklist - Line 02","Photo taken of Swages - 12 photos required"
"57eb7d39-e89c-52ed-826f-dc04f36fc80b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Fit Off Checklist - Line 02","Photo taken of Engraved Line Plate / ID Tag"
"0bf0a70e-9463-55f1-86ef-230c376754df","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Fit Off Checklist - Line 02","Video taken of system"
"10142db4-63c7-550d-9dee-c7f1b3ee82f3","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Fit Off Checklist - Line 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"f5708d99-0cfe-4f7b-8f57-394a6c5ddd94","","checklist-flat","pass","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Data Plate, Access Point (Rails and Line Systems)"
"bc716a2c-2f51-5059-8d4c-4387bcbd0f8c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Data Plate, Access Point (Rails and Line Systems)","Details of Data Plate"
"21e2b5bb-39d1-5a9c-8a29-ff142bb8901b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Townhouses Block 01 - 1no RoofSafe Cable System and 3no Fall Arrest Anchors","1No RoofSafe Cable System @ 56m - Line 02","Data Plate, Access Point (Rails and Line Systems)","1 photo required of Data Plate"
