"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1aaed0a5-fc27-470d-ad90-a08ba3523b78","","fail","","folder","TRUE","FALSE","Site QA"
"c297c7aa-cdbc-4f11-8f95-f5215168c7eb","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office"
"75865981-7e93-491b-ba1b-6df16f3d58e7","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure"
"81e3d7c0-4f4e-422a-ae17-d94b07ca5b8b","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)"
"b3066fdd-6740-4f43-a46a-7f01748ee70b","","pass","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Wet Areas","Males & Female Toilet","Tiling"
"fe8a92c9-9ee9-4fed-a198-6da015cd4290","","pass","","folder","TRUE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Wet Areas","Executive Office"
"05035f1f-9dcf-4344-aa0d-cd9789673bd0","","pass","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Wet Areas","Executive Office","Waterproofing"
"e30d9a8b-f3e8-4741-876e-653b7b7b7f9e","","pass","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Wet Areas","Executive Office","Tiling"
"746381d8-a10c-464d-8935-d92d91c47751","","pass","","folder","TRUE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Wet Areas","Cleanroom WC"
"f421069b-8aa2-4c39-b315-ef5b495422b0","","pass","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Wet Areas","Cleanroom WC","Waterproofing"
"1cf32dd0-6e39-4818-98c8-5c2059349bef","","pass","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Wet Areas","Cleanroom WC","Tiling"
"badbcb02-f53e-4a7e-853e-d9cb3c48a163","","work-in-progress","","folder","TRUE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Cleanrooms"
"fed2b6d0-40f9-4d86-abe4-0f54a44c736c","","work-in-progress","Cleanroom Checklist - GPL-QSE-ITP-FIT-012 (Rev00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Cleanrooms","Main Cleanroom"
"531e80f1-784d-4ee6-844e-4e6257d0d4f6","","work-in-progress","Cleanroom Checklist - GPL-QSE-ITP-FIT-012 (Rev00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Cleanrooms","Gowning"
"9f67b62d-d18d-470d-9250-6dc4e7bfa0c9","","work-in-progress","Cleanroom Checklist - GPL-QSE-ITP-FIT-012 (Rev00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Cleanrooms","Cartoning"
"9987b2d2-81bb-4ec9-9a53-9bfe3b0d3e04","","work-in-progress","Cleanroom Checklist - GPL-QSE-ITP-FIT-012 (Rev00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Cleanrooms","GTP"
"d8cd45cf-8267-4b6f-ba98-8683d0a5071b","","not-started","Cleanroom Checklist - GPL-QSE-ITP-FIT-012 (Rev00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Cleanrooms","Staff Airlocks (East)"
"8cb99cbf-abdf-479d-bd32-7ca739315c87","","not-started","Cleanroom Checklist - GPL-QSE-ITP-FIT-012 (Rev00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Cleanrooms","Airlocks to Cartoning (West)"
"188c2d84-6fa7-4b4e-83c2-947407f11693","","not-started","Cleanroom Checklist - GPL-QSE-ITP-FIT-012 (Rev00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Cleanrooms","Goods Airlocks (South)"
