"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d5e4ea84-8d21-40ff-9274-5228b9685b4c","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-set","checklist-flat","FALSE","FALSE","Overall Pre-set"
"b0e1cccd-e9fc-5fc9-becb-8b9e6d396f32","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-set","Overall Pre-set"
"23c6456d-84cd-51a0-b2a5-ed0b01c89e45","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","System information:"
"2d650379-6245-5604-9d4e-8e674b2f2720","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","SSP Attached"
"5acdd6d7-fd35-5a35-9ce3-48eca1713c25","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","Task Analysis Attached"
"1f807f9a-9565-5fb6-bf50-82a2d5979d18","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","Relevant Drawings Attached"
"ce106812-b477-4220-a8df-ebe208a728b0","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"eab2d2b3-6a21-4fc2-b1ff-a397da4ff8f4","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Block 01"
"119f158f-5e20-428f-98cb-d084523cc1e7","","folder-normal","pass","","step","TRUE","FALSE","QA","Block 01","RoofSafe Rail System"
"2b0844de-8025-4e52-9db1-782ed56d1392","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Block 01","RoofSafe Rail System","Pre-Fit Off Checklist - Rail 01"
"b66de0cf-18fb-5dd1-aa90-87faafe27da8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #26","Photos taken of installed item"
"d800777b-fc6a-5d46-8466-6d4dd7cfc5a9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #26","Installed as per PBI drawings supplied and manufacturer's requirements"
"64cf29d8-1711-4cea-b6c5-753fe649329e","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #27"
"e3e82b31-c96c-5459-bc86-ae28bb6aacc5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #27","Confirm the structure is in accordance with the details supplied by PBI"
"d87513ea-fe1d-5666-8d1e-64f024e3b597","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #27","EMAIL PM"
"f1469b8e-5107-585f-b2f0-e439bfe010c9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #27","Photos taken of installed item"
"a1f39ea6-2989-5cc5-b068-e1a586bc48e5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #27","Installed as per PBI drawings supplied and manufacturer's requirements"
"e223fdcd-cbf7-4d5a-bd37-b27c8b45b342","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #28"
"102f7134-ba9a-5ab3-bf24-fe9018065b63","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #28","Confirm the structure is in accordance with the details supplied by PBI"
"091b1235-992c-5f9f-9697-767f43429edd","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #28","EMAIL PM"
"08651719-155f-59e8-85e5-0102ed0bbbed","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #28","Photos taken of installed item"
"4e83e4da-e6d9-58c9-983f-0aca5f1b438f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #28","Installed as per PBI drawings supplied and manufacturer's requirements"
"5c43b7ac-370f-44df-b0af-eea2bd7f574b","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #29"
"7cb9f387-9f52-5840-9d32-624006ce7827","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #29","Confirm the structure is in accordance with the details supplied by PBI"
"3a25712c-a27d-5879-88e1-4f8871fae757","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #29","EMAIL PM"
"42514a8f-0e00-5ce6-82f8-5a092cb73aed","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #29","Photos taken of installed item"
"c9de6219-9175-5ff4-80c1-e6a759b96f0a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #29","Installed as per PBI drawings supplied and manufacturer's requirements"
"5caf1f47-915c-4d64-abe2-74a3c609d47e","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #31"
"ad796273-1946-54eb-bdc7-532f27ae6b5d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #31","Confirm the structure is in accordance with the details supplied by PBI"
"17aa7b7d-2432-5267-ad00-f7489f584c11","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #31","EMAIL PM"
"bf17dc64-3b8c-580a-94c4-02a6976a23af","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #31","Photos taken of installed item"
"44e8db99-af98-51aa-8a20-53a84a236c12","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #31","Installed as per PBI drawings supplied and manufacturer's requirements"
"10560ae8-0ced-4b4d-b028-6334bebeda43","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #32"
"1a7890d6-2d11-5c44-b23e-62903be66792","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #32","Confirm the structure is in accordance with the details supplied by PBI"
"b4e50ec9-cb43-5c29-b6aa-2200d07cde12","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #32","EMAIL PM"
"68a7a575-cab4-581f-90a1-a9146cfa8d33","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #32","Photos taken of installed item"
"8a10d2ef-fdd9-52fd-bbbe-4de238ae38ab","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #32","Installed as per PBI drawings supplied and manufacturer's requirements"
"9346c53d-d523-478a-8677-2f3f87cd68ea","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #33"
"cf6fc678-4aa4-5a17-b915-7872a139d8d2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #33","Confirm the structure is in accordance with the details supplied by PBI"
"1cf3c34f-ecf1-5f98-b242-51594f7f3c10","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #33","EMAIL PM"
"ef4a9ab0-7ccf-53ca-a875-74fa36ab7fc4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #33","Photos taken of installed item"
"f3c5d351-89d5-5e08-b09a-8970f962b91a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #33","Installed as per PBI drawings supplied and manufacturer's requirements"
"1177c805-8608-42d2-b20a-d76e4f5d7b2f","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #34"
"545bc492-dc62-5fea-9298-6b8a2c322214","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #34","Confirm the structure is in accordance with the details supplied by PBI"
"f83c13af-23cd-5b0b-bb06-516c2b970fe1","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #34","EMAIL PM"
"6fd615c1-a55b-5a2f-a564-ae10cdec1004","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #34","Photos taken of installed item"
"6a1b4302-ed35-52e4-ac2d-7b0a7c85f67b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #34","Installed as per PBI drawings supplied and manufacturer's requirements"
"5f454570-3458-494c-9aa5-159a0964c58f","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist- Pair of Spanning Brackets #35"
"ca51322f-cac7-5cbc-a182-4c3702c0b56f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist- Pair of Spanning Brackets #35","Confirm the structure is in accordance with the details supplied by PBI"
"5bd99271-b9d2-5a0c-8beb-1956f334353e","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist- Pair of Spanning Brackets #35","EMAIL PM"
"9e816b08-c127-5ae4-b709-4ee832926269","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist- Pair of Spanning Brackets #35","Photos taken of installed item"
"c43d2305-cb8f-509e-87e6-e1bbc90372ba","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist- Pair of Spanning Brackets #35","Installed as per PBI drawings supplied and manufacturer's requirements"
"be2a6a3c-43b8-4297-a263-6b72adaccddb","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #36"
"58f4848a-d253-55b2-a9b6-c1a607ed9fcd","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #36","Confirm the structure is in accordance with the details supplied by PBI"
"bfcda4de-a586-5763-935d-80caccbfd4d4","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #36","EMAIL PM"
"fdaedcdd-5789-5dc9-bee4-35e35d8eec83","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #36","Photos taken of installed item"
"68329126-a945-5c56-92e6-618d665047ef","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #36","Installed as per PBI drawings supplied and manufacturer's requirements"
"d8cc55b8-aba7-44e1-abad-58552e1af914","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Block 02"
"3af5e6de-5b5d-4387-864e-aa87bdcde9b9","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Block 02","RoofSafe Rail System"
"75853b9f-54d4-41aa-9f30-59f6521dcf64","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Block 02","RoofSafe Rail System","Pre-Fit Off Checklist - Rail 02"
"565afbf5-8e9d-5f06-92ff-82cdc19ebf1a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Rail System","Pre-Fit Off Checklist - Rail 02","Confirm structure is in accordance to the details provided"
"642f648a-9c96-5a6a-b32a-daec0a9fa6c7","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Rail System","Pre-Fit Off Checklist - Rail 02","EMAIL PM"
"53f56ea0-e229-5ca5-ab76-d2b557ef84e1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Rail System","Pre-Fit Off Checklist - Rail 02","Plinths/ bases/post installed in accordance with details provided"
"1a6189c5-1c6a-5160-96eb-677c1d748865","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Rail System","Pre-Fit Off Checklist - Rail 02","Photos taken"
"7c662fb6-3fdf-47ee-be7d-73937b40c4b7","","checklist-flat","work-in-progress","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Block 02","RoofSafe Rail System","Rail Checklist - Rail 02"
"18af91b6-5fc2-58e0-b6d2-895fad919b1c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 02","RoofSafe Rail System","Rail Checklist - Rail 02","Confirm the structure is in accordance with the details supplied by PBI"
"bd6662d1-905c-5683-8549-7a80451c8072","","holdpoint","pass","","","TRUE","TRUE","QA","Block 02","RoofSafe Rail System","Rail Checklist - Rail 02","EMAIL PM"
"5003278e-2d2b-5eba-af35-95af249673a5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 02","RoofSafe Rail System","Rail Checklist - Rail 02","Photo taken of Engraved Line Plate / ID Tag"
"cd589c2a-91b5-5535-8e38-0e58d26a44e5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 02","RoofSafe Rail System","Rail Checklist - Rail 02","Video taken of system"
"529e242e-7e63-545b-8857-0889f7aaefdc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Rail System","Rail Checklist - Rail 02","Description input of location / person Rail systems shuttle left with"
"ea82eec9-866c-56d0-9075-f289bbf67d17","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 02","RoofSafe Rail System","Rail Checklist - Rail 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"1e3ad150-0fd7-436b-9018-f7f47bd705c9","","folder-normal","not-started","","step","TRUE","FALSE","QA","Block 02","RoofSafe Cable System"
"86bd00e9-3680-4bb9-924b-9cded3174e69","","folder-normal","not-started","","step","TRUE","FALSE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02"
"ada596dd-e0ae-4c4d-95a0-6ea3aced7766","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02"
"ff0d8f0e-281a-50f9-be03-ef452d49dbb2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02","Confirm structure is in accordance to the details provided"
"771333f5-46ef-56cc-bed0-46ad5c650f6e","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02","EMAIL PM"
"db96da75-522a-533c-8caf-9707ed12248b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02","Plinths/ bases/post installed in accordance with details provided"
"64866d7b-1e12-5af2-bfd5-a908e2b4dbe3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02","Photos taken"
"fb9fc6af-3713-48c1-ac38-61570dc3b726","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02","Fit Off Checklist - Line 02"
"b221b4be-101b-5316-9f76-84fdeb60f3ac","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Confirm the structure is in accordance with the details supplied by PBI"
"f71e13fb-358b-5271-93b1-2cd2d015d97a","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","EMAIL PM"
"44aeacf0-7898-5eda-ac5c-526ddf03a180","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Photo taken of line pull test - 4 photos required"
"06632c0d-fd04-553c-9bee-67d3ae8db29f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Photo taken of Swages - 12 photos required"
"426b9041-289c-5f38-a999-af4271c0ca6d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Photo taken of Engraved Line Plate / ID Tag"
"e9944d8a-eee5-5d76-b47f-380e971ccf63","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Video taken of system"
"16c0de9f-2e3d-5d37-a12c-16c9ea013f44","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"8a8bb110-ad02-47b7-88f3-e43050d8864f","","folder-normal","not-started","","step","TRUE","FALSE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03"
"ff22bc14-5b2b-4cf2-9267-8d8981a96256","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03","Pre-Fit Off Checklist - Line 03"
"bfb4044a-5912-5841-8dc2-ef093380366d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03","Pre-Fit Off Checklist - Line 03","Confirm structure is in accordance to the details provided"
"bc7c47b8-3169-5a34-b9c9-2686a91597a7","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03","Pre-Fit Off Checklist - Line 03","EMAIL PM"
"e2a94dd9-ffa5-513a-942f-08477942b9da","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03","Pre-Fit Off Checklist - Line 03","Plinths/ bases/post installed in accordance with details provided"
"6e354881-5aae-5e48-bb27-8cc054aac766","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03","Pre-Fit Off Checklist - Line 03","Photos taken"
"7d388dc1-b2a5-4fa8-9ffc-ecefba1ee007","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03","Fit Off Checklist - Line 03"
"abf272f1-2ecc-520e-9098-5f912c1f9ec1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Confirm the structure is in accordance with the details supplied by PBI"
"0154f8ed-98f4-5b75-9fd6-1a2173c58d24","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","EMAIL PM"
"eddacf30-1657-5a89-b2b1-a8b872d016fc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Photo taken of line pull test - 4 photos required"
"2fc613fa-d3bd-53cc-8034-cbee0526751b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Photo taken of Swages - 12 photos required"
"2783bd0b-4d11-5f5f-be09-54e22aece871","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Photo taken of Engraved Line Plate / ID Tag"
"8113ebbc-f574-50ac-8e4b-eb00d4922db3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Video taken of system"
"5c250b94-c005-5407-a71a-2edee522ee7b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"e38b3d31-f7c4-45bd-818f-261fe4f831c4","","folder-normal","not-started","","step","TRUE","FALSE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04"
"e1d8efef-9ff1-4534-9a71-98e0565d4d93","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04","Pre-Fit Off Checklist - Line 04"
"1d7c3479-f1eb-5e18-8979-ded93c522b9a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04","Pre-Fit Off Checklist - Line 04","Confirm structure is in accordance to the details provided"
"6c608eef-3dd8-5159-b479-a2eccc0e256c","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04","Pre-Fit Off Checklist - Line 04","EMAIL PM"
"866e0dee-00db-5880-8385-f3ae7d23e85c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04","Pre-Fit Off Checklist - Line 04","Plinths/ bases/post installed in accordance with details provided"
"d311477c-1d1b-5b41-bd11-7da3217e6e7e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04","Pre-Fit Off Checklist - Line 04","Photos taken"
"6041b034-53d7-497b-bd55-ed9afddf007f","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04","Fit Off Checklist - Line 04"
"c8d8862d-18a5-5ec2-9501-673c162a1662","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Confirm the structure is in accordance with the details supplied by PBI"
"90fec2fc-7983-57b1-8592-489ad98ec0c6","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","EMAIL PM"
"eeb5bcca-e1f0-5a09-b899-4627e3775990","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Photo taken of line pull test - 4 photos required"
"b63f76b7-9ea9-5889-8c53-bbd17690b02b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Photo taken of Swages - 12 photos required"
"00b3d51e-6541-5844-a88f-c12a82725944","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Photo taken of Engraved Line Plate / ID Tag"
"35630fa0-a305-5c82-b5b6-2d116c6ae71e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Video taken of system"
"33ddf53c-7332-54e2-b806-56f65e506ff8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","RoofSafe Cable System","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"4471286f-50fd-4a6e-9c85-7d96e69c52de","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Block 02","Fall Arrest & Abseil Anchors (Type 01)"
"ee0a1510-fac3-4ea0-af25-15351504456c","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Block 02","Fall Arrest & Abseil Anchors (Type 01)","Pre-Fit Off Checklist - Anchors 13 - 20"
"b71e90aa-646f-5fb5-b791-85a514f391a0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","Fall Arrest & Abseil Anchors (Type 01)","Pre-Fit Off Checklist - Anchors 13 - 20","Confirm structure is in accordance to the details provided"
"eee757c1-d5a4-55f5-add1-c113db8a95d3","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 02","Fall Arrest & Abseil Anchors (Type 01)","Pre-Fit Off Checklist - Anchors 13 - 20","EMAIL PM"
"d157a8fb-18a7-5097-a977-040fcda9c9bd","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","Fall Arrest & Abseil Anchors (Type 01)","Pre-Fit Off Checklist - Anchors 13 - 20","Plinths/ bases/post installed in accordance with details provided"
"52fe18cf-5067-5b31-8f1a-15755c4407e4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 02","Fall Arrest & Abseil Anchors (Type 01)","Pre-Fit Off Checklist - Anchors 13 - 20","Photos taken"
"458b4e83-0216-47e6-87ae-7d9b6d7940f0","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 02","Fall Arrest & Abseil Anchors (Type 01)","Fit Off Checklist - Anchor 13"
"825bb15f-6382-5a28-bb2f-19236a5a8c27","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 02","Fall Arrest & Abseil Anchors (Type 01)","Fit Off Checklist - Anchor 13","Confirm the structure is in accordance with the details supplied by PBI"
"51ed9f89-753d-5b98-ba95-375ac8ed285f","","holdpoint","pass","","","TRUE","TRUE","QA","Block 02","Fall Arrest & Abseil Anchors (Type 01)","Fit Off Checklist - Anchor 13","EMAIL PM"
"b6f5e522-7c60-516e-a445-89020819f7af","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 02","Fall Arrest & Abseil Anchors (Type 01)","Fit Off Checklist - Anchor 13","Required number of photo(s) taken of installed anchor(s)"
"56f018be-2b38-51f5-8a84-076cff26e992","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 02","Fall Arrest & Abseil Anchors (Type 01)","Fit Off Checklist - Anchor 13","Installed as per PBI drawings supplied and manufacturer's requirements"
"551691bc-b886-4fd6-b704-01ad145224dd","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Block 02","Fall Arrest & Abseil Anchors (Type 01)","Fit Off Checklist - Anchor 14"
