resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,,,,,,,,,,,,OUT202,,Oxygen Outlet ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B7a Functional Test of Terminal Units, HTM 02-01 B8 Design Flow Performance Test HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications HTM 02-01 - Functional Test of NIST connectors, HTM 02 01 B15 "
,,,,,,,,,,,,OUT502,,Medical Vacuum Outlet,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B7a Functional Test of Terminal Units, HTM 02-01 B8 Design Flow Performance Test HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications HTM 02-01 - Functional Test of NIST connectors, HTM 02 01 B15 "
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLD028,Consult ,FD,Fire Damper 1400x450,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,FD,Fire Damper 1500x600,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLD029,Consult ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,SD,Smoke Damper 400x300,Smoke Damper ,Smoke Damper QA Checklist ,,
,,,,,,,,,,,,FD,Fire Damper 400x300,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLD030,Consult ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-CLD-AHU002-VAV-019,Holyoake HCV-175,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ceiling ,,,,Ducting ,Steel Duct Install QA Checklist ,,
,,,,,,,,,,,,,,Flexiduct,Flexi Duct QA  Cecklist ,,
,,,,,,,,,,,,,,Low Temperature Hot Water Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Chilled Water Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Drain Condensate PVC,PVC Pipework Install,,
,,,,,,,,,,,,,,Motorised Valve Low Temperature Hot Water,part of Pipework QA,,
,,,,,,,,,,,,AGS,,Anestetic Gas Scavenging Copper,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,VAC,,Medical Vacuum Copper,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,O2,,Oxygen Coppper,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,,,,,,
,,,,,,,,Zone 4 ,,02PBO001,Toilet - Accesible ,E02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-MEP5-AHU004-FCU-002,Temperzone IMD280Y,FCU 30 L/S OA,FCU Install QA Checklist ,FCU Template ,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02PBO003,Toilet - Public,E01,Holyoake EC-125 200x200,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,SD,Fire Damper 300x250,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,FD,Fire Damper 300x250,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02PBO002,Toilet - Public ,E01,Holyoake EC-125 200x200,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02ENG024,Communications ,112-2A-MEP5-ACU-005,PKFY-P100VKM-E 1840x1858x740,Mitsubishi Electric Wall mounted Indoor unit . ,,DX AC Unit Install ,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02TRA047,Corridor ,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLD006,Reception/Clerical,S25,Holyoake CFPP-R 615-30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,FD,Fire Damper 400x300,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,SD,Smoke Damper 400x300,Smoke Damper ,Smoke Damper QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLD058,Waiting - Sub,R05,Holyoake EC-125 450x450,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,SD,Smoke Damper 500x600,Smoke Damper ,Smoke Damper QA Checklist ,,
,,,,,,,,,,,,FD,Fire Damper 500x600,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,112-2A-MEP5-AHU004-FCU-003,Temperzone IMD210Y,175 L/S OA,FCU Install QA Checklist ,FCU Template ,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ceiling ,,,,Ducting ,Steel Duct Install QA Checklist ,,
,,,,,,,,,,,,,,Flexiduct,Flexi Duct QA  Cecklist ,,
,,,,,,,,,,,,,,Low Temerature Hot Water Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Chilled Water Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Drain Condensate PVC,PVC Pipework Install,,
,,,,,,,,,,,,,,Motorised Valve Chilled Water,part of Pipework QA ,,
,,,,,,,,,,,,,,Motorised valve Low Temperature Hot Water ,part of Pipework QA ,,
,,,,,,,,,,,,MA,,Medical Air Copper ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,AGS,,Anesthetic Gas Scavenging Copper,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,VAC,,Medical Vacuum Copper,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,O2,,Oxygen Copper ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,CA,,Non Patient Compressed Air Copper ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,,,,,Grilles & Diffusers QA Checklist,
,,,,,,,,Zone 5 ,,  02CLE018,Consult/Treatment,S05,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,,
,,,,,,,,,,,  ,112-2A-CLE-AHU009-VAV-024,Holyoake HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,OUT202,,Oxygen Outlet ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B7a Functional Test of Terminal Units, HTM 02-01 B8 Design Flow Performance Test HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications HTM 02-01 - Functional Test of NIST connectors, HTM 02 01 B15 "
,,,,,,,,,,,,OUT502,,Medical Vacuum Outlet ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B7a Functional Test of Terminal Units, HTM 02-01 B8 Design Flow Performance Test HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications HTM 02-01 - Functional Test of NIST connectors, HTM 02 01 B15 "
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE017,Consult ,S05,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-CLE-AHU009-VAV-025,Holyoake HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE015,Waiting 20m2,S06,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE020,Toilet - Staff,E01,Holyoake EC-125 200x200,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE059,Corridor ,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-CLE-AHU009-VAV-026,Holyoake HCV-175,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T07,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T07,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,01CLE014,Consult ,S05,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE013,Consult,S05,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-CLE-AHU009-VAV-027,Holyoake HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,112-2A-CLE-AHU009-VAV-028,Holyoake HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE050,Ophthalmology Testing/Treatment ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-CLE-AHU009-VAV-036,Holyoake  HCV-175,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE051,Medication,R06,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S07,Holyoake CFPP 450/24 600x600,Supply Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE046,Ophthamology Testing/Treatment ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE045,Ophthamology Testing/Treatment ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE044,Ophthamology Testing/Treatment ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-CLE-AHU009-VAV-035,Holyoake HCV-175,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE043,Ophthamology Testing/Treatment ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE042,Ophthamology Testing/Treatment ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE053,Store - Equipment ,E02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE055,Staff Base ,S26,Holyoake CFPP-R 615/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-CLE-AHU009-VAV-040,Holyoake HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE041,Vision Alley ,R02,Holyoake EC-125 300x300,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE040,Vision Alley ,R02,Holyoake EC-125 300x300,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE039,Vision Alley ,R02,Holyoake EC-125 300x300,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE031,Consult ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-CLE-AHU009-VAV-034,Holyoake HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,FD,Fire Damper Ø350,Fire Damper ,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE030,Consult,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-CLE-AHU009-VAV-033,Holyoake HCV-200,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE029,Consult ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,FD,Fire Damper 300x300,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,SD,Smoke Damper 300x300,Smoke Damper ,Smoke Damper QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE028,Consult ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,FD,Fire Damper 350x300,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,SD,Smoke Damper 350x300,Smoke Damper ,Smoke Damper QA Checklist ,,
,,,,,,,,,,,,FD,Fire Damper 650x650,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE026,Office - Clinical Workroom,S06,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-AHU009-ATT-032,NCS Cylindrical Attenuator HP-2D-M 615x300Ø,170 L/s Attenuator ,Attenuator QA Checklist ,,
,,,,,,,,,,,,FD,Fire Damper 800x800,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE022,Staff Base,S26,Holyoake CFPP-R 615/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-CLE-AHU009-VAV-031,Holyoake HCV-175,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE021,Toilet - Public ,E01,Holyoake EC-125 200x200,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-CLE-AHU009-VAV-032,Holyoake HCV-175,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLS001,Store - Consumables ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,SD,Smoke Damper 550x300,Smoke Damper ,Smoke Damper QA Checklist ,,
,,,,,,,,,,,,FD,Fire Damper 550x300,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,FD,Fire Damper Ø350,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLD010,Consult ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLD009,Consult,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-CLD-AHU002-VAV-020,Holyoake HCV-175,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ceiling ,,,,Ducting ,Steel Duct Install QA Checklist ,,
,,,,,,,,,,,,,,Flexiduct,Flexi Duct QA  Cecklist ,,
,,,,,,,,,,,,,,Low Temperature Hot Water Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Chilled Water Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Motorised valve Low Temperature Hot Water (x4),part of Pipework QA ,,
,,,,,,,,,,,,VAC,,Medical Vacuum Copper,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,O2,,Oxygen Copper,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,DVAC,,Dental Vacuum PET/PVC,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,,,,,,
,,,,,,,,Zone 6,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLD008,Meeting 12m2 ,S06,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,FD,Fire Damper Ø250,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,FD,Fire Damper Ø250,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,112-2A-CLD-AHU002-VAV-021,Holyoake HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLD032,Consult ,S05,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,SD,Smoke Damper Ø200,Smoke Damper,Smoke Damper QA Checklist ,,
,,,,,,,,,,,,FD,Fire Damper Ø200,Fire Damper,Fire Damper QA Checklist,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE033,Meeting 12m2,S05,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02TRA003,Corridor - Public,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,SD,Smoke Damper 600x350,Smoke Damper ,Smoke Damper QA Checklist ,,
,,,,,,,,,,,,FD,Fire Damper 600x350,Fire Damper ,Fire Damper QA Checklist,,
,,,,,,,,,,,,112-2A-WCO-AHU025-VAV-049,Holyoake  HCV-175,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE037,Reception - Clerical ,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S25,Holyoake CFPP-R 615-30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2B-CLE-AVSU-02,Beacon Meades or Equal and Approved ,Area Valve Service Unit ,HTM02 -01 B1 carcus test HTM02-01 B5a Area Valve Service Unit - Closure and Zoning test ,"HTM02-01 B3_4 Leakage Test, HTM02-01 B2 Contractors Cross Conection ","HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE061,Waiting 30m2,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-WCO-AHU025-VAV-048,Holyoake HCV-125,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE036,Waiting 10m2,S06,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S07,Holyoake CFPP 450/24 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-2A-WCO-AHU025-VAV-047,Holyoake HCV-250,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,E08,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02WCO024,Parenting ,E01,Holyoake EC-125 200x200,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,02CLE056,Toilet - Public,E01,Holyoake EC-125 200x200,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
