Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,
,,Ground - Stage 2 - GCS - WIFI - OUTSIDE G.32 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 2,GCS,WIFI,OUTSIDE G.32 - WIFI,
,,Ground - Stage 3 - PERS - Common areas - Lounge G.49.1 A,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,PERS,Common areas,Lounge G.49.1 A,
,,Ground - Stage 3 - PERS - Common areas - Lounge G.49.1 B,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,PERS,Common areas,Lounge G.49.1 B,
,,Ground - Stage 3 - PERS - Common areas - Dining G.49 A,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,PERS,Common areas,Dining G.49 A,
,,Ground - Stage 3 - PERS - Common areas - Dining G.49 B,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,PERS,Common areas,Dining G.49 B,
,,Ground - Stage 3 - PERS - Common areas - Strair G.55,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,PERS,Common areas,Strair G.55,
,,Ground - Stage 3 - PERS - Rooms - Room G.41,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,PERS,Rooms,Room G.41,
,,Ground - Stage 3 - PERS - Rooms - Room G.42,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,PERS,Rooms,Room G.42,
,,Ground - Stage 3 - PERS - Rooms - Room G.43,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,PERS,Rooms,Room G.43,
,,Ground - Stage 3 - PERS - Rooms - Room G.44,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,PERS,Rooms,Room G.44,
,,Ground - Stage 3 - PERS - Rooms - Room G.45,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,PERS,Rooms,Room G.45,
,,Ground - Stage 3 - PERS - Rooms - Room G.47,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,PERS,Rooms,Room G.47,
,,Ground - Stage 3 - PERS - Rooms - Room G.48,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,PERS,Rooms,Room G.48,
,,Ground - Stage 3 - PERS - Displays - Display 4 SF,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,PERS,Displays,Display 4 SF,
,,Ground - Stage 3 - GCS - Common Area Data - MSR G.38 - 2 Data,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,GCS,Common Area Data,MSR G.38 - 2 Data,
,,Ground - Stage 3 - GCS - Common Area Data - Lounge G.49.1 - 2 Data,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,GCS,Common Area Data,Lounge G.49.1 - 2 Data,
,,Ground - Stage 3 - GCS - Common Area Data - CM Kitchen G.51 - 6 Data,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,GCS,Common Area Data,CM Kitchen G.51 - 6 Data,
,,Ground - Stage 3 - GCS - WIFI - Outside G.41 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,GCS,WIFI,Outside G.41 - WIFI,
,,Ground - Stage 3 - GCS - WIFI - CIRC G.46 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,GCS,WIFI,CIRC G.46 - WIFI,
,,Ground - Stage 3 - GCS - WIFI - CIRC G.50 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,GCS,WIFI,CIRC G.50 - WIFI,
,,Ground - Stage 3 - GCS - WIFI - CIRC G.57 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,GCS,WIFI,CIRC G.57 - WIFI,
,,Ground - Stage 3 - ESS - Doors - MSR G.38 Single Door Mortise,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,ESS,Doors,MSR G.38 Single Door Mortise,
,,Ground - Stage 3 - ESS - Doors - CM Kitchen G.51 Double Door,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,ESS,Doors,CM Kitchen G.51 Double Door,
,,Ground - Stage 3 - ESS - Doors - Stair G.55 Double Door with Door Reed,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,ESS,Doors,Stair G.55 Double Door with Door Reed,
,,Ground - Stage 3 - ESS - Doors - Sluice G.58 Single Door,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,ESS,Doors,Sluice G.58 Single Door,
,,Ground - Stage 3 - ESS - Cameras - C-G05,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,ESS,Cameras,C-G05,
,,Ground - Stage 3 - ESS - Cameras - C-G06,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,ESS,Cameras,C-G06,
,,Ground - Stage 3 - ESS - Cameras - C-G07,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,ESS,Cameras,C-G07,
,,Ground - Stage 3 - MATV - Common Area - Lounge G.49.1 - 1 TV,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 3,MATV,Common Area,Lounge G.49.1 - 1 TV,
,,Ground - Stage 4 - PERS - Common areas - Memory Pod G.90 A,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Common areas,Memory Pod G.90 A,
,,Ground - Stage 4 - PERS - Common areas - Memory Pod G.90 B,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Common areas,Memory Pod G.90 B,
,,Ground - Stage 4 - PERS - Common areas - WC G.92,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Common areas,WC G.92,
,,Ground - Stage 4 - PERS - Common areas - Stairs G.83,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Common areas,Stairs G.83,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.65,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.65,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.66,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.66,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.67,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.67,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.73,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.73,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.74,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.74,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.75,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.75,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.76,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.76,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.77,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.77,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.78,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.78,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.79,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.79,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.80,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.80,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.82,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.82,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.87,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.87,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.88,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.88,
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.89,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.89,
,,Ground - Stage 4 - PERS - Displays - Display 4 CIRC G.81 DF,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Displays,Display 4 CIRC G.81 DF,
,,Ground - Stage 4 - PERS - Displays - Display 4 CIRC G.62 DF,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,PERS,Displays,Display 4 CIRC G.62 DF,
,,Ground - Stage 4 - GCS - Common Area Data - QUIET G.64 - 2 Data,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,GCS,Common Area Data,QUIET G.64 - 2 Data,
,,Ground - Stage 4 - GCS - Common Area Data - Drug G.69 - 2 Data,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,GCS,Common Area Data,Drug G.69 - 2 Data,
,,Ground - Stage 4 - GCS - Common Area Data - Wind Lobby Intercom G.60,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,GCS,Common Area Data,Wind Lobby Intercom G.60,
,,Ground - Stage 4 - GCS - WIFI - CIRC G.62 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,GCS,WIFI,CIRC G.62 - WIFI,
,,Ground - Stage 4 - GCS - WIFI - CIRC G.63 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,GCS,WIFI,CIRC G.63 - WIFI,
,,Ground - Stage 4 - GCS - WIFI - OUTSIDE MEMORY G.76 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,GCS,WIFI,OUTSIDE MEMORY G.76 - WIFI,
,,Ground - Stage 4 - GCS - WIFI - OUTSIDE MEMORY G.80 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,GCS,WIFI,OUTSIDE MEMORY G.80 - WIFI,
,,Ground - Stage 4 - GCS - WIFI - OUTSIDE MEMORY G.87 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,GCS,WIFI,OUTSIDE MEMORY G.87 - WIFI,
,,Ground - Stage 4 - GCS - WIFI - OUTSIDE MEMORY G.89 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,GCS,WIFI,OUTSIDE MEMORY G.89 - WIFI,
,,Ground - Stage 4 - GCS - WIFI - MEMORY POD G.90 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,GCS,WIFI,MEMORY POD G.90 - WIFI,
,,Ground - Stage 4 - GCS - Service areas - Services (Riser),,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,GCS,Service areas,Services (Riser),
,,Ground - Stage 4 - ESS - Doors - Wind Lobby G.60 Slidding Door,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,ESS,Doors,Wind Lobby G.60 Slidding Door,
,,Ground - Stage 4 - ESS - Doors - Waiting G.61 Double Door,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,ESS,Doors,Waiting G.61 Double Door,
,,Ground - Stage 4 - ESS - Doors - Drug G.69 Single Door Mortise,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,ESS,Doors,Drug G.69 Single Door Mortise,
,,Ground - Stage 4 - ESS - Doors - CIRC G.62 Double Door,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,ESS,Doors,CIRC G.62 Double Door,
,,Ground - Stage 4 - ESS - Doors - Memory Pod G.90 Double Door,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,ESS,Doors,Memory Pod G.90 Double Door,
,,Ground - Stage 4 - ESS - Doors - Dly Con 2 G.84 Single Door,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,ESS,Doors,Dly Con 2 G.84 Single Door,
,,Ground - Stage 4 - ESS - Doors - Stair Memory Door,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,ESS,Doors,Stair Memory Door,
,,Ground - Stage 4 - ESS - Cameras - C-G08,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,ESS,Cameras,C-G08,
,,Ground - Stage 4 - ESS - Cameras - C-G09,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,ESS,Cameras,C-G09,
,,Ground - Stage 4 - ESS - Cameras - C-G10,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,ESS,Cameras,C-G10,
,,Ground - Stage 4 - ESS - Cameras - C-G11,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,ESS,Cameras,C-G11,
,,Ground - Stage 4 - ESS - Cameras - C-G12,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,ESS,Cameras,C-G12,
,,Ground - Stage 4 - MATV - Common Area - Quiet G.64 - 1 TV,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,MATV,Common Area,Quiet G.64 - 1 TV,
,,Ground - Stage 4 - MATV - Common Area - Memory Pod G.90 - 1 TV,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 4,MATV,Common Area,Memory Pod G.90 - 1 TV,
,,Level 1 - Stage 1 - PERS - Common areas - Lift Lobby Hallway,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,PERS,Common areas,Lift Lobby Hallway,
,,Level 1 - Stage 1 - PERS - Common areas - Library 1.56,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,PERS,Common areas,Library 1.56,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.01,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,PERS,Rooms,Room 1.01,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.02,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,PERS,Rooms,Room 1.02,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.03,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,PERS,Rooms,Room 1.03,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.11,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,PERS,Rooms,Room 1.11,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.12,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,PERS,Rooms,Room 1.12,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.13,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,PERS,Rooms,Room 1.13,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.14,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,PERS,Rooms,Room 1.14,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.15,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,PERS,Rooms,Room 1.15,
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.16,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,PERS,Rooms,Room 1.16,
,,Level 1 - Stage 1 - PERS - Displays - Display 7 CIRC 1.04 SF,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,PERS,Displays,Display 7 CIRC 1.04 SF,
,,Level 1 - Stage 1 - PERS - Displays - Display 8 CIRC 1.10 DF,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,PERS,Displays,Display 8 CIRC 1.10 DF,
,,Level 1 - Stage 1 - GCS - Common Area Data - Staff Room 1.17 - 1 Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,GCS,Common Area Data,Staff Room 1.17 - 1 Data,
,,Level 1 - Stage 1 - GCS - Common Area Data - MDR 1.20 - 6 Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,GCS,Common Area Data,MDR 1.20 - 6 Data,
,,Level 1 - Stage 1 - GCS - Common Area Data - Nurse Station 1.19 - 6 Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,GCS,Common Area Data,Nurse Station 1.19 - 6 Data,
,,Level 1 - Stage 1 - GCS - Common Area Data - Electrical Board - 4 Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,GCS,Common Area Data,Electrical Board - 4 Data,
,,Level 1 - Stage 1 - GCS - Common Area Data - DB CBD 1.08 - 2 Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,GCS,Common Area Data,DB CBD 1.08 - 2 Data,
,,Level 1 - Stage 1 - GCS - Common Area Data - Lift 1.05 - 1 Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,GCS,Common Area Data,Lift 1.05 - 1 Data,
,,Level 1 - Stage 1 - GCS - WIFI - OUTSIDE ROOM 1.03 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,GCS,WIFI,OUTSIDE ROOM 1.03 - WIFI,
,,Level 1 - Stage 1 - GCS - WIFI - OUTSIDE ROOM 1.12 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,GCS,WIFI,OUTSIDE ROOM 1.12 - WIFI,
,,Level 1 - Stage 1 - GCS - WIFI - OUTSIDE ROOM 1.15 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,GCS,WIFI,OUTSIDE ROOM 1.15 - WIFI,
,,Level 1 - Stage 1 - GCS - Service areas - Services (Riser),,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 1,GCS,Service areas,Services (Riser),
,,Level 1 - Stage 2 - PERS - Common areas - Dinning 1.26,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 2,PERS,Common areas,Dinning 1.26,
,,Level 1 - Stage 2 - PERS - Rooms - Room 1.30,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 2,PERS,Rooms,Room 1.30,
,,Level 1 - Stage 2 - PERS - Rooms - Room 1.31,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 2,PERS,Rooms,Room 1.31,
,,Level 1 - Stage 2 - PERS - Displays - Display 9 CIRC 1.29 DF,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 2,PERS,Displays,Display 9 CIRC 1.29 DF,
,,Level 1 - Stage 2 - GCS - Common Area Data - Kitchen 1.28 - Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 2,GCS,Common Area Data,Kitchen 1.28 - Data,
,,Level 1 - Stage 2 - GCS - WIFI - CIRC 1.29 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 2,GCS,WIFI,CIRC 1.29 - WIFI,
,,Level 1 - Stage 2 - GCS - WIFI - CIRC 1.25 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 2,GCS,WIFI,CIRC 1.25 - WIFI,
,,Level 1 - Stage 3 - PERS - Common areas - Lift Lobby Hallway CIRC 1.44,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,PERS,Common areas,Lift Lobby Hallway CIRC 1.44,
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.34,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,PERS,Rooms,Room 1.34,
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.35,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,PERS,Rooms,Room 1.35,
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.36,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,PERS,Rooms,Room 1.36,
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.37,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,PERS,Rooms,Room 1.37,
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.38,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,PERS,Rooms,Room 1.38,
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.39,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,PERS,Rooms,Room 1.39,
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.40,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,PERS,Rooms,Room 1.40,
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.41,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,PERS,Rooms,Room 1.41,
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.42,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,PERS,Rooms,Room 1.42,
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.43,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,PERS,Rooms,Room 1.43,
,,Level 1 - Stage 3 - PERS - Displays - Display 10 CIRC 1.37 DF,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,PERS,Displays,Display 10 CIRC 1.37 DF,
,,Level 1 - Stage 3 - GCS - Common Area Data - DB CBD 1.33 - 2 Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,GCS,Common Area Data,DB CBD 1.33 - 2 Data,
,,Level 1 - Stage 3 - GCS - Common Area Data - MSB 1.49 - 6 Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,GCS,Common Area Data,MSB 1.49 - 6 Data,
,,Level 1 - Stage 3 - GCS - Common Area Data - Lift 1.52 - 1 Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,GCS,Common Area Data,Lift 1.52 - 1 Data,
,,Level 1 - Stage 3 - GCS - Common Area Data - MSR 1.50 - 2 Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,GCS,Common Area Data,MSR 1.50 - 2 Data,
,,Level 1 - Stage 3 - GCS - WIFI - OUTSIDE ROOM 1.35 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,GCS,WIFI,OUTSIDE ROOM 1.35 - WIFI,
,,Level 1 - Stage 3 - GCS - WIFI - OUTSIDE ROOM 1.41 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,GCS,WIFI,OUTSIDE ROOM 1.41 - WIFI,
,,Level 1 - Stage 3 - GCS - WIFI - CIRC 1.44 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,GCS,WIFI,CIRC 1.44 - WIFI,
,,Level 1 - Stage 3 - GCS - WIFI - CIRC 1.55 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,GCS,WIFI,CIRC 1.55 - WIFI,
,,Level 1 - Stage 3 - GCS - Comms Room - Services (Riser),,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,GCS,Comms Room,Services (Riser),
,,Level 1 - Stage 3 - ESS - Doors - Data Room 1.48 Double Door,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,ESS,Doors,Data Room 1.48 Double Door,
,,Level 1 - Stage 3 - ESS - Doors - MSR 1.50 Single Door Mortise,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,ESS,Doors,MSR 1.50 Single Door Mortise,
,,Level 1 - Stage 3 - ESS - Cameras - C-101,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,ESS,Cameras,C-101,
,,Level 1 - Stage 3 - ESS - Cameras - C-102,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,ESS,Cameras,C-102,
,,Level 1 - Stage 3 - ESS - Cameras - C-103,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,ESS,Cameras,C-103,
,,Level 1 - Stage 3 - ESS - Cameras - C-104,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 3,ESS,Cameras,C-104,
,,Level 1 - Stage 4 - PERS - Common areas - Flexi 1.58,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Common areas,Flexi 1.58,
,,Level 1 - Stage 4 - PERS - Common areas - Stair 1.74,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Common areas,Stair 1.74,
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.62,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Rooms,Room 1.62,
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.63,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Rooms,Room 1.63,
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.66,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Rooms,Room 1.66,
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.67,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Rooms,Room 1.67,
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.68,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Rooms,Room 1.68,
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.69,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Rooms,Room 1.69,
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.71,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Rooms,Room 1.71,
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.72,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Rooms,Room 1.72,
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.73,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Rooms,Room 1.73,
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.78,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Rooms,Room 1.78,
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.79,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Rooms,Room 1.79,
,,Level 1 - Stage 4 - PERS - Displays - Display 11 CIRC 1.70 DF,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Displays,Display 11 CIRC 1.70 DF,
,,Level 1 - Stage 4 - PERS - Displays - Display 12 CIRC 1.60 DF,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,PERS,Displays,Display 12 CIRC 1.60 DF,
,,Level 1 - Stage 4 - GCS - Common Area Data - DLY CON 4 1.64 - 4 Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,GCS,Common Area Data,DLY CON 4 1.64 - 4 Data,
,,Level 1 - Stage 4 - GCS - Common Area Data - DB CBD 1.77 - 2 Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,GCS,Common Area Data,DB CBD 1.77 - 2 Data,
,,Level 1 - Stage 4 - GCS - Common Area Data - Flex Room 1.58 - 2 Data,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,GCS,Common Area Data,Flex Room 1.58 - 2 Data,
,,Level 1 - Stage 4 - GCS - WIFI - OUTSIDE ROOM 1.73 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,GCS,WIFI,OUTSIDE ROOM 1.73 - WIFI,
,,Level 1 - Stage 4 - GCS - WIFI - OUTSIDE ROOM 1.68 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,GCS,WIFI,OUTSIDE ROOM 1.68 - WIFI,
,,Level 1 - Stage 4 - GCS - WIFI - CIRC 1.60 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,GCS,WIFI,CIRC 1.60 - WIFI,
,,Level 1 - Stage 4 - ESS - Cameras - C-103,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,ESS,Cameras,C-103,
,,Level 1 - Stage 4 - ESS - Cameras - C-104,,Site QA,Pohutukawa Care Building,First Fix,Level 1,Stage 4,ESS,Cameras,C-104,
,Columns,,,,,,,,,,,
