"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b1b44885-769a-474b-9770-80ca3df582f0","","checklist-flat","no-status-started","9be491f1c30e7d5d091f86202fdb952c95979007c64799c168f88db500017a73","checklist-flat","FALSE","FALSE","Job Details"
"4f8771e0-804e-41ba-b293-d904103a490f","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Job Details","Site Info"
"3e97ff3c-f707-4552-ab1a-631ef5ea69af","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Job Details","Latest Drawings"
"581cf87e-7bfe-43df-962c-49b117b7734a","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Job Details","Architectural Drawings"
"c8b83231-8036-4b3c-b65a-dd4c41c5a454","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Job Details","Plans"
"1a0b026e-50e5-4956-ac12-2f2d3a611e91","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Job Details","Additional Pre Start Docs"
"28301cf4-67dc-4131-a3f4-55957d5707c1","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Job Details","Order Numbers"
"477a3bd5-cf78-427e-a0e0-925651726787","","folder-normal","fail","","step","FALSE","FALSE","Health & Safety"
"724782fb-282b-455c-8908-042726ef4b5d","","checklist-flat","no-status-started","df00e11d689b0cd5fdda29373d1dc053d0812dccb7e91a591d365a6a64c0011e","checklist-flat","FALSE","FALSE","Health & Safety","Prestart H&S Documents"
"09231a51-320a-406a-840d-cd55d011715e","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Health & Safety","Prestart H&S Documents","All  Pre-start H&S Documentation Completed, Reviewed & Attached"
"1a7aebf2-defb-43c1-9b17-0b72a0dcbf86","","folder-normal","fail","","step","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety"
"5304286b-e2f4-4b6b-b123-a20b485e59b4","","folder-normal","work-in-progress","","step","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks"
"d1808901-f9e9-4165-abfa-301b58e9c7ae","","checklist-sectioned","work-in-progress","H&S - Toolbox Talk","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Checklist"
"e5fde7ad-a78f-5dcf-bd57-ca960d7e3517","","checkpoint-group","not-started","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Checklist","Details "
"e42bc3c8-e786-5b81-99bd-9301ca3a80b3","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Chemicals","Safety Data Sheet (SDS) available"
"63202979-f1be-537a-b6be-d4aa7036d478","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Chemicals","Operators using PPE"
"efabdd8f-b0bf-5859-9f37-513b56fb75de","","checkpoint-group","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Tools"
"9d109544-4a08-5e8a-8f63-773e4c9677f8","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Tools","PAT tool WoF current and secure"
"79bbacb7-6966-544c-92a7-790d4a1361b4","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Tools","Staff trained in tool use (SWPS)"
"54aeaf82-b79f-58c0-890f-6e89d3851b76","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Tools","PAT signage on site"
"295d4989-9d89-5b9a-a4ab-d2fac1bc607d","","checkpoint-group","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Scaffolding"
"caca890d-5b96-5c36-8181-36cd79b65787","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Scaffolding","Notifiable weekly Scaftag/current"
"156608d1-270e-5446-b3b9-18b8ab11d5c0","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Scaffolding","Handrails/mid-rails"
"ce8100e4-1c43-57e2-8a98-a9e6f46b278f","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Scaffolding","Toe boards"
"de8e3c9d-3ad6-5364-b79d-090e4b3e5e1f","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Scaffolding","Platforms"
"2585dbc3-53d0-53ff-ba10-fad2ed3ff944","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Scaffolding","Ladders/stairs"
"1c6bbb65-02f9-5515-a584-3ed347849dde","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Scaffolding","Base sound"
"7e9f2638-d91c-5e09-9003-06da9de178ee","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Scaffolding","Work platforms clear"
"15a91194-ccd6-560d-ae31-d6ce13a47f2e","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Scaffolding","Platforms trip free"
"3f5bd555-5880-550a-ab4e-d3286528be3a","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Scaffolding","Planks tied down"
"e9bd727f-efa2-5b26-be8e-538571e84298","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Scaffolding","Headroom clear"
"6373187a-4ffa-542b-9e73-d3b614b7a727","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Scaffolding","Ties/bracing adequate"
"5b9a40f3-e885-5fa6-ae71-725af615044b","","checkpoint-group","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Ladders"
"48b9de01-f42d-5b62-8168-beb1d74647d7","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Ladders","Good condition"
"ab9006be-fd42-5487-85e6-0708325d4689","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Ladders","Secured top and bottom"
"d58e9bcc-9f6e-54b3-a802-18457805ddcf","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Ladders","Stays to step ladders"
"756e7ccf-3132-5d68-be0a-9824e8007e7b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Ladders","Working 2 steps down"
"197344b1-5370-5250-bb27-d0c440e3e798","","checkpoint-group","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Fall Hazards"
"a3369898-38b9-5ecd-b9d8-7e64b40da42d","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Fall Hazards","Fall Hazards"
"5c016c62-cb35-53c5-b053-0d7032be8af3","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Fall Hazards","Floor openings"
"721b9936-2f98-5c08-991e-cc8ccc6d05aa","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Fall Hazards","Lift shafts"
"be674334-e168-5589-a6b2-5f37c57a0edc","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 28.07.22","Fall Hazards","Stairs"
"ce0468ba-43b4-409c-8961-13880d21d7da","","checklist-sectioned","work-in-progress","e6d8916ea61761b85d4594243b10143178fdb72d59cf84f5d6e73d1ff7725deb","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22"
"1287b339-470e-5f59-9125-2b965d988f08","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Details"
"0b3abc5f-a16e-5d61-ab83-5ec317c3b1da","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Details","Details Complete"
"2422bd86-3ab8-572f-b873-73e00c8defa9","","checkpoint-group","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Site Control"
"65e24b4e-f34f-5fd9-87d8-723eafdb19bb","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Site Control","Hazard Board and signage up-to-date"
"bff4dea5-a815-5bf5-b39f-3bcc034e5dc0","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Site Control","Environmental plan - issues"
"e547c911-6d95-52e1-9c08-14131827a6e4","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Site Control","Safety inductions for all on-site"
"064b9b66-a229-581d-b643-848dbfc66fbe","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Site Control","Safety notice board current"
"24d35c5f-93de-59aa-aec3-c44020bceb6c","","checkpoint-group","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Site Facilities"
"b2397527-13a7-5097-bde4-b6a339d6c9cb","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Site Facilities","Offices clean, adequate & good lighting"
"e01a1d93-bf1b-5b16-a8db-3ec8f861fea1","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Site Facilities","Smoko sheds - clean, portable water"
"6463c5ae-3552-5455-9026-72cf9861e284","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Site Facilities","Toilets - clean, washing water"
"c8dfca13-6f79-5b94-ac1d-1305fe3d05aa","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Site Facilities","Tool /equipment sheds adequate"
"8ddbfe5e-2fd1-5788-a9dc-9c5b2fa1a090","","checkpoint-group","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","General Site Tidiness and Access ways"
"72a6b604-cf69-534a-a5b1-451ed15f4338","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","General Site Tidiness and Access ways","Clear, safe access to work areas"
"fbe8f168-9110-5a72-b951-0114ce44f414","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","General Site Tidiness and Access ways","Stairways and accessways clear"
"39585297-d4b7-57a5-a192-5beecca04e10","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","General Site Tidiness and Access ways","Hoardings /fence and gates secure"
"62becc19-e68c-5a9a-affd-a1576aa0be9d","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","General Site Tidiness and Access ways","Loose materials secure from wind"
"478916d0-2893-5da3-8ea0-8265819edd38","","checkpoint-group","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Personal Safety Equipment"
"40887e35-edad-5738-bab1-7b5701f61fdb","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Personal Safety Equipment","Signage displayed and legible"
"f5dd7e00-0f96-516a-b7bf-6b316c907523","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Personal Safety Equipment","Hardhats being worn"
"e83ab792-b5dc-517e-b8e6-0667db265e79","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Personal Safety Equipment","Correct footwear being worn"
"fc49772b-1d47-524e-ab2e-0b5f08254e9c","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Personal Safety Equipment","Glasses /ear muffs /vests /masks used"
"4c24b02d-4b5d-556a-aec9-40c7774e957f","","checkpoint-group","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","First Aid/Fire Prevention"
"1333e772-0c37-5fe7-8d3b-29f19ffd1385","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","First Aid/Fire Prevention","First Aid Box Available"
"19e4fc35-251b-5558-be8f-d8ef12e5b5cf","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","First Aid/Fire Prevention","Accident register"
"e0f6e400-7060-567b-81e7-977aad2b5071","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","First Aid/Fire Prevention","Fire Extinguishers"
"4d62ffa5-f92a-55b3-be81-0be54eb47ab2","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","First Aid/Fire Prevention","Evacuation"
"27d066c5-9293-5df7-9881-79f3d0af2132","","checkpoint-group","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Cranes/hoist/lifting equipment"
"d16defae-934a-5608-a2f6-f465341de4de","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Cranes/hoist/lifting equipment","Proper lift assessment plan done"
"1828775e-8cf8-51ed-a97c-26a2bbb65f43","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Cranes/hoist/lifting equipment","Crane certification current"
"044767bc-b56f-5d90-9625-0ba4c312dde4","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Cranes/hoist/lifting equipment","Slings/chains certified"
"2736a1fd-5de8-55f4-8329-cd3beac2b772","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Cranes/hoist/lifting equipment","Operator procedures in place"
"4ea49eb7-cbef-5063-8938-8d9e843231ec","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Cranes/hoist/lifting equipment","Inspections being done"
"81271fbb-9d5b-552a-8e43-21af20a77782","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Cranes/hoist/lifting equipment","Man cage available"
"010ff5bf-dedc-5f7f-8a76-6df15cca52aa","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Cranes/hoist/lifting equipment","Emergency plan in place"
"fcf68ce3-9722-5eae-af30-f6064df99169","","checkpoint-group","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Compressed air equipment"
"7696ec72-f3b0-51cf-866c-4aa58da8466f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Compressed air equipment","In good condition"
"e7036db9-ae58-5431-b50b-38b8c9a3757d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Compressed air equipment","Appropriate guards fitted"
"bee378f6-4f9e-52fd-8ef6-998fd9e0060f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Compressed air equipment","Trained user"
"fede9262-08fe-595d-908d-a7b4d25e3c55","","checkpoint-group","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Excavations"
"22c3998c-e04c-52d9-9a88-d51c7c61074e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Excavations","Correctly Shored"
"ca6216e1-17fa-517b-891d-1f3230b0c9e7","","checkpoint-group","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Welding/gas cutting"
"9eb87b19-066e-52e8-bfdc-bb83e2a5e81e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Welding/gas cutting","Hot work permits being issued"
"7b608652-b991-543f-abc0-dfcc3c3ef249","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Welding/gas cutting","Fire extinguishers on hand"
"617beb73-6c5e-5162-bcbb-3e39c15ef99f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Welding/gas cutting","Operators using PPE"
"e3f25cff-dc65-55ff-856f-9e4a1029338a","","checkpoint-group","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Electrical Equipment"
"0f32c63a-ca6a-5da1-b732-5a0e56a28374","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Electrical Equipment","Main board lockable /weatherproof"
"e301769b-1195-5cf0-b7d1-b1ef165646ba","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Electrical Equipment","Current tagged and damage-free leads"
"84c104e4-4db9-5363-8c24-ce7b73c26405","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Electrical Equipment","Current tagged plant"
"71126ab9-5a2f-5838-aa7f-744fa5d887b4","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Electrical Equipment","Current tagged lifeguards"
"3427303c-c9bb-507f-abdf-fa11fef70c32","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Electrical Equipment","Leads safely placed"
"f0e7ce0a-2cf7-518e-93ec-3003e872938e","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Electrical Equipment","Equipment in good condition"
"b651c175-0cca-571f-9e6c-d6453f40e4f0","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Electrical Equipment","Appropriate guards on equipment"
"d99a60ec-070b-5a91-8955-2435b2470fbc","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Electrical Equipment","Adequate temporary lighting"
"551fcae4-6146-50b0-aea6-d7b4c84603b8","","checkpoint-group","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Chemicals"
"a9d4ecc2-1762-5d60-9980-3b027d954380","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Chemicals","Correctly stored"
"ecabfb40-7fce-5e17-90a8-19ae2867158c","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Chemicals","Safety Data Sheet (SDS) available"
"f04658bc-e97a-525e-967a-e3be221bb948","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Chemicals","Operators using PPE"
"c632e41d-a433-550c-8462-c455b5ccbbb3","","checkpoint-group","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Tools"
"d34a03ac-0d60-516a-b1b7-c6f7500fd9e0","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Tools","PAT tool WoF current and secure"
"47d3ade0-d9ac-5f2e-8102-71442424d653","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Tools","Staff trained in tool use (SWPS)"
"1484932a-c5e7-5b2c-9c74-af53784512da","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Tools","PAT signage on site"
"835ab6ba-bdf8-5300-aa0d-7a00b068987b","","checkpoint-group","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Scaffolding"
"ae5daadd-f232-50aa-a37c-6d07b1a24e11","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Scaffolding","Notifiable weekly Scaftag/current"
"0fa243ac-3d28-500d-8f4e-03001995f889","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Scaffolding","Handrails/mid-rails"
"6abeb22c-dcb1-5bc7-829b-272f16eed16a","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Scaffolding","Toe boards"
"f9f73027-85bb-527c-b118-9da3f15b7ec8","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Scaffolding","Platforms"
"d0b4ca43-3eee-595f-9e7b-57812abb3d64","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Scaffolding","Ladders/stairs"
"883ee679-4a39-521c-a5f1-f36bfc1cffd4","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Scaffolding","Base sound"
"ea96fc10-7fa5-500e-aa33-6fe8aec9f934","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Scaffolding","Work platforms clear"
"502b21ad-882d-5fb4-b9c9-1f4e3aa5b131","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Scaffolding","Platforms trip free"
"e7bbea67-b440-545d-88e8-8dc183fb1223","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Scaffolding","Planks tied down"
"e987cd60-eeb5-5399-bb9b-b3a07b24953c","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Scaffolding","Headroom clear"
"3e5cd3c1-8550-5356-96cd-741bed349506","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Scaffolding","Ties/bracing adequate"
"231e39fc-4d10-59f9-99b1-f7da0742d843","","checkpoint-group","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Ladders"
"ccf835c1-6651-5aef-ab5b-a96d9c0918a3","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Ladders","Good condition"
"87796108-deff-5cd3-a214-05205603de7c","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Ladders","Secured top and bottom"
"74658c0d-c32b-58ad-997f-123fc44e3abf","","checkpoint-status","pass","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 04.08.22","Ladders","Stays to step ladders"
