type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,
checkpoint-status,4.7 Fitting of Covers,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 705.17,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Frames for drainage pit covers shall be cast in place or or bedded on fresh mortar, 5mm thick, consisting of 2 parts sand and 1 part cement.",,,,,,,,,,,,,,,,,,,,
label,○ Height shall be within 10mm of the design level,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.8 Backfilling Around Drainage Pits,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 705.18,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Backfilling around drainage pits shall be placed in layers not exceeding 300mm loose thickness and compacted to refusal,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Post-construction Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,6.1 Placement of Pit-Conformity with drawings,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701.10,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: The location of each run of underground drainage shall be verified by a survey certificate prior to backfilling the culverts and shall be recorded progressively on the Contractor’s as constructed drawings,,,,,,,,,,,,,,,,,,,,
label,Unless specified otherwise the tolerance on location of pipes compared to the design or a change to the design notified in accordance with this clause shall be:,,,,,,,,,,,,,,,,,,,,
label,(a) offset of entry pits required to match lines of kerbs or barriers ±20 mm,,,,,,,,,,,,,,,,,,,,
label,(b) plan location of pits other than offsets to kerb lines or barriers ±100 mm,,,,,,,,,,,,,,,,,,,,
label,(c) invert level of pipes at pits ±50 mm,,,,,,,,,,,,,,,,,,,,
label,(d) departure from design grade of pipe runs ±10 mm in 10 m provided minimum grade is not less than 1:250,,,,,,,,,,,,,,,,,,,,
label,ATTACH: Survey Report,,,,,,,,,,,,,,,,,,,,
label,METHOD: Measure,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Survey Report,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,6.2 CCTV Inspection,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701.30,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All drainage lines constructed shall be inspected, after completion of earthworks to subgrade level and prior to construction of pavement layers, by an independent testing organisation using closed circuit television (CCTV) to verify that the flow of water is not obstructed by waste construction material left inside and to check for visible signs of defects.",,,,,,,,,,,,,,,,,,,,
label,ATTACH: CCTV Report (PDF):,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: CCTV Reports,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint-status,Final Inspection,,,,,,,,,,,,,,,,,,,,
label,"On behalf of Metropolitan Roads Program Alliance, it is hereby certified that the Works represented by the item of work listed have been tested in accordance with the Project Quality Plan and conform in all respects with the requirements of the Contract.",,,,,,,,,,,,,,,,,,,,
text,Name:,,,,,,,,,,,,,,,,,,,,
text,Position:,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,Sign ITP,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
checklist-sectioned,CHK-001-CIV-Stormwater Drainage Pipes Installation,itp,,,,Yes,CHK-001-CIV-Stormwater Drainage Pipes Installation Rev 2,aa8cf543-13db-40aa-b7c2-844f6f7c80f6,,,,,,,,,,,,,
checkpoint-group,Referenced Documentation,,,,,,,,,,,,,,,,,,,,
checkpoint-status,Referenced Documentation,,,,,,,,,,,,,,,,,,,,
label,Document Title: CHK-CIV-CAMMS-Stormwater Drainage Pipes Installation,,,,,,,,,,,,,,,,,,,,
label,ITP Description: CAMMS-Stormwater Drainage Pipes Installation,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 2,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 7/12/2023,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Victor Mira,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: VR 701,,,,,,,,,,,,,,,,,,,,
label,1.2 Main ITP,,,,,,,,,,,,,,,,,,,,
label,Reference: ITP-CIV-CAMMS-Stormwater Drainage Rev 0,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria: This ITP Should be used in Conjunction with ITP-CIV-CAMMS-Stormwater Drainage Rev 0,,,,,,,,,,,,,,,,,,,,
text,Enter: Main ITP Lot Number,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Preliminaries - Materials,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.1 Bedding,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Materials used for bedding and selected backfill shall be free from perishable matter and lumps and Shall conform with the Material Approval in the Main ITP.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Material Delivery Docket,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.2 Backfill Material,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Materials used for bedding and selected backfill shall be free from perishable matter and lumps and shall conform with the Material Approval in the Main ITP.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Material Delivery Docket,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.3 Stabilized Sand,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Where approved by the Superintendent, culverts in trenches may be backfilled to half the pipe diameter or box culvert height with 3% cement stabilised sand with a water content sufficient to ensure penetration beneath the pipe",,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Material Delivery Docket,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Preliminaries - Procedures & Documentation,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.1 Subcontractor QA Submissions and ITP,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: ITP-CIV-CAMMS-Stormwater Drainage Rev 0,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Subcontractor Signed ITP Shall conform with the Hold Point Release in the Main ITP.,,,,,,,,,,,,,,,,,,,,
label,ATTACH: Subcontractor Signed ITP,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot (in case undertaken by subcontractor),,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Pre-construction Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.1 Survey Set-Out,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: 710.10,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Prior to commencement of excavation for the culverts the Contractor shall confirm the position of all culverts with the Superintendent.,,,,,,,,,,,,,,,,,,,,
label,○ The culverts constructed shall be constructed true to line and level.,,,,,,,,,,,,,,,,,,,,
label,○ MARK UP LOCATION OF THIS LOT ON THE MAIN LOT MAP,,,,,,,,,,,,,,,,,,,,
label,"METHOD: Survey, Measure",,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: This ITP, Main Lot Map",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Construction Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.1 Trench Excavation,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701.15,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: For box culverts, the width of the trench shall be such that the clearance from the outside of the culvert to the wall of the trench is in the range 0.5 to 1.0 times the overall height of the culvert.",,,,,,,,,,,,,,,,,,,,
label,Horizontal Clearance to wall of trench,,,,,,,,,,,,,,,,,,,,
label,Pipe Culverts:,,,,,,,,,,,,,,,,,,,,
label,○ 300mm<Horizontal clearance for corrugated metal culverts<1000mm,,,,,,,,,,,,,,,,,,,,
label,○ 300mm<Horizontal clearance for other Pipe culverts<600mm,,,,,,,,,,,,,,,,,,,,
label,Box Culverts:,,,,,,,,,,,,,,,,,,,,
label,○ 0.5 times the height of the culvert<Horizontal clearance<overall height of the culvert,,,,,,,,,,,,,,,,,,,,
label,METHOD: Measure,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.2 Trench Base,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701.15,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: The base of the trench shall be compacted to refusal using mechanical plant,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: SP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.3 Bedding-Placement and compaction,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: VR 701.16, VR 701.20 (a)",,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Bedding material shall be provided and placed for the full width of the trench. The compacted thickness of bedding material following any shaping necessary shall be not less than:,,,,,,,,,,,,,,,,,,,,
label,○ 100 mm where D < 1500 mm,,,,,,,,,,,,,,,,,,,,
label,○ 200 mm where D ≥ 1500 mm,,,,,,,,,,,,,,,,,,,,
label,Bedding materials shall be placed and compacted in layers not exceeding 150 mm loose thickness. Bedding shall be compacted to refusal using hand held mechanical equipment. Bedding material which has a swell equal to or greater than 2.5% shall be maintained at a mean moisture ratio of 92% between the completion of rolling and the placement of the overlying layer,,,,,,,,,,,,,,,,,,,,
label,"METHOD: Visual, Measure",,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: SP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.4 Laying pipes-Bedding conformity,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701.17,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Laying of pipes or box culverts shall not commence until the Contractor has verified that culvert bedding complies with the specified lines and levels and compaction requirements, and that box culverts and pipes are not damaged.",,,,,,,,,,,,,,,,,,,,
label,○ Laying of pipes or box culverts shall commence from the downstream end.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.5 Pipe Laying,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: VR 701.16, VR 701.17",,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Laying of pipes or box culverts shall commence from the downstream end.,,,,,,,,,,,,,,,,,,,,
label,○ Rebate and socket ends of pipe sections shall be placed facing upstream and be fully entered.,,,,,,,,,,,,,,,,,,,,
label,○ The lower portion of the pipe shall be in contact with the bedding for the full length of each section.,,,,,,,,,,,,,,,,,,,,
label,○ The compacted bedding shall be shaped to accommodate the joint collar and ensure that the pipe is supported along its full length.,,,,,,,,,,,,,,,,,,,,
label,"○ When the sections are in position, an additional layer of bedding material shall be placed to a height equal to 30% of the nominal pipe diameter or culvert height",,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Pipe,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: SP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.6 Pipe Joints and rotation,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 70.18,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All interlocking RCP shall be mortar jointed, or wrapped with a 200 mm wide external joint rubber band.",,,,,,,,,,,,,,,,,,,,
label,○ Pipes shall be laid with lifting holes uppermost. Lifting holes shall be plugged or otherwise closed off in accordance with the manufacturer’s instructions after the pipe is installed. .,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Pipe,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: SP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.7 Conformity with drawings,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701.10,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: The location of each run of underground drainage shall be verified by a survey certificate prior to backfilling the culverts and shall be recorded progressively on the Contractor’s as constructed drawings,,,,,,,,,,,,,,,,,,,,
label,Unless specified otherwise the tolerance on location of pipes compared to the design or a change to the design notified in accordance with this clause shall be:,,,,,,,,,,,,,,,,,,,,
label,(a) offset of entry pits required to match lines of kerbs or barriers ±20 mm,,,,,,,,,,,,,,,,,,,,
label,(b) plan location of pits other than offsets to kerb lines or barriers ±100 mm,,,,,,,,,,,,,,,,,,,,
label,(c) invert level of pipes at pits ±50 mm,,,,,,,,,,,,,,,,,,,,
label,(d) departure from design grade of pipe runs ±10 mm in 10 m provided minimum grade is not less than 1:250,,,,,,,,,,,,,,,,,,,,
label,ATTACH: Survey Report,,,,,,,,,,,,,,,,,,,,
label,METHOD: Measure,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Survey Report,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.8 Backfill-Under area to be paved,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701.19 (a) i,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Culvert under area to be paved,,,,,,,,,,,,,,,,,,,,
label,"○ Where the trench has been excavated from design subgrade level or above, the trench shall be backfilled to design subgrade level with selected backfill material, and above that level with appropriate pavement material.",,,,,,,,,,,,,,,,,,,,
label,○ Where the trench is excavated from below design subgrade level the trench shall be filled with selected backfill material.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: SP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.9 Backfill-Under area not to be paved,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701.19 (a) ii,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: The trench shall be backfilled with selected backfill material to a level 0.3 m above the top of the culvert and with ordinary backfill material above that level,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: SP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.10 Backfilling with cement stabilised sand,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701.19 ( c),,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Where approved by the Superintendent, culverts in trenches may be backfilled to half the pipe diameter or box culvert height",,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: SP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.11 Backfill Placement,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701.20,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: backfill materials shall be placed and compacted in layers not exceeding 150 mm loose thickness.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: SP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.12 Backfill Compaction,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701 (b),,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: 20% of all bedding/Backfill layers for each culvert shall be tested.,,,,,,,,,,,,,,,,,,,,
label,○ Backfill material which will have a nominal size after compaction of 40 mm or less shall be compacted to a mean value of density ratio of not less than 97%.,,,,,,,,,,,,,,,,,,,,
label,○ Backfill material which has a swell equal to or greater than 2.5% shall be maintained at a mean moisture ratio of 92% between the completion of rolling and the placement of the overlying layer.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Test,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Post-construction Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,6.1 Compaction and Moisture content tests,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701.20,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Bedding and backfill shall be assessed for compaction and or moisture in lots. The number of tests per lot shall be three. A lot shall consist of one layer of bedding or backfill for a culvert length between adjacent pits or endwalls. Notwithstanding the provisions of Section 173, a minimum of 20% of all lots for each culvert shall be tested.",,,,,,,,,,,,,,,,,,,,
label,ATTACH: Compaction and Moisture content test results:,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Test Results,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,Final Inspection,,,,,,,,,,,,,,,,,,,,
label,"On behalf of Metropolitan Roads Program Alliance, it is hereby certified that the Works represented by the item of work listed have been tested in accordance with the Project Quality Plan and conform in all respects with the requirements of the Contract.",,,,,,,,,,,,,,,,,,,,
text,Name:,,,,,,,,,,,,,,,,,,,,
text,Position:,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,Sign ITP,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
checklist-sectioned,ITP-081-STR-PSDS-Bored Piling,itp,,,,Yes,ITP-081-STR-PSDS-Bored Piling Rev 0,c2c09775-4839-4e2b-8cb4-bbe36522d05b,,,,,,,,,,,,,
checkpoint-group,Referenced Documentation,,,,,,,,,,,,,,,,,,,,
checkpoint-status,Referenced Documentation,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-081-STR-PSDS-Bored Piling,,,,,,,,,,,,,,,,,,,,
label,ITP Description: PSDS-Bored Piling,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 081-STR,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 7/12/2021,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Mathew Velcek,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: VM,,,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 606 July 2017,,,,,,,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 610 Feb 2020,,,,,,,,,,,,,,,,,,,,
label,1.3 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 611 November 2018,,,,,,,,,,,,,,,,,,,,
label,1.4 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: AS2159-2009,,,,,,,,,,,,,,,,,,,,
label,1.5 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: AS3810.1 2018,,,,,,,,,,,,,,,,,,,,
label,1.6 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: AS5100.3-2017,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Preliminaries - Materials,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.1 Concrete Mix,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: 610.07 Table 610.071,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Concrete Mix is Registered with VicRoads.,,,,,,,,,,,,,,,,,,,,
label,"○ Concrete mix meets strength, grade, and maximum aggregate size as detailed on drawings.",,,,,,,,,,,,,,,,,,,,
text,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Once, for each mix design, 4 weeks prior to placement of concrete",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.2 ACRS Certification (for Reinforcement),,,,,,,,,,,,,,,,,,,,
label,REFERENCE: 611.05 (a),,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Current ACRS certification for materials and for bar processing.,,,,,,,,,,,,,,,,,,,,
label,"Note: ACRS certificate may cover both aspects or be for each separate portion (e.g 1 for the material supplier and another for the bar processor (bending, cropping and delivery)",,,,,,,,,,,,,,,,,,,,
text,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Once for each supplier, 14 days of award of contract",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,
