"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7a5d1032-2e8e-4b5f-816b-d1d835b6eae2","Child PS1 Attached(a12a6c0e-46ab-5494-b865-03fa338b2f8e): checkpoint-status has incorrect meta.stepType checkpoint-no-status","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"8f9570c7-30a5-5966-b121-35eb0efa0012","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"eda5e2b1-06f4-5a19-94e1-b2a2e96ecc8f","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"a3adab03-b3ff-5509-a4bc-fb7559c5498e","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"a12a6c0e-46ab-5494-b865-03fa338b2f8e","checkpoint-status has incorrect meta.stepType checkpoint-no-status","checkpoint-status","not-started","","","TRUE","TRUE","Overall Pre-start","PS1 Attached"
"4eb7a878-583a-58d6-b28c-f6dbddf763af","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"ff785a5f-e709-5ee5-942b-2f3efd738914","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"d0703847-59aa-4ffb-b683-030d2685a9f2","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"c909fca3-062b-4078-975f-70ec1430e044","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","New Carpark Building "
"ede974c7-1e38-45e7-9736-904e586e9f15","","folder-normal","not-started","","step","TRUE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors"
"4fea99fb-3dab-459c-a57b-0ead02e0594a","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Pre-Fit Off Checklist"
"9d4dac8d-47bb-5069-9256-5e6a8e2c8c3c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 114","Installed as per PBI drawings supplied and manufacturer's requirements"
"c4b4bf0e-06b9-42da-8ec1-a9a88e0593fc","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 115"
"b2064802-77ef-565b-bfcf-59cee830fe41","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 115","Required number of photo(s) taken of installed anchor(s)"
"ac7b0b97-67d0-551f-898c-f9166a7ca5b7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 115","Installed as per PBI drawings supplied and manufacturer's requirements"
"363fe988-653b-47b2-b721-ffdcc37912cf","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 116"
"57477d7c-aba1-5eb7-b1ef-06f193dd68a7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 116","Required number of photo(s) taken of installed anchor(s)"
"0a96a70f-0a74-506f-8318-0d1a30ab1c11","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 116","Installed as per PBI drawings supplied and manufacturer's requirements"
"81ca2105-e5af-4baf-81ee-4bba4c57220c","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 117"
"425d1350-edc6-5dd5-a977-d995cf0175ee","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 117","Required number of photo(s) taken of installed anchor(s)"
"706a4b95-6298-5c9b-9c18-19fe1419bf21","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 117","Installed as per PBI drawings supplied and manufacturer's requirements"
"91483b00-4a78-4443-8706-defb4a255d83","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 118"
"0ce9797d-1c9b-593e-80b1-6a10b1419f8f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 118","Required number of photo(s) taken of installed anchor(s)"
"64bb87c6-de78-5cbf-b947-25e0816cb17e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 118","Installed as per PBI drawings supplied and manufacturer's requirements"
"ec0ad8fb-2ed2-4e12-83eb-3abf30b1b982","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 119"
"6257d99e-1093-58a2-989c-512905f47a11","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 119","Required number of photo(s) taken of installed anchor(s)"
"0f9b9968-79ce-5b68-b585-4d979886e897","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 119","Installed as per PBI drawings supplied and manufacturer's requirements"
"7db27774-aeb0-4a3f-9a18-447d8fe02561","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 120"
"375a6af4-4682-5388-ad26-290b1d07ed42","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 120","Required number of photo(s) taken of installed anchor(s)"
"58fdf9e8-3541-5587-8b2e-d54310ad2752","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 120","Installed as per PBI drawings supplied and manufacturer's requirements"
"4fea6917-4044-4864-bbfa-987494a66c0a","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 121"
"73786131-b38d-5f32-a82e-4d324e7c0878","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 121","Required number of photo(s) taken of installed anchor(s)"
"4fb4828c-0e98-5c62-b12e-376398ce43ea","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 121","Installed as per PBI drawings supplied and manufacturer's requirements"
"badfbaa3-6f70-4ff7-8279-5114d417195e","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 122"
"02505e61-8d4f-5227-b25e-a56e5be62b02","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 122","Required number of photo(s) taken of installed anchor(s)"
"8c20aa0c-e6c0-57dd-9543-75352710f8f3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 122","Installed as per PBI drawings supplied and manufacturer's requirements"
"2f15371f-6d6e-4ab0-833c-6b5e619f554c","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 123"
"31f71f3b-b81b-5aec-939b-abc61d73bcc6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 123","Required number of photo(s) taken of installed anchor(s)"
"f4f1f341-58d6-5f68-a0cb-f76feb944f26","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 123","Installed as per PBI drawings supplied and manufacturer's requirements"
"4d53d386-6040-4d3e-a0a3-ec3bfb55d5fc","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 124"
"a3f64b86-5363-5378-be62-fcce2c8b9f31","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 124","Required number of photo(s) taken of installed anchor(s)"
"5eb383d5-5a3a-5038-9610-3c85c98bab63","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 124","Installed as per PBI drawings supplied and manufacturer's requirements"
"95a472cd-a6f0-4c8b-ba17-f8d7b33ed8d6","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 125"
"f8cad78c-f7bd-519d-99ef-20d4960d710f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 125","Required number of photo(s) taken of installed anchor(s)"
"69e8009a-3e9f-588c-b600-76641a666039","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 125","Installed as per PBI drawings supplied and manufacturer's requirements"
"75b955b7-9ad2-49cb-b594-f321ba6d1928","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 126"
"a67ef3d4-e8de-51d9-ad75-fe6857ad280a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 126","Required number of photo(s) taken of installed anchor(s)"
"2e60e76d-714e-519f-8f11-d5cbc0fe110d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 126","Installed as per PBI drawings supplied and manufacturer's requirements"
"73f7381a-8c81-49ad-8e48-a636866e2fbd","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 127"
"e88904af-fb51-5988-b96a-55c4220fea2d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 127","Required number of photo(s) taken of installed anchor(s)"
"68602338-febc-55b9-98ad-f3a97fcae798","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 127","Installed as per PBI drawings supplied and manufacturer's requirements"
"b1d5eb97-c48f-4664-b155-bfcea4fc9bd3","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 128"
"e202abec-0c8d-5c4d-9ff7-37f17f10941a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 128","Required number of photo(s) taken of installed anchor(s)"
"4cc9e22a-4949-52ac-b719-a84f9226742c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 128","Installed as per PBI drawings supplied and manufacturer's requirements"
"16463fab-1e2d-4e6f-8d29-3f25c24ae826","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 129"
"71f6b6e5-5bcf-558b-8d01-182231152598","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 129","Required number of photo(s) taken of installed anchor(s)"
"286676a4-9231-5a1a-bd46-80fe5a7b185b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 129","Installed as per PBI drawings supplied and manufacturer's requirements"
"73e342da-1cfc-4081-85e5-92651fff99b8","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 130"
"f918a34a-9c7f-5a94-a718-2b7e601040ca","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 130","Required number of photo(s) taken of installed anchor(s)"
"f0f5aeea-461d-5b13-ab17-72199ae4e362","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 130","Installed as per PBI drawings supplied and manufacturer's requirements"
"954b814f-f8b9-409a-9aa3-3fd2e4490c9f","","folder-normal","not-started","","step","TRUE","FALSE","QA","New Carpark Building ","2No Ladder Brackets"
"af26d31e-eb37-4bd6-9579-1c646f36566e","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","2No Ladder Brackets","Pre-Fit Off Checklist"
"fa56b00b-5854-55bd-a9bf-44b55f720693","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","2No Ladder Brackets","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"50086c4b-e41f-507b-ab62-5c27afa5135a","","holdpoint","not-started","","","TRUE","TRUE","QA","New Carpark Building ","2No Ladder Brackets","Pre-Fit Off Checklist","EMAIL PM"
"4ec8de42-8de5-59db-8b2a-3c7143ec1f67","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","2No Ladder Brackets","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"9f2ee76e-45f4-48f8-a8d7-0c9b78c978ad","","checklist-flat","not-started","Fit Off Checklist - Ladder Bracket","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","2No Ladder Brackets","Fit Off Checklist - Ladder Bracket 01"
"eba3a22b-9e6c-5f9d-8f01-19b3628a616d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","2No Ladder Brackets","Fit Off Checklist - Ladder Bracket 01","Confirm the structure is in accordance with the details supplied to PBI"
"731c0130-bceb-50e5-8ca9-eb4335d7f7f5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","2No Ladder Brackets","Fit Off Checklist - Ladder Bracket 01","Photos taken of installed item"
"9ea288c3-d9d8-5f04-95c6-77efd8035cd7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","2No Ladder Brackets","Fit Off Checklist - Ladder Bracket 01","Height from ground level to gutter"
"27698976-ebf8-5597-ae77-b3f58fb58ced","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","2No Ladder Brackets","Fit Off Checklist - Ladder Bracket 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"b24e4156-9166-4654-9c85-10f7faa884bd","","checklist-flat","not-started","Fit Off Checklist - Ladder Bracket","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","2No Ladder Brackets","Fit Off Checklist - Ladder Bracket 02"
"be1f5241-c93a-568b-9d4d-26c90374dad2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","2No Ladder Brackets","Fit Off Checklist - Ladder Bracket 02","Confirm the structure is in accordance with the details supplied to PBI"
"44361c57-7a7b-5a33-acb4-adc68b6d95aa","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","2No Ladder Brackets","Fit Off Checklist - Ladder Bracket 02","Photos taken of installed item"
"b95d3acb-c261-50f2-a188-8b241d065aeb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","2No Ladder Brackets","Fit Off Checklist - Ladder Bracket 02","Height from ground level to gutter"
"1cb0a075-2054-5fc0-a3b2-04ab811dc910","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","2No Ladder Brackets","Fit Off Checklist - Ladder Bracket 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"06115fa6-4355-43b0-ad6f-9aa530acd19b","","folder-normal","pass","","step","TRUE","FALSE","Roof Access Requirements"
"9a93482f-10ba-42eb-8ae4-d285c3f76507","","checklist-flat","pass","Roof Access Requirements","checklist-flat","FALSE","FALSE","Roof Access Requirements","Roof Access Requirements"
"343c7e4e-7c85-5561-8d6b-5676fb6f2e91","","checkpoint-status","pass","","","TRUE","TRUE","Roof Access Requirements","Roof Access Requirements","Brief description of roof access requirements for Recert Team"
"bbd2f603-e2fd-46b8-990a-3358cd6eb6af","","folder-normal","not-started","","step","TRUE","FALSE","Data Plate & Access Point"
"9d6298b9-1933-457d-a16b-fa7999a28c2b","","checklist-flat","not-started","Data Plate & Access Point (Anchor Points)","checklist-flat","FALSE","FALSE","Data Plate & Access Point","Data Plate & Access Point"
"2fe00fa0-7d56-513b-9a89-88fba9e0d2cd","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate & Access Point","Details of Data Plate"
"e94b5f74-c831-58cd-812a-32f270e36756","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate & Access Point","1 photo required of Data Plate"
"bfce4fa8-bfd6-5ca0-9adf-db709124bd33","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate & Access Point","Details of Access Point"
"7b858156-c101-5745-8ea2-f1f559809519","","checkpoint-status","not-started","","","TRUE","TRUE","Data Plate & Access Point","Data Plate & Access Point","1 photo required of Access Area"
"10f006f7-e0b9-45ba-88be-5b8a8b0d0ea4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Installation Certification PC"
"dd8acbd3-038b-4df9-aa4b-da99722d54e0","","checklist-flat","no-status-not-started","SYS - PT - Practical Completion","checklist-flat","FALSE","FALSE","Practical Completion"
"1178dfad-83e8-5d27-8b5e-957add9f0771","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","System installed and ready for review from Project Manager."
"ba19b073-e84f-5619-8f8a-89e9cb96560c","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Request Review to PM"
"529ead52-c4c6-5ac0-b0ec-d9b5b831a026","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","Project Manager has reviewed, checked and approved system."
"1461ef77-a137-5932-85d2-7ffe480681ef","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Additional information required"
"c9354eed-62b2-51cb-bd45-ff397e29ad86","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","PM to send to PBI admin to close out and archive"
"ee9ef02b-1522-5e07-92aa-fe54b565a549","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Send to PBI Admin"
