"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f053c89d-8907-4c34-958a-c06df2b8334e","","checklist-flat","work-in-progress","c6e66142321f04d98d9e5ad1b0964b2f6448ff942b808391f4c42596010219ea","checklist-flat","FALSE","FALSE","Eve - Project Details"
"37d30fcf-8035-5c28-a029-d9c1ca2eadea","","checkpoint-status","pass","","","TRUE","TRUE","Eve - Project Details","Project details entered below"
"07ff5dfe-7144-563b-9ff7-452e0e560277","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Grouts submitted for approval (UPLOAD TDS and SDS for each grout submitted)"
"848975a0-b829-5dd6-a45a-bb3f80f97dc0","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Have submitted grouts been approved? (UPLOAD copy of approval)"
"e50c413c-6da4-5329-a6d6-62a57237dbe8","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Caulking products submitted for approval (UPLOAD TDS and SDS for each caulking product submitted)"
"9cc806fa-9091-5872-8f13-c42ce87514f0","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Have submitted caulking products been approved? (UPLOAD copy of approval)"
"8d73931a-37e7-50b6-93f1-e20b9615261f","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Patching products submitted for approval (UPLOAD TDS and SDS for each patching product submitted)"
"9a6d6c75-f47e-5e5c-a847-0264aef014ef","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Have patching products been approved? (UPLOAD copy of approval)"
"f5d7d255-8963-4d55-9757-3f2ccd65355d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacture QA"
"c1624075-e0c9-4c04-958a-2ea044578f89","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1"
"075baef4-ed01-4a3d-b99b-a84ad404aa5f","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1","Column"
"12280e7c-0fe5-4ddc-9af9-5536cc334cae","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C03"
"ba51723e-6a0d-55ed-9571-d6dc7a1452be","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C03","Manufacturing Documents"
"be20a497-2924-5eed-b10d-a1a30e8afed8","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","Element Install & Grouting","Bedding grout placed and finished as per project requirements"
"9e79334f-b913-5213-95d9-48e16dea0824","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","Element Install & Grouting","Element installed to (PHOTO REQUIRED to show survey pins and spirit level bubble):"
"7bef16d1-74fe-55e8-b9f8-334112979a49","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","Element Install & Grouting","Element propped as per Euro Precast PEDS (PHOTO REQUIRED of element propped)"
"dbe72e04-7abe-55b3-87a5-aaa1e80852be","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","Element Install & Grouting","Dowel tube (flowable) grout placed and finished as per project requirements"
"6f70a983-9938-5b4d-aa2b-4c992ad150ab","","checkpoint-status","fail","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","Element Install & Grouting","Were there any delays or Site Instructions given. If yes, please comment below and have builder sign"
"ab0354e1-158f-5c26-b09a-af20d4bfc4c3","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","Element Install & Grouting","Is there any transport or erection damage that needs to be fixed (PHOTO REQUIRED of damaged area)"
"4afb6778-c4ed-5fd1-af54-923e15cd08e8","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","Element Install & Grouting","Area has been cleaned from grout and rubbish (PHOTO REQUIRED of the area before leaving)"
"fc21e35c-de4f-5826-90eb-8883184c020a","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P12","Element Caulking"
"082edebf-af39-5631-9d81-6615aa2a7fa1","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","Element Caulking","Element caulked as per project requirements"
"99efb3b3-4878-533f-8a09-fd06ef2a43d5","","checkpoint-group","not-started","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P12","HOLD POINT - Confirmation that Props can be removed"
"bd5a5c63-5069-53ca-b1c2-b06639b04a88","","checkpoint-status","not-started","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","HOLD POINT - Confirmation that Props can be removed","Has the Builder given us written confirmation that props can be removed (UPLOAD copy of correspondence)"
"548757bb-50e5-5ef1-8530-f2da35796ad2","","checkpoint-status","not-started","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","HOLD POINT - Confirmation that Props can be removed","PHOTO REQUIRED of element after the props have been removed"
"5c1923e8-5d9b-5b0a-b38f-75bbf2207ea3","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P12","Basic Patch"
"0298df6c-41bd-5537-a8f3-67a30ce45719","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","Basic Patch","Have the lifting anchors been patching as per project requirements"
"a3144a4c-8cfc-55b4-bad0-821b0f111b5a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","Basic Patch","Have the prop points been patching as per project requirements"
"42b77788-4b6b-5f5a-a459-03efbe1d72cf","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","Basic Patch","Have the grout tubes been patching as per project requirements"
"5ce80b1f-ae6d-5623-9fe2-7b38124d2e29","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P12","Final Finish"
"f2d838c3-08a6-5bac-b1fe-ba8d364e0eb7","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","Final Finish","Has all outstanding patching been completed (PHOTO REQUIRED of all visible faces of element)"
"7603ae69-6e46-5fd3-a88f-4f8db00340ef","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P12","Final Finish","Has the builder signed off on the element? (ATTACH signature box below)"
"d8b91fcb-23ad-4351-aac6-855052f9b209","","checklist-sectioned","work-in-progress","cfa3f502f28d691acfd4ee6fb17839feb4e67b2f29d1d0f8393322adba035d15","checklist","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P13"
"f55e8bad-cb3e-5826-bb97-50fcbd3fce80","","checkpoint-group","pass","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P13","Element Install & Grouting"
"2bf8b942-b5de-58ff-bd36-84426463be79","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","Element Install & Grouting","Bedding grout placed and finished as per project requirements"
"48b3b54d-7574-5b8f-bdd7-de8b976daae3","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","Element Install & Grouting","Element installed to (PHOTO REQUIRED to show survey pins and spirit level bubble):"
"424e6671-790d-5f4d-8936-e76bd9a5ac03","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","Element Install & Grouting","Element propped as per Euro Precast PEDS (PHOTO REQUIRED of element propped)"
"8d3a1fad-5898-5191-978a-2bac155d500a","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","Element Install & Grouting","Dowel tube (flowable) grout placed and finished as per project requirements"
"1e74fa8b-69a4-574c-bcc2-2dcb182cab75","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","Element Install & Grouting","Were there any delays or Site Instructions given. If yes, please comment below and have builder sign"
"d90129ab-6d82-50e9-bd43-1eedb8786ccc","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","Element Install & Grouting","Is there any transport or erection damage that needs to be fixed (PHOTO REQUIRED of damaged area)"
"60b81284-5f86-57d9-a1c1-814d04ddb9d1","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","Element Install & Grouting","Area has been cleaned from grout and rubbish (PHOTO REQUIRED of the area before leaving)"
"6719d698-ea58-5b91-85d1-e7a32cbdf868","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P13","Element Caulking"
"a95b8bf5-ea55-55ac-8659-280fd775c48e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","Element Caulking","Element caulked as per project requirements"
"11abbb4a-ee8e-5409-a485-1d85777bcb20","","checkpoint-group","not-started","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P13","HOLD POINT - Confirmation that Props can be removed"
"535b4a82-01ad-56f6-ac18-f722a92a0ec0","","checkpoint-status","not-started","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","HOLD POINT - Confirmation that Props can be removed","Has the Builder given us written confirmation that props can be removed (UPLOAD copy of correspondence)"
"d41d181b-ca8c-55d2-a171-a56ad4e799ef","","checkpoint-status","not-started","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","HOLD POINT - Confirmation that Props can be removed","PHOTO REQUIRED of element after the props have been removed"
"4dce46d3-6aad-5b1d-a26d-3e4c8e299201","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P13","Basic Patch"
"dc2a4e71-a280-5834-a838-c669f59138da","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","Basic Patch","Have the lifting anchors been patching as per project requirements"
"237d0f27-b7b0-5ccb-95de-a24f633684ba","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","Basic Patch","Have the prop points been patching as per project requirements"
"9be19699-ed57-51d8-a3f5-d6e42e03698c","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","Basic Patch","Have the grout tubes been patching as per project requirements"
"d6fff668-11e3-5411-95dd-45d00cec8a34","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P13","Final Finish"
"2d4025ad-d96d-570f-b3dd-de71dc18f281","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","Final Finish","Has all outstanding patching been completed (PHOTO REQUIRED of all visible faces of element)"
"664dee67-a73f-5948-90e4-e8f810fbe1f8","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P13","Final Finish","Has the builder signed off on the element? (ATTACH signature box below)"
"86aff728-1bc0-40fa-8c8a-910e6125889b","","checklist-sectioned","fail","cfa3f502f28d691acfd4ee6fb17839feb4e67b2f29d1d0f8393322adba035d15","checklist","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P14"
"cc288de7-e01d-5d8d-9a9a-b8dbc8d6622f","","checkpoint-group","fail","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P14","Element Install & Grouting"
"86dbb067-8024-5770-9a8d-8bc48cfbcdd2","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","Element Install & Grouting","Bedding grout placed and finished as per project requirements"
"26ae3bf6-ba57-55a6-91c4-42f6f421ed48","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","Element Install & Grouting","Element installed to (PHOTO REQUIRED to show survey pins and spirit level bubble):"
"abe0d7a8-b17d-56c7-bd1f-2c933fc03ae3","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","Element Install & Grouting","Element propped as per Euro Precast PEDS (PHOTO REQUIRED of element propped)"
"5e26a25b-dddd-5ffd-ace9-9cf69ca3628c","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","Element Install & Grouting","Dowel tube (flowable) grout placed and finished as per project requirements"
"e338025a-a6d7-552e-a922-56f2fdceef30","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","Element Install & Grouting","Were there any delays or Site Instructions given. If yes, please comment below and have builder sign"
"83cf3ed7-1d36-56d2-84a3-f1b692309998","","checkpoint-status","fail","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","Element Install & Grouting","Is there any transport or erection damage that needs to be fixed (PHOTO REQUIRED of damaged area)"
"1bc00ff7-8dce-5867-b02e-1eda64a719db","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","Element Install & Grouting","Area has been cleaned from grout and rubbish (PHOTO REQUIRED of the area before leaving)"
"8d53f5db-2e2d-5679-ae72-c9ded2fdf32d","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P14","Element Caulking"
"4222091f-d4b0-59de-a329-0b1bc4844f1d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","Element Caulking","Element caulked as per project requirements"
"9720b33a-5e13-5ccf-a1a0-f82b5020cc14","","checkpoint-group","not-started","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P14","HOLD POINT - Confirmation that Props can be removed"
"3e8bf238-fd74-5cc3-bfce-b22fb9f39283","","checkpoint-status","not-started","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","HOLD POINT - Confirmation that Props can be removed","Has the Builder given us written confirmation that props can be removed (UPLOAD copy of correspondence)"
"d88ce705-540b-508c-ba31-83689b9becc9","","checkpoint-status","not-started","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","HOLD POINT - Confirmation that Props can be removed","PHOTO REQUIRED of element after the props have been removed"
"36a17490-3d1c-59c9-b817-861abb53248e","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P14","Basic Patch"
"4191989e-43b4-599c-98d4-688eda6dc838","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","Basic Patch","Have the lifting anchors been patching as per project requirements"
"51fff680-d1eb-5528-b5e6-d0e02b20d03d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","Basic Patch","Have the prop points been patching as per project requirements"
"7023f367-309d-5047-85cb-ea379af020b1","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","Basic Patch","Have the grout tubes been patching as per project requirements"
"88239b75-3b8d-5131-a23a-01cf30d4e080","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P14","Final Finish"
"2237b2bf-0b59-5513-a36b-403a1edbb464","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","Final Finish","Has all outstanding patching been completed (PHOTO REQUIRED of all visible faces of element)"
"1966de7a-1afa-5fee-b6ab-e2ad35f3ce31","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P14","Final Finish","Has the builder signed off on the element? (ATTACH signature box below)"
"75b462a6-c0a0-49a1-b07b-9c511baac0e7","","checklist-sectioned","work-in-progress","cfa3f502f28d691acfd4ee6fb17839feb4e67b2f29d1d0f8393322adba035d15","checklist","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P17"
"2a0ab41d-ae21-5117-9d02-f6b204a69dc1","","checkpoint-group","pass","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P17","Element Install & Grouting"
"08de2c67-5ee6-5dd7-b436-05274240289c","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","Element Install & Grouting","Bedding grout placed and finished as per project requirements"
"d97ab520-9b50-5d64-8c14-4ead237a9f09","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","Element Install & Grouting","Element installed to (PHOTO REQUIRED to show survey pins and spirit level bubble):"
"3838d199-88af-5899-a9f7-5de5c97f1bdf","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","Element Install & Grouting","Element propped as per Euro Precast PEDS (PHOTO REQUIRED of element propped)"
"bcc26c87-1712-57e8-bac9-b34488634336","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","Element Install & Grouting","Dowel tube (flowable) grout placed and finished as per project requirements"
"71e97018-b835-5cad-af8e-8755c30b8d20","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","Element Install & Grouting","Were there any delays or Site Instructions given. If yes, please comment below and have builder sign"
"338823dc-a2eb-511f-9c03-b8dfb5df11a3","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","Element Install & Grouting","Is there any transport or erection damage that needs to be fixed (PHOTO REQUIRED of damaged area)"
"e696e82b-ee8c-5055-a6ca-e1341c71ee14","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","Element Install & Grouting","Area has been cleaned from grout and rubbish (PHOTO REQUIRED of the area before leaving)"
"4aa14bca-5a34-5d84-b20c-365efeec002c","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P17","Element Caulking"
"6e7d5f8e-a40a-5862-8903-fa09cab71700","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","Element Caulking","Element caulked as per project requirements"
"1b2c5e56-c55e-5de3-82b6-e180d1004b13","","checkpoint-group","not-started","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P17","HOLD POINT - Confirmation that Props can be removed"
"73cb3483-b348-5143-9b58-396fc5b06a46","","checkpoint-status","not-started","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","HOLD POINT - Confirmation that Props can be removed","Has the Builder given us written confirmation that props can be removed (UPLOAD copy of correspondence)"
"a3224890-1867-51e1-81c6-4aa55b8f3cb3","","checkpoint-status","not-started","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","HOLD POINT - Confirmation that Props can be removed","PHOTO REQUIRED of element after the props have been removed"
"986c769a-6364-505c-9001-35bb8ef0f4c5","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P17","Basic Patch"
"b92ab0ee-ed6b-5502-be54-2bb69ffedc2b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","Basic Patch","Have the lifting anchors been patching as per project requirements"
"eaffb7b7-a86c-581d-aea5-2bc878838992","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","Basic Patch","Have the prop points been patching as per project requirements"
"7457c9fa-f97e-5ed6-89b7-103547609c42","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","Basic Patch","Have the grout tubes been patching as per project requirements"
"ecd39d00-6d24-5ead-bd04-cd00587b8e8b","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P17","Final Finish"
"55a424b2-f1b4-53b9-ac13-f03e51525ca2","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","Final Finish","Has all outstanding patching been completed (PHOTO REQUIRED of all visible faces of element)"
"5fa2dcd5-1993-566f-aa05-e8afb0f7811d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P17","Final Finish","Has the builder signed off on the element? (ATTACH signature box below)"
"d43272ee-53b2-4cb9-8364-dda8a3e4e029","","checklist-sectioned","work-in-progress","cfa3f502f28d691acfd4ee6fb17839feb4e67b2f29d1d0f8393322adba035d15","checklist","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P18"
"0fb28ac1-ff85-53bb-8a47-1172011fc023","","checkpoint-group","pass","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P18","Element Install & Grouting"
"69d7c138-1368-5e69-8f9f-55722626a5a3","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","Element Install & Grouting","Bedding grout placed and finished as per project requirements"
"1b15ab22-08eb-5bd2-90b4-83c908e02079","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","Element Install & Grouting","Element installed to (PHOTO REQUIRED to show survey pins and spirit level bubble):"
"34d35341-08ee-5f90-94b9-6ed0d6de2e2c","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","Element Install & Grouting","Element propped as per Euro Precast PEDS (PHOTO REQUIRED of element propped)"
"8ec302b5-4782-5384-8e9c-81825cb3a118","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","Element Install & Grouting","Dowel tube (flowable) grout placed and finished as per project requirements"
"5c135e53-7f78-580c-8902-733673837d8b","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","Element Install & Grouting","Were there any delays or Site Instructions given. If yes, please comment below and have builder sign"
"cf479e3a-595f-532d-95b4-0cd5dbc22301","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","Element Install & Grouting","Is there any transport or erection damage that needs to be fixed (PHOTO REQUIRED of damaged area)"
"f90d6414-b21c-545c-bcbb-dbc413248c9b","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","Element Install & Grouting","Area has been cleaned from grout and rubbish (PHOTO REQUIRED of the area before leaving)"
"eff2e91b-eb32-5148-a271-db76e8a30cef","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P18","Element Caulking"
"f1441a8d-0f17-5bed-93c2-727bbcb6ee7b","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","Element Caulking","Element caulked as per project requirements"
"83b46765-fa8b-5119-9149-aee19f12e029","","checkpoint-group","not-started","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P18","HOLD POINT - Confirmation that Props can be removed"
"9d667192-0d18-5c64-949c-c739dd8cd39e","","checkpoint-status","not-started","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","HOLD POINT - Confirmation that Props can be removed","Has the Builder given us written confirmation that props can be removed (UPLOAD copy of correspondence)"
"3ebd5280-2f64-5304-9e6a-c64070822517","","checkpoint-status","not-started","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","HOLD POINT - Confirmation that Props can be removed","PHOTO REQUIRED of element after the props have been removed"
"ea1222b3-7379-5858-b9a6-d9b10e9924e9","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P18","Basic Patch"
"36b93c22-ba45-50f0-bcd8-c4904b4e35ad","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","Basic Patch","Have the lifting anchors been patching as per project requirements"
"4f37d6e1-d7f1-5a21-84c2-71d317145c2d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","Basic Patch","Have the prop points been patching as per project requirements"
"ba203544-602a-5aa1-a6d4-1b068df1008a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","Basic Patch","Have the grout tubes been patching as per project requirements"
"4160138e-7836-5741-b651-131b142e319d","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 3","Panel","L3-P18","Final Finish"
"228cf961-adae-5396-b4ce-6a1dee769706","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","Final Finish","Has all outstanding patching been completed (PHOTO REQUIRED of all visible faces of element)"
"22622031-6c1a-50e6-a48b-a4aeee904a58","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 3","Panel","L3-P18","Final Finish","Has the builder signed off on the element? (ATTACH signature box below)"
"71967149-9cf5-484a-8746-8efb817ffa5f","","checklist-flat","not-started","f4f918fb890d4b6afc079b9052dd885445f5bdb3f5bb4a36984183e5a0266d6c","checklist-flat","FALSE","FALSE","Installation QA","Level 3","Level Sign Off"
"7d22b357-ec80-5499-8050-dc6e86d6ddb0","","checkpoint-status","not-started","","","TRUE","TRUE","Installation QA","Level 3","Level Sign Off","Details complete"
"18c70a55-a29f-5cef-9953-09f8d4103202","","checkpoint-status","not-started","","","TRUE","TRUE","Installation QA","Level 3","Level Sign Off","Builder Sign Off"
"2259fd48-2977-5e34-9a82-6a90735c9598","","holdpoint","not-started","","","TRUE","TRUE","Installation QA","Level 3","Level Sign Off","BUILDER SIGNATURE (MUST INCLUDE NAME)"
"c0ff16b7-0d19-4919-9428-69a236e0601a","","folder-normal","fail","","step","TRUE","FALSE","Installation QA","Level 4"
"5d716c47-c7d4-4fde-9f1b-31ec1651aeaf","","folder-normal","fail","","step","TRUE","FALSE","Installation QA","Level 4","Panel"
"828469fe-a376-411d-aa38-f8f32fbf61fd","","checklist-sectioned","fail","cfa3f502f28d691acfd4ee6fb17839feb4e67b2f29d1d0f8393322adba035d15","checklist","FALSE","FALSE","Installation QA","Level 4","Panel","L4-P06"
"d6db48a8-9339-5077-aca0-4ebe4ab7f731","","checkpoint-group","fail","","","FALSE","FALSE","Installation QA","Level 4","Panel","L4-P06","Element Install & Grouting"
"2f227b15-cfd6-5484-bf9b-eefe9a3c65bc","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 4","Panel","L4-P06","Element Install & Grouting","Bedding grout placed and finished as per project requirements"
"83550be7-e478-599e-9761-0b742948f348","","checkpoint-status","fail","","","TRUE","TRUE","Installation QA","Level 4","Panel","L4-P06","Element Install & Grouting","Element installed to (PHOTO REQUIRED to show survey pins and spirit level bubble):"
"c9a37785-77fc-5948-ad08-a4188cae3fb2","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 4","Panel","L4-P06","Element Install & Grouting","Element propped as per Euro Precast PEDS (PHOTO REQUIRED of element propped)"
"c6fb43c6-4d22-5e8a-9592-8a754268cab8","","checkpoint-status","not-started","","","TRUE","TRUE","Installation QA","Level 4","Panel","L4-P06","Element Install & Grouting","Dowel tube (flowable) grout placed and finished as per project requirements"
"8a01ed9c-a584-53cc-95a9-cdb7230301f2","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 4","Panel","L4-P06","Element Install & Grouting","Were there any delays or Site Instructions given. If yes, please comment below and have builder sign"
"d0a70046-4c60-59d8-848d-4f9b27406beb","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 4","Panel","L4-P06","Element Install & Grouting","Is there any transport or erection damage that needs to be fixed (PHOTO REQUIRED of damaged area)"
"aa3d381b-bde0-52bb-908c-5b9241c7d8ae","","checkpoint-status","pass","","","TRUE","TRUE","Installation QA","Level 4","Panel","L4-P06","Element Install & Grouting","Area has been cleaned from grout and rubbish (PHOTO REQUIRED of the area before leaving)"
"8173f342-a229-5b6b-ad43-4cb16ab52769","","checkpoint-group","not-applicable","","","FALSE","FALSE","Installation QA","Level 4","Panel","L4-P06","Element Caulking"
"e28b5fa6-81bc-5008-b33d-b190f4fab175","","checkpoint-status","not-applicable","","","TRUE","TRUE","Installation QA","Level 4","Panel","L4-P06","Element Caulking","Element caulked as per project requirements"
"f98ca001-27d9-5a38-b36c-9380d876a426","","checkpoint-group","not-started","","","FALSE","FALSE","Installation QA","Level 4","Panel","L4-P06","HOLD POINT - Confirmation that Props can be removed"
