type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-IN-0005,,,,,,561482-DOW-ITR-IN-0005,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-IN-0005,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 1.5mm 2 pr CS ,,,,,,,,,,,,,
label,Source: Site MCC,,,,,,,,,,,,,
label,Destination: Pump 3 VSD,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: W1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W4,,,,,,,,,,,,,
textbox,Core Designation: B4,,,,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-IN-0006,,,,,,561482-DOW-ITR-IN-0006,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-IN-0006,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 1.5mm 1 pr ES ,,,,,,,,,,,,,
label,Source: Pump 3 VSD,,,,,,,,,,,,,
label,Destination: Pump 3,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: W1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W4,,,,,,,,,,,,,
textbox,Core Designation: B4,,,,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-IN-0007,,,,,,561482-DOW-ITR-IN-0007,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-IN-0007,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 1.5mm 2 pr CS ,,,,,,,,,,,,,
label,Source: Site MCC,,,,,,,,,,,,,
label,Destination: E-Stop Button 1 ,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: W1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W4,,,,,,,,,,,,,
textbox,Core Designation: B4,,,,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-IN-0008,,,,,,561482-DOW-ITR-IN-0008,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-IN-0008,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 1.5mm 2 pr CS ,,,,,,,,,,,,,
label,Source: Site MCC,,,,,,,,,,,,,
label,Destination: E-Stop Button 2 ,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: W1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W4,,,,,,,,,,,,,
textbox,Core Designation: B4,,,,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-IN-0009,,,,,,561482-DOW-ITR-IN-0009,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-IN-0009,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 1.5mm 2 pr ESCS ,,,,,,,,,,,,,
label,Source: Site MCC,,,,,,,,,,,,,
label,Destination: Generator Connection Panel ,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: W1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W4,,,,,,,,,,,,,
textbox,Core Designation: B4,,,,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
